"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00015","","","","90","81","78","77","122","18.9","15.7","42.5","5","5","34.6","77.1","199","0.245454545","0.128688525","0.173869347","2.456790123","2.211111111","0.950617284","0.855555556","0.427160494","0.384444444","0.524691358","0.472222222","38.69346734","44.8767834","90","7.777777778","8.641975309","14.23868313","15.82075903","17.48971193","19.43301326","31.72839506","35.25377229"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00039","","","","90","81","79","40","79","14.1","11.5","47.1","5","5","25.6","72.7","119","0.3525","0.14556962","0.21512605","1.469135802","1.322222222","0.49382716","0.444444444","0.316049383","0.284444444","0.581481481","0.523333333","33.61344538","35.21320495","90","5.802469136","6.447187929","10.53497942","11.70553269","19.38271605","21.53635117","29.91769547","33.24188386"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00023","","","","90","89","88","69","119","21.9","16.9","45.5","7","3","38.8","84.3","188","0.317391304","0.142016807","0.206382979","2.112359551","2.088888889","0.775280899","0.766666667","0.435955056","0.431111111","0.511235955","0.505555556","36.70212766","46.02609727","98.88888889","9.012345679","9.11360799","15.96707819","16.14648356","18.72427984","18.934665","34.69135802","35.08114856"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00058","","","","90","81","80","49","89","14.5","12.5","50.5","5","5","27","77.5","138","0.295918367","0.140449438","0.195652174","1.703703704","1.533333333","0.604938272","0.544444444","0.333333333","0.3","0.62345679","0.561111111","35.50724638","34.83870968","90","5.967078189","6.630086877","11.11111111","12.34567901","20.781893","23.09099223","31.89300412","35.43667124"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00013","","","","90","90","90","85","151","26.5","17.7","59.9","3","5","44.2","104.1","236","0.311764706","0.117218543","0.187288136","2.622222222","2.622222222","0.944444444","0.944444444","0.491111111","0.491111111","0.665555556","0.665555556","36.01694915","42.45917387","100","10.90534979","10.90534979","18.18930041","18.18930041","24.65020576","24.65020576","42.83950617","42.83950617"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00047","","","","90","89","87","67","132","21","14.5","65.1","3","3","35.5","100.6","199","0.313432836","0.109848485","0.17839196","2.235955056","2.211111111","0.752808989","0.744444444","0.398876404","0.394444444","0.731460674","0.723333333","33.66834171","35.28827038","98.88888889","8.641975309","8.739076155","14.6090535","14.77320017","26.79012346","27.09113608","41.39917695","41.86433625"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00003","","","","90","85","79","57","92","13.8","13.9","41.5","7","5","27.7","69.2","149","0.242105263","0.151086957","0.18590604","1.752941176","1.655555556","0.670588235","0.633333333","0.325882353","0.307777778","0.488235294","0.461111111","38.25503356","40.02890173","94.44444444","5.679012346","6.013071895","11.39917695","12.06971678","17.0781893","18.08278867","28.47736626","30.15250545"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00061","","","","90","70","65","45","78","13.5","12","45.5","5","5","25.5","71","123","0.3","0.153846154","0.207317073","1.757142857","1.366666667","0.642857143","0.5","0.364285714","0.283333333","0.65","0.505555556","36.58536585","35.91549296","77.77777778","5.555555556","7.142857143","10.49382716","13.49206349","18.72427984","24.07407407","29.218107","37.56613757"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00017","","","","90","85","70","62","96","14.3","14.1","78.5","7","5","28.4","106.9","158","0.230645161","0.146875","0.179746835","1.858823529","1.755555556","0.729411765","0.688888889","0.334117647","0.315555556","0.923529412","0.872222222","39.24050633","26.56688494","94.44444444","5.884773663","6.230936819","11.6872428","12.37472767","32.30452675","34.20479303","43.99176955","46.5795207"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00045","","","","90","80","70","45","77","13","12","77.9","5","5","25","102.9","122","0.288888889","0.155844156","0.204918033","1.525","1.355555556","0.5625","0.5","0.3125","0.277777778","0.97375","0.865555556","36.8852459","24.29543246","88.88888889","5.349794239","6.018518519","10.28806584","11.57407407","32.05761317","36.06481481","42.34567901","47.63888889"
