"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00001","","","","84","54","54","47","100","34","28.72","4.06","72.85","3","3","5","21.69","4.63","5.37","2.05","1.13","53.79","7.85","11.5","6.94","32.78","105.63","134","0.2872","0.119411765","0.244626866","2.481481481","1.851851852","0.607037037","1.349074074","74.62686567","31.03285052","7.109982","12.66313933","14.45326279","32.12081129","3.134912698","46.57407407","1.595238095","1.19047619","0.390238095","0.867261905","64.28571429","19.69821674","22.48285322","49.96570645","4.876530864","72.44855967"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00002","","","","84","24","24","5","0","14","0","0.66","77.28","1","9","7","","","","","","","","","","0.66","77.94","14","","0.047142857","0.047142857","0.583333333","0","0.0275","3.22","0","0.846805235","","0","0.291005291","34.07407407","","34.36507937","0.166666667","0","0.007857143","0.92","28.57142857","0","1.018518519","119.2592593","","120.2777778"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00003","","","","84","47","47","38","186","190","29.84","8.14","51.41","3","1","3","19.66","3.14","7.69","1.81","0.92","49","8.31","11.77","14.85","37.98","89.39","376","0.160430108","0.042842105","0.101010638","8","3.957446809","0.808085106","1.093829787","49.46808511","42.48797405","7.466868","13.15696649","16.74603175","22.6675485","3.292269841","39.41358025","4.476190476","2.214285714","0.452142857","0.61202381","55.95238095","23.51457841","29.92907801","40.51221434","5.884056738","70.44129236"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00004","","","","84","49","49","43","60","173","4.86","4.24","70.25","1","1","1","26.87","5.41","10.58","2.11","1.45","61.26","1.49","3.16","10.79","9.1","79.35","233","0.081","0.024508671","0.039055794","4.755102041","1.224489796","0.185714286","1.433673469","25.75107296","11.46817895","2.44517","2.142857143","4.012345679","30.97442681","1.078117284","34.98677249","2.773809524","0.714285714","0.108333333","0.836309524","58.33333333","3.673469388","6.878306878","53.09901738","1.848201058","59.97732426"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00005","","","","84","37","37","36","83","113","11.28","3.66","74.14","3","1","3","22.16","4.55","39.51","2.5","1.31","48.37","4.58","6.83","18.77","14.94","89.08","196","0.135903614","0.032389381","0.07622449","5.297297297","2.243243243","0.403783784","2.003783784","42.34693878","16.7714414","3.310704","4.973544974","6.587301587","32.68959436","1.459746032","39.27689594","2.333333333","0.988095238","0.177857143","0.882619048","44.04761905","11.29129129","14.95495495","74.21421421","3.314018018","89.16916917"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00006","","","","84","29","29","22","65","135","6.84","4.58","95.4","1","1","1","26.98","6.06","27.78","2.58","1.61","57.75","2.83","5.04","8.93","11.42","106.82","200","0.105230769","0.033925926","0.0571","6.896551724","2.24137931","0.393793103","3.289655172","32.5","10.69088186","3.081116","3.015873016","5.035273369","42.06349206","1.358516755","47.09876543","2.380952381","0.773809524","0.135952381","1.135714286","34.52380952","8.735632184","14.58492976","121.8390805","3.935014049","136.4240102"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00007","","","","84","63","63","31","30","36","3.5","1.58","87.69","1","1","1","31.32","4.45","0","1.84","1.08","66.52","1.49","3.19","10.18","5.08","92.77","66","0.116666667","0.043888889","0.076969697","1.047619048","0.476190476","0.080634921","1.391904762","45.45454545","5.47590816","1.591056","1.543209877","2.239858907","38.66402116","0.70152381","40.90388007","0.785714286","0.357142857","0.06047619","1.043928571","75","2.057613169","2.986478542","51.55202822","0.935365079","54.53850676"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00008","","","","84","31","31","29","34","49","7.84","3.54","39.11","3","3","3","23.25","4.4","32.8","2.4","1.42","55.08","3.39","5.49","15.39","11.38","50.49","83","0.230588235","0.072244898","0.137108434","2.677419355","1.096774194","0.367096774","1.261612903","40.96385542","22.53911666","2.64585","3.456790123","5.017636684","17.24426808","1.166600529","22.26190476","0.988095238","0.404761905","0.13547619","0.465595238","36.9047619","9.366786141","13.59617682","46.72640382","3.161111111","60.32258065"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00009","","","","84","51","51","28","64","78","9.66","3","67.41","3","1","3","25.28","5.77","34.94","2.83","1.7","59.47","1.52","3.72","11.74","12.66","80.07","142","0.1509375","0.038461538","0.08915493","2.784313725","1.254901961","0.248235294","1.321764706","45.07042254","15.81116523","3.200448","4.259259259","5.582010582","29.72222222","1.411132275","35.3042328","1.69047619","0.761904762","0.150714286","0.8025","60.71428571","7.015250545","9.193899782","48.95424837","2.324217865","58.14814815"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00010","","","","84","46","46","46","75","123","12.34","5.96","69.1","3","1","1","26.59","4.11","34.85","1.96","1.26","63.33","1.66","3.26","10.63","18.3","87.4","198","0.164533333","0.048455285","0.092424242","4.304347826","1.630434783","0.397826087","1.502173913","37.87878788","20.9382151","4.86597","5.440917108","8.068783069","30.46737213","2.145489418","38.5361552","2.357142857","0.892857143","0.217857143","0.822619048","54.76190476","9.935587762","14.73429952","55.63607085","3.917850242","70.37037037"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00011","","","","84","28","28","8","20","22","1.98","0.68","43.99","1","3","3","25.16","5.41","29.74","2.68","1.79","50.85","1.93","4.22","18.53","2.66","46.65","42","0.099","0.030909091","0.063333333","1.5","0.714285714","0.095","1.571071429","47.61904762","5.702036442","0.669256","0.873015873","1.172839506","19.39594356","0.29508642","20.56878307","0.5","0.238095238","0.031666667","0.523690476","33.33333333","2.619047619","3.518518519","58.18783069","0.885259259","61.70634921"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00012","","","","84","49","49","39","68","59","19.94","8.46","37.32","1","5","5","23.49","3.36","39.67","2.15","1.23","54.7","3.83","5.68","13.94","28.4","65.72","127","0.293235294","0.143389831","0.223622047","2.591836735","1.387755102","0.579591837","0.761632653","53.54330709","43.2136336","6.67116","8.791887125","12.52204586","16.45502646","2.941428571","28.97707231","1.511904762","0.80952381","0.338095238","0.444285714","58.33333333","15.0718065","21.46636432","28.20861678","5.04244898","49.6749811"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00013","","","","84","26","26","26","82","42","20.42","2.28","12.3","1","3","1","","","","","","","","","","22.7","35","124","0.24902439","0.054285714","0.183064516","4.769230769","3.153846154","0.873076923","0.473076923","66.12903226","64.85714286","","9.003527337","10.00881834","5.423280423","","15.43209877","1.476190476","0.976190476","0.270238095","0.146428571","30.95238095","29.08831909","32.33618234","17.52136752","","49.85754986"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00014","","","","84","35","35","35","70","95","20.92","3.86","30","1","3","3","24.94","2.95","17.97","1.8","1.01","57.89","6.54","9.45","6.01","24.78","54.78","165","0.298857143","0.040631579","0.150181818","4.714285714","2","0.708","0.857142857","42.42424242","45.2354874","6.180132","9.223985891","10.92592593","13.22751323","2.724925926","24.15343915","1.964285714","0.833333333","0.295","0.357142857","41.66666667","22.13756614","26.22222222","31.74603175","6.539822222","57.96825397"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00015","","","","84","48","48","43","150","301","23.78","10.12","80.1","1","1","3","1.98","6.01","0","3.12","1.61","54.29","2.67","4.51","19.15","33.9","114","451","0.158533333","0.033621262","0.075166297","9.395833333","3.125","0.70625","1.66875","33.2594235","29.73684211","0.67122","10.48500882","14.94708995","35.31746032","0.295952381","50.26455026","5.369047619","1.785714286","0.403571429","0.953571429","57.14285714","18.34876543","26.15740741","61.80555556","0.517916667","87.96296296"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00016","","","","84","55","55","32","48","100","9.62","3.2","64.45","1","1","3","22.94","5.79","33.96","2.62","1.64","58.01","2.09","3.65","10.44","12.82","77.27","148","0.200416667","0.032","0.086621622","2.690909091","0.872727273","0.233090909","1.171818182","32.43243243","16.59117381","2.940908","4.241622575","5.652557319","28.41710758","1.296696649","34.0696649","1.761904762","0.571428571","0.152619048","0.767261905","65.47619048","6.478114478","8.632996633","43.4006734","1.980409428","52.03367003"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00017","","","","84","41","41","36","105","100","20.36","5.9","54.87","3","3","5","26.66","6.1","15.47","2.73","1.52","58.23","2","3.53","13.28","26.26","81.13","205","0.193904762","0.059","0.128097561","5","2.56097561","0.640487805","1.338292683","51.2195122","32.36780476","7.000916","8.97707231","11.57848325","24.19312169","3.086823633","35.77160494","2.44047619","1.25","0.312619048","0.653214286","48.80952381","18.39205059","23.72177055","49.56639566","6.324224029","73.28816621"
"","","MZP2018UMB-MT02","","","","","","","","","MZP2018UMB-MT02-00018","","","","84","56","56","49","126","240","33.02","10.34","92.5","1","3","1","22.65","3.74","43.75","2.24","1.24","54.04","2.98","4.91","17.53","43.36","135.86","366","0.262063492","0.043083333","0.118469945","6.535714286","2.25","0.774285714","1.651785714","34.42622951","31.91520683","9.82104","14.55908289","19.11816578","40.78483245","4.33026455","59.90299824","4.357142857","1.5","0.516190476","1.101190476","66.66666667","21.83862434","28.67724868","61.17724868","6.495396825","89.85449735"
