"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","treatment_irrigation","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00001","","","","84","41","41","41","62","400","16.18","15.24","37.6","1","3","31.42","69.02","462","0.260967742","0.0381","0.068008658","11.26829268","1.512195122","0.766341463","0.917073171","13.41991342","45.5230368","7.134038801","13.85361552","16.57848325","30.43209877","1","5.5","0.738095238","0.374047619","0.447619048","48.80952381","14.61607949","28.38301716","33.96567299","62.34869015"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00002","","","","84","40","40","36","34","72","8.46","6.88","34","1","3","15.34","49.34","106","0.248823529","0.095555556","0.144716981","2.65","0.85","0.3835","0.85","32.0754717","31.09039319","3.73015873","6.76366843","14.99118166","21.75485009","1","1.261904762","0.404761905","0.182619048","0.404761905","47.61904762","7.833333333","14.2037037","31.48148148","45.68518519"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00003","","","","84","48","48","17","13","71","2.2","2.2","32","1","3","4.4","36.4","84","0.169230769","0.030985915","0.052380952","1.75","0.270833333","0.091666667","0.666666667","15.47619048","12.08791209","0.970017637","1.940035273","14.10934744","16.04938272","1","1","0.154761905","0.052380952","0.380952381","57.14285714","1.697530864","3.395061728","24.69135802","28.08641975"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00004","","","","84","53","53","50","65","300","16.46","14.24","48.6","1","3","30.7","79.3","365","0.253230769","0.047466667","0.084109589","6.886792453","1.226415094","0.579245283","0.916981132","17.80821918","38.71374527","7.257495591","13.5361552","21.42857143","34.96472663","1","4.345238095","0.773809524","0.36547619","0.578571429","63.0952381","11.50244584","21.453529","33.96226415","55.41579315"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00005","","","","84","44","44","31","31","77","5.1","3.32","45","1","5","8.42","53.42","108","0.164516129","0.043116883","0.077962963","2.454545455","0.704545455","0.191363636","1.022727273","28.7037037","15.76188693","2.248677249","3.712522046","19.84126984","23.55379189","1","1.285714286","0.369047619","0.100238095","0.535714286","52.38095238","4.292929293","7.087542088","37.87878788","44.96632997"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00006","","","","84","48","48","44","27","212","2.8","5.2","35.8","1","3","8","43.8","239","0.103703704","0.024528302","0.033472803","4.979166667","0.5625","0.166666667","0.745833333","11.29707113","18.26484018","1.234567901","3.527336861","15.78483245","19.31216931","1","2.845238095","0.321428571","0.095238095","0.426190476","57.14285714","2.160493827","6.172839506","27.62345679","33.7962963"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00007","","","","84","40","40","33","71","186","23.8","8.6","31.2","1","3","32.4","63.6","257","0.335211268","0.046236559","0.126070039","6.425","1.775","0.81","0.78","27.62645914","50.94339623","10.49382716","14.28571429","13.75661376","28.04232804","1","3.05952381","0.845238095","0.385714286","0.371428571","47.61904762","22.03703704","30","28.88888889","58.88888889"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00008","","","","84","28","28","13","28","43","8.6","2.4","27.7","1","1","11","38.7","71","0.307142857","0.055813953","0.154929577","2.535714286","1","0.392857143","0.989285714","39.43661972","28.42377261","3.791887125","4.850088183","12.21340388","17.06349206","1","0.845238095","0.333333333","0.130952381","0.329761905","33.33333333","11.37566138","14.55026455","36.64021164","51.19047619"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00009","","","","84","48","48","34","43","60","9.4","4.6","41.1","1","3","14","55.1","103","0.218604651","0.076666667","0.13592233","2.145833333","0.895833333","0.291666667","0.85625","41.74757282","25.40834846","4.144620811","6.172839506","18.12169312","24.29453263","1","1.226190476","0.511904762","0.166666667","0.489285714","57.14285714","7.25308642","10.80246914","31.71296296","42.5154321"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00010","","","","84","37","37","30","27","148","4","5","57.4","1","3","9","66.4","175","0.148148148","0.033783784","0.051428571","4.72972973","0.72972973","0.243243243","1.551351351","15.42857143","13.55421687","1.76366843","3.968253968","25.30864198","29.27689594","1","2.083333333","0.321428571","0.107142857","0.683333333","44.04761905","4.004004004","9.009009009","57.45745746","66.46646647"
