"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","treatment_late_season_drought","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00001","","","","84","70","70","54","24","359","3.4","10","33.6","1","5","13.4","47","383","0.141666667","0.027855153","0.034986945","5.471428571","0.342857143","0.191428571","0.48","6.266318538","28.5106383","1.499118166","5.908289242","14.81481481","20.72310406","1","4.55952381","0.285714286","0.15952381","0.4","83.33333333","1.798941799","7.08994709","17.77777778","24.86772487"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00002","","","","84","50","50","43","44","320","6.8","9.8","24.2","1","5","16.6","40.8","364","0.154545455","0.030625","0.045604396","7.28","0.88","0.332","0.484","12.08791209","40.68627451","2.998236332","7.319223986","10.670194","17.98941799","1","4.333333333","0.523809524","0.197619048","0.288095238","59.52380952","5.037037037","12.2962963","17.92592593","30.22222222"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00003","","","","84","58","58","15","0","38","0","0.2","37.8","1","5","0.2","38","38","","0.005263158","0.005263158","0.655172414","0","0.003448276","0.651724138","0","0.526315789","0","0.088183422","16.66666667","16.75485009","1","0.452380952","0","0.002380952","0.45","69.04761905","0","0.127713921","24.13793103","24.26564496"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00004","","","","84","48","48","15","9","26","0.6","0.8","31.8","1","5","1.4","33.2","35","0.066666667","0.030769231","0.04","0.729166667","0.1875","0.029166667","0.6625","25.71428571","4.21686747","0.264550265","0.617283951","14.02116402","14.63844797","1","0.416666667","0.107142857","0.016666667","0.378571429","57.14285714","0.462962963","1.080246914","24.53703704","25.61728395"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00005","","","","84","46","46","44","134","310","23.4","13","35.2","1","3","36.4","71.6","444","0.174626866","0.041935484","0.081981982","9.652173913","2.913043478","0.791304348","0.765217391","30.18018018","50.83798883","10.31746032","16.04938272","15.52028219","31.5696649","1","5.285714286","1.595238095","0.433333333","0.419047619","54.76190476","18.84057971","29.30756844","28.34138486","57.6489533"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00006","","","","84","4","4","1","1","3","0.1","0.1","3.6","1","7","0.2","3.8","4","0.1","0.033333333","0.05","1","0.25","0.05","0.9","25","5.263157895","0.044091711","0.088183422","1.587301587","1.675485009","1","0.047619048","0.011904762","0.002380952","0.042857143","4.761904762","0.925925926","1.851851852","33.33333333","35.18518519"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00007","","","","84","9","9","2","1","2","0.1","0.1","7.8","1","5","0.2","8","3","0.1","0.05","0.066666667","0.333333333","0.111111111","0.022222222","0.866666667","33.33333333","2.5","0.044091711","0.088183422","3.439153439","3.527336861","1","0.035714286","0.011904762","0.002380952","0.092857143","10.71428571","0.411522634","0.823045267","32.09876543","32.9218107"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00008","","","","84","3","3","2","1","7","0.1","0.2","1.4","1","7","0.3","1.7","8","0.1","0.028571429","0.0375","2.666666667","0.333333333","0.1","0.466666667","12.5","17.64705882","0.044091711","0.132275132","0.617283951","0.749559083","1","0.095238095","0.011904762","0.003571429","0.016666667","3.571428571","1.234567901","3.703703704","17.28395062","20.98765432"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00009","","","","84","49","49","11","2","28","0.2","0.4","23","1","5","0.6","23.6","30","0.1","0.014285714","0.02","0.612244898","0.040816327","0.012244898","0.469387755","6.666666667","2.542372881","0.088183422","0.264550265","10.14109347","10.40564374","1","0.357142857","0.023809524","0.007142857","0.273809524","58.33333333","0.15117158","0.453514739","17.38473167","17.83824641"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00010","","","","84","10","10","6","0","44","0","1.6","4.6","1","5","1.6","6.2","44","","0.036363636","0.036363636","4.4","0","0.16","0.46","0","25.80645161","0","0.705467372","2.028218695","2.733686067","1","0.523809524","0","0.019047619","0.054761905","11.9047619","0","5.925925926","17.03703704","22.96296296"
