"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00001","","","","26","20","1","1","7","18","18","32","44","8.1","9.5","10.2","5","1","1","1","17.6","27.8","76","0.253125","0.215909091","0.231578947","4.222222222","2.923076923","1.777777778","1.230769231","0.977777778","0.676923077","0.566666667","0.392307692","42.10526316","63.30935252","69.23076923","11.53846154","16.66666667","25.07122507","36.21399177","14.52991453","20.98765432","39.6011396","57.20164609"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00002","","","","26","26","1","1","5","25","25","27","32","7.5","8.1","7.5","4","3","3","3","15.6","23.1","59","0.277777778","0.253125","0.26440678","2.36","2.269230769","1.08","1.038461538","0.624","0.6","0.3","0.288461538","45.76271186","67.53246753","96.15384615","10.68376068","11.11111111","22.22222222","23.11111111","10.68376068","11.11111111","32.90598291","34.22222222"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00003","","","","26","24","3","5","5","24","24","32","41","8","11.2","7.7","7","3","3","5","19.2","26.9","73","0.25","0.273170732","0.263013699","3.041666667","2.807692308","1.333333333","1.230769231","0.8","0.738461538","0.320833333","0.296153846","43.83561644","71.37546468","92.30769231","11.3960114","12.34567901","27.35042735","29.62962963","10.96866097","11.88271605","38.31908832","41.51234568"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00004","","","","26","26","1","1","7","22","22","19","35","5.5","8","8.5","2","3","1","1","13.5","22","54","0.289473684","0.228571429","0.25","2.454545455","2.076923077","0.863636364","0.730769231","0.613636364","0.519230769","0.386363636","0.326923077","35.18518519","61.36363636","84.61538462","7.834757835","9.259259259","19.23076923","22.72727273","12.10826211","14.30976431","31.33903134","37.03703704"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00005","","","","26","26","1","1","5","23","23","17","29","4.7","7.2","6.5","7","1","1","3","11.9","18.4","46","0.276470588","0.248275862","0.258695652","2","1.769230769","0.739130435","0.653846154","0.517391304","0.457692308","0.282608696","0.25","36.95652174","64.67391304","88.46153846","6.695156695","7.568438003","16.95156695","19.1626409","9.259259259","10.46698873","26.21082621","29.62962963"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00006","","","","26","25","1","1","5","20","20","18","28","5","7.2","9.2","9","3","1","7","12.2","21.4","46","0.277777778","0.257142857","0.265217391","2.3","1.769230769","0.9","0.692307692","0.61","0.469230769","0.46","0.353846154","39.13043478","57.00934579","76.92307692","7.122507123","9.259259259","17.37891738","22.59259259","13.10541311","17.03703704","30.48433048","39.62962963"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00007","","","","26","26","1","1","7","23","23","15","23","4.5","6.5","11.6","2","3","3","1","11","22.6","38","0.3","0.282608696","0.289473684","1.652173913","1.461538462","0.652173913","0.576923077","0.47826087","0.423076923","0.504347826","0.446153846","39.47368421","48.67256637","88.46153846","6.41025641","7.246376812","15.66951567","17.71336554","16.52421652","18.67954911","32.19373219","36.39291465"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00008","","","","26","26","3","5","5","22","22","17","25","5","6.7","10.2","7","5","5","5","11.7","21.9","42","0.294117647","0.268","0.278571429","1.909090909","1.615384615","0.772727273","0.653846154","0.531818182","0.45","0.463636364","0.392307692","40.47619048","53.42465753","84.61538462","7.122507123","8.417508418","16.66666667","19.6969697","14.52991453","17.17171717","31.1965812","36.86868687"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00009","","","","26","22","1","1","5","22","22","16","24","4.7","6.6","5.5","5","5","3","7","11.3","16.8","40","0.29375","0.275","0.2825","1.818181818","1.538461538","0.727272727","0.615384615","0.513636364","0.434615385","0.25","0.211538462","40","67.26190476","84.61538462","6.695156695","7.912457912","16.0968661","19.02356902","7.834757835","9.259259259","23.93162393","28.28282828"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00010","","","","26","21","1","1","7","20","20","27","43","7.5","9.5","11.5","9","3","3","1","17","28.5","70","0.277777778","0.220930233","0.242857143","3.5","2.692307692","1.35","1.038461538","0.85","0.653846154","0.575","0.442307692","38.57142857","59.64912281","76.92307692","10.68376068","13.88888889","24.21652422","31.48148148","16.38176638","21.2962963","40.5982906","52.77777778"
