"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00001","","","","36","25","17","9","14","24","2","0.8","18","1","5","5","2.8","20.8","0.142857143","0.073684211","2.235294118","1.055555556","0.823529412","0.388888889","0.164705882","0.077777778","1.058823529","0.5","13.46153846","47.22222222","2.057613169","4.357298475","2.880658436","6.100217865","18.51851852","39.21568627","21.39917695","45.31590414","38","0.033333333","36.84210526"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00002","","","","36","26","18","10","23","25","2.8","1.2","14.2","1","5","3","4","18.2","0.12173913","0.083333333","2.666666667","1.333333333","1.277777778","0.638888889","0.222222222","0.111111111","0.788888889","0.394444444","21.97802198","50","2.880658436","5.761316872","4.115226337","8.230452675","14.6090535","29.218107","18.72427984","37.44855967","48","0.048","47.91666667"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00003","","","","36","34","26","19","32","80","5","3","11.6","1","5","3","8","19.6","0.15625","0.071428571","4.307692308","3.111111111","1.230769231","0.888888889","0.307692308","0.222222222","0.446153846","0.322222222","40.81632653","72.22222222","5.144032922","7.122507123","8.230452675","11.3960114","11.93415638","16.52421652","20.16460905","27.92022792","112","0.0375","28.57142857"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00004","","","","36","34","26","18","21","19","5.6","1.2","16","1","3","3","6.8","22.8","0.266666667","0.17","1.538461538","1.111111111","0.807692308","0.583333333","0.261538462","0.188888889","0.615384615","0.444444444","29.8245614","72.22222222","5.761316872","7.977207977","6.995884774","9.686609687","16.46090535","22.79202279","23.45679012","32.47863248","40","0.063157895","52.5"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00005","","","","36","30","22","10","14","18","3.2","1.4","18.4","1","5","7","4.6","23","0.228571429","0.14375","1.454545455","0.888888889","0.636363636","0.388888889","0.209090909","0.127777778","0.836363636","0.511111111","20","61.11111111","3.29218107","5.387205387","4.732510288","7.744107744","18.93004115","30.97643098","23.66255144","38.72053872","32","0.077777778","43.75"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00006","","","","36","33","25","11","14","11","1.8","0.2","15","1","5","3","2","17","0.128571429","0.08","1","0.694444444","0.56","0.388888889","0.08","0.055555556","0.6","0.416666667","11.76470588","69.44444444","1.851851852","2.666666667","2.057613169","2.962962963","15.43209877","22.22222222","17.48971193","25.18518519","25","0.018181818","56"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00007","","","","36","34","26","26","58","158","25.6","1.6","17.8","1","1","3","27.2","45","0.44137931","0.125925926","8.307692308","6","2.230769231","1.611111111","1.046153846","0.755555556","0.684615385","0.494444444","60.44444444","72.22222222","26.33744856","36.46723647","27.98353909","38.74643875","18.3127572","25.35612536","46.2962963","64.1025641","216","0.010126582","26.85185185"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00008","","","","36","33","25","20","35","67","3.6","2.6","17.4","1","5","5","6.2","23.6","0.102857143","0.060784314","4.08","2.833333333","1.4","0.972222222","0.248","0.172222222","0.696","0.483333333","26.27118644","69.44444444","3.703703704","5.333333333","6.378600823","9.185185185","17.90123457","25.77777778","24.27983539","34.96296296","102","0.03880597","34.31372549"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00009","","","","36","33","25","25","25","177","2.4","5.4","19.6","1","7","7","7.8","27.4","0.096","0.038613861","8.08","5.611111111","1","0.694444444","0.312","0.216666667","0.784","0.544444444","28.46715328","69.44444444","2.469135802","3.555555556","8.024691358","11.55555556","20.16460905","29.03703704","28.18930041","40.59259259","202","0.030508475","12.37623762"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00010","","","","36","30","22","21","46","34","9.4","2.2","25","1","5","5","11.6","36.6","0.204347826","0.145","3.636363636","2.222222222","2.090909091","1.277777778","0.527272727","0.322222222","1.136363636","0.694444444","31.69398907","61.11111111","9.670781893","15.82491582","11.93415638","19.52861953","25.72016461","42.08754209","37.65432099","61.61616162","80","0.064705882","57.5"
