"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00001","","","","12","1","1","1","0","2","0","0.2","0.2","1","5","5","0.2","0.4","2","","0.1","0.1","2","0","0.2","0.2","0","50","0","0.617283951","0.617283951","1.234567901","0.166666667","0","0.016666667","0.016666667","8.333333333","0","7.407407407","7.407407407","14.81481481"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00002","","","","12","3","3","3","5","3","2","1","9.2","3","5","7","3","12.2","8","0.4","0.333333333","0.375","2.666666667","1.666666667","1","3.066666667","62.5","24.59016393","6.172839506","9.259259259","28.39506173","37.65432099","0.666666667","0.416666667","0.25","0.766666667","25","24.69135802","37.03703704","113.5802469","150.617284"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00003","","","","12","4","4","3","6","6","1.2","0.4","3.4","3","3","5","1.6","5","12","0.2","0.066666667","0.133333333","3","1.5","0.4","0.85","50","32","3.703703704","4.938271605","10.49382716","15.43209877","1","0.5","0.133333333","0.283333333","33.33333333","11.11111111","14.81481481","31.48148148","46.2962963"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00004","","","","12","3","3","3","12","16","2.2","1","4.4","3","3","3","3.2","7.6","28","0.183333333","0.0625","0.114285714","9.333333333","4","1.066666667","1.466666667","42.85714286","42.10526316","6.790123457","9.87654321","13.58024691","23.45679012","2.333333333","1","0.266666667","0.366666667","25","27.16049383","39.50617284","54.32098765","93.82716049"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00005","","","","12","4","4","3","14","6","3","0.4","3.2","1","1","1","3.4","6.6","20","0.214285714","0.066666667","0.17","5","3.5","0.85","0.8","70","51.51515152","9.259259259","10.49382716","9.87654321","20.37037037","1.666666667","1.166666667","0.283333333","0.266666667","33.33333333","27.77777778","31.48148148","29.62962963","61.11111111"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00006","","","","12","3","3","2","8","4","1.2","0.4","1","3","5","5","1.6","2.6","12","0.15","0.1","0.133333333","4","2.666666667","0.533333333","0.333333333","66.66666667","61.53846154","3.703703704","4.938271605","3.086419753","8.024691358","1","0.666666667","0.133333333","0.083333333","25","14.81481481","19.75308642","12.34567901","32.09876543"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00007","","","","12","3","3","3","5","2","2.2","0.6","2","1","3","5","2.8","4.8","7","0.44","0.3","0.4","2.333333333","1.666666667","0.933333333","0.666666667","71.42857143","58.33333333","6.790123457","8.641975309","6.172839506","14.81481481","0.583333333","0.416666667","0.233333333","0.166666667","25","27.16049383","34.56790123","24.69135802","59.25925926"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00008","","","","12","3","3","3","2","1","0.2","0.2","4.4","1","5","5","0.4","4.8","3","0.1","0.2","0.133333333","1","0.666666667","0.133333333","1.466666667","66.66666667","8.333333333","0.617283951","1.234567901","13.58024691","14.81481481","0.25","0.166666667","0.033333333","0.366666667","25","2.469135802","4.938271605","54.32098765","59.25925926"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00009","","","","12","4","4","3","4","4","1.2","0.2","2.6","3","5","5","1.4","4","8","0.3","0.05","0.175","2","1","0.35","0.65","50","35","3.703703704","4.320987654","8.024691358","12.34567901","0.666666667","0.333333333","0.116666667","0.216666667","33.33333333","11.11111111","12.96296296","24.07407407","37.03703704"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00010","","","","12","4","4","3","8","4","4.4","0.2","4.2","2","3","5","4.6","8.8","12","0.55","0.05","0.383333333","3","2","1.15","1.05","66.66666667","52.27272727","13.58024691","14.19753086","12.96296296","27.16049383","1","0.666666667","0.383333333","0.35","33.33333333","40.74074074","42.59259259","38.88888889","81.48148148"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00011","","","","12","5","5","3","19","5","5.8","0.4","0.4","1","1","1","6.2","6.6","24","0.305263158","0.08","0.258333333","4.8","3.8","1.24","0.08","79.16666667","93.93939394","17.90123457","19.13580247","1.234567901","20.37037037","2","1.583333333","0.516666667","0.033333333","41.66666667","42.96296296","45.92592593","2.962962963","48.88888889"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00012","","","","12","3","3","2","7","1","2","0.2","4","3","3","3","2.2","6.2","8","0.285714286","0.2","0.275","2.666666667","2.333333333","0.733333333","1.333333333","87.5","35.48387097","6.172839506","6.790123457","12.34567901","19.13580247","0.666666667","0.583333333","0.183333333","0.333333333","25","24.69135802","27.16049383","49.38271605","76.54320988"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00013","","","","12","4","4","3","11","4","3.8","0.2","3.2","3","5","5","4","7.2","15","0.345454545","0.05","0.266666667","3.75","2.75","1","0.8","73.33333333","55.55555556","11.72839506","12.34567901","9.87654321","22.22222222","1.25","0.916666667","0.333333333","0.266666667","33.33333333","35.18518519","37.03703704","29.62962963","66.66666667"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00014","","","","12","3","3","3","12","13","1.8","0.6","5.8","1","3","5","2.4","8.2","25","0.15","0.046153846","0.096","8.333333333","4","0.8","1.933333333","48","29.26829268","5.555555556","7.407407407","17.90123457","25.30864198","2.083333333","1","0.2","0.483333333","25","22.22222222","29.62962963","71.60493827","101.2345679"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00015","","","","12","4","4","3","19","7","4.2","0.2","1","3","3","3","4.4","5.4","26","0.221052632","0.028571429","0.169230769","6.5","4.75","1.1","0.25","73.07692308","81.48148148","12.96296296","13.58024691","3.086419753","16.66666667","2.166666667","1.583333333","0.366666667","0.083333333","33.33333333","38.88888889","40.74074074","9.259259259","50"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00016","","","","12","4","4","3","6","1","0.8","0.04","4.2","1","5","5","0.84","5.04","7","0.133333333","0.04","0.12","1.75","1.5","0.21","1.05","85.71428571","16.66666667","2.469135802","2.592592593","12.96296296","15.55555556","0.583333333","0.5","0.07","0.35","33.33333333","7.407407407","7.777777778","38.88888889","46.66666667"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00017","","","","12","4","4","3","9","9","2.2","0.26","1.6","1","1","1","2.46","4.06","18","0.244444444","0.028888889","0.136666667","4.5","2.25","0.615","0.4","50","60.591133","6.790123457","7.592592593","4.938271605","12.5308642","1.5","0.75","0.205","0.133333333","33.33333333","20.37037037","22.77777778","14.81481481","37.59259259"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00018","","","","12","4","4","4","6","0","2.8","0","0.2","1","1","1","2.8","3","6","0.466666667","","0.466666667","1.5","1.5","0.7","0.05","100","93.33333333","8.641975309","8.641975309","0.617283951","9.259259259","0.5","0.5","0.233333333","0.016666667","33.33333333","25.92592593","25.92592593","1.851851852","27.77777778"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00019","","","","12","3","3","3","5","1","2.2","0.02","2","1","1","1","2.22","4.22","6","0.44","0.02","0.37","2","1.666666667","0.74","0.666666667","83.33333333","52.60663507","6.790123457","6.851851852","6.172839506","13.02469136","0.5","0.416666667","0.185","0.166666667","25","27.16049383","27.40740741","24.69135802","52.09876543"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00020","","","","12","2","2","2","0","2","0","0.01","1.5","1","7","7","0.01","1.51","2","","0.005","0.005","1","0","0.005","0.75","0","0.662251656","0","0.030864198","4.62962963","4.660493827","0.166666667","0","0.000833333","0.125","16.66666667","0","0.185185185","27.77777778","27.96296296"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00021","","","","12","3","3","3","12","14","1.2","0.4","4.8","1","5","5","1.6","6.4","26","0.1","0.028571429","0.061538462","8.666666667","4","0.533333333","1.6","46.15384615","25","3.703703704","4.938271605","14.81481481","19.75308642","2.166666667","1","0.133333333","0.4","25","14.81481481","19.75308642","59.25925926","79.01234568"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00022","","","","12","2","2","1","3","1","0.6","0.08","3","3","1","1","0.68","3.68","4","0.2","0.08","0.17","2","1.5","0.34","1.5","75","18.47826087","1.851851852","2.098765432","9.259259259","11.35802469","0.333333333","0.25","0.056666667","0.25","16.66666667","11.11111111","12.59259259","55.55555556","68.14814815"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00023","","","","12","4","4","3","23","10","3.4","0.24","2","3","3","3","3.64","5.64","33","0.147826087","0.024","0.11030303","8.25","5.75","0.91","0.5","69.6969697","64.53900709","10.49382716","11.2345679","6.172839506","17.40740741","2.75","1.916666667","0.303333333","0.166666667","33.33333333","31.48148148","33.7037037","18.51851852","52.22222222"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00024","","","","12","4","4","3","13","6","5.4","0.4","2.4","1","1","1","5.8","8.2","19","0.415384615","0.066666667","0.305263158","4.75","3.25","1.45","0.6","68.42105263","70.73170732","16.66666667","17.90123457","7.407407407","25.30864198","1.583333333","1.083333333","0.483333333","0.2","33.33333333","50","53.7037037","22.22222222","75.92592593"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00025","","","","12","3","3","3","9","7","2.6","0.24","2.6","2","1","1","2.84","5.44","16","0.288888889","0.034285714","0.1775","5.333333333","3","0.946666667","0.866666667","56.25","52.20588235","8.024691358","8.765432099","8.024691358","16.79012346","1.333333333","0.75","0.236666667","0.216666667","25","32.09876543","35.0617284","32.09876543","67.16049383"
