"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227"," Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184"," Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Dry weight of storage root samples measuring g|CO_331:0000247","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00001","","","","14","12","3","4","3","12","0","23","0","2","1.5","2","2","2","3","20.4","5","3","4","4","2","3.5","23","","0.086956522","0.086956522","1.916666667","1.642857143","0","0","0.166666667","0.142857143","0.125","0.107142857","0","57.14285714","85.71428571","0","0","5.291005291","6.172839506","3.968253968","4.62962963","9.259259259","10.80246914"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00002","","","","14","14","2","3","3","14","3","10","1","1.1","1.2","2","2","2","3","16.4","5","3","4","4","2.1","3.3","13","0.333333333","0.11","0.161538462","0.928571429","0.928571429","0.214285714","0.214285714","0.15","0.15","0.085714286","0.085714286","23.07692308","63.63636364","100","2.645502646","2.645502646","5.555555556","5.555555556","3.174603175","3.174603175","8.73015873","8.73015873"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00003","","","","14","14","2","4","3","14","8","24","3","2.5","0.5","2","3","3","4","18.3","5","3","5","4","5.5","6","32","0.375","0.104166667","0.171875","2.285714286","2.285714286","0.571428571","0.571428571","0.392857143","0.392857143","0.035714286","0.035714286","25","91.66666667","100","7.936507937","7.936507937","14.55026455","14.55026455","1.322751323","1.322751323","15.87301587","15.87301587"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00004","","","","14","14","1","2","4","14","0","21","0","1.3","1.9","2","1","1","2","18","5","3","3","3","1.3","3.2","21","","0.061904762","0.061904762","1.5","1.5","0","0","0.092857143","0.092857143","0.135714286","0.135714286","0","40.625","100","0","0","3.439153439","3.439153439","5.026455026","5.026455026","8.465608466","8.465608466"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00005","","","","14","14","1","2","3","14","3","58","0.5","1.8","1","4","2","2","3","16.4","5","2","3","3","2.3","3.3","61","0.166666667","0.031034483","0.037704918","4.357142857","4.357142857","0.214285714","0.214285714","0.164285714","0.164285714","0.071428571","0.071428571","4.918032787","69.6969697","100","1.322751323","1.322751323","6.084656085","6.084656085","2.645502646","2.645502646","8.73015873","8.73015873"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00006","","","","14","14","1","2","4","14","10","17","3.5","2.5","2","1","3","3","4","19.7","5","3","5","5","6","8","27","0.35","0.147058824","0.222222222","1.928571429","1.928571429","0.714285714","0.714285714","0.428571429","0.428571429","0.142857143","0.142857143","37.03703704","75","100","9.259259259","9.259259259","15.87301587","15.87301587","5.291005291","5.291005291","21.16402116","21.16402116"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00007","","","","14","6","5","6","3","6","0","10","0","0.5","0.6","2","1","1","4","17.6","5","3","3","4","0.5","1.1","10","","0.05","0.05","1.666666667","0.714285714","0","0","0.083333333","0.035714286","0.1","0.042857143","0","45.45454545","42.85714286","0","0","1.322751323","3.086419753","1.587301587","3.703703704","2.91005291","6.790123457"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00008","","","","14","14","3","4","4","14","9","34","1","2","1.2","5","2","3","3","18.8","5","2","3","3","3","4.2","43","0.111111111","0.058823529","0.069767442","3.071428571","3.071428571","0.642857143","0.642857143","0.214285714","0.214285714","0.085714286","0.085714286","20.93023256","71.42857143","100","2.645502646","2.645502646","7.936507937","7.936507937","3.174603175","3.174603175","11.11111111","11.11111111"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00009","","","","14","13","2","3","4","13","5","18","0.6","0.9","1.5","5","2","2","4","20.6","5","3","4","3","1.5","3","23","0.12","0.05","0.065217391","1.769230769","1.642857143","0.384615385","0.357142857","0.115384615","0.107142857","0.115384615","0.107142857","21.73913043","50","92.85714286","1.587301587","1.709401709","3.968253968","4.273504274","3.968253968","4.273504274","7.936507937","8.547008547"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00010","","","","14","10","5","6","4","10","6","17","2","2.1","2","6","4","3","3","17.9","5","3","5","4","4.1","6.1","23","0.333333333","0.123529412","0.17826087","2.3","1.642857143","0.6","0.428571429","0.41","0.292857143","0.2","0.142857143","26.08695652","67.21311475","71.42857143","5.291005291","7.407407407","10.84656085","15.18518519","5.291005291","7.407407407","16.13756614","22.59259259"
