"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00001","","","","39","39","1","1","8","42","23","20","49","19","9.5","0.5","3","4","5","1.38","4","2","4","4","10","52","68","0.193877551","0.026315789","0.147058824","2.956521739","1.743589744","2.130434783","1.256410256","0.434782609","0.256410256","1.826086957","1.076923077","72.05882353","19.23076923","58.97435897","9.021842355","15.2979066","9.496676163","16.10305958","39.88603989","67.63285024","49.38271605","83.73590982"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00002","","","","39","35","1","1","6","8","24","11","17","10","2.5","0.8","4","4","5","7.76","4","2","5","4","3.3","11.3","27","0.147058824","0.08","0.122222222","1.125","0.692307692","0.708333333","0.435897436","0.1375","0.084615385","0.333333333","0.205128205","62.96296296","29.20353982","61.53846154","2.374169041","3.858024691","3.133903134","5.092592593","7.597340931","12.34567901","10.73124406","17.4382716"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00003","","","","39","39","1","1","8","30.5","25","14","33","57","5","3","5","5","5","6.12","4","3","4","3","8","38.5","90","0.151515152","0.052631579","0.088888889","3.6","2.307692308","1.32","0.846153846","0.32","0.205128205","1.22","0.782051282","36.66666667","20.77922078","64.1025641","4.748338082","7.407407407","7.597340931","11.85185185","28.9648623","45.18518519","36.56220323","57.03703704"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00004","","","","39","39","1","1","8","18.5","36","35","87","69","13.5","5","4","4","4","4.41","5","2","3","4","18.5","37","156","0.155172414","0.072463768","0.118589744","4.333333333","4","2.416666667","2.230769231","0.513888889","0.474358974","0.513888889","0.474358974","55.76923077","50","92.30769231","12.82051282","13.88888889","17.5688509","19.03292181","17.5688509","19.03292181","35.1377018","38.06584362"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00005","","","","39","39","1","1","7","20","23","19","13","57","3","15","3","2","4","11.03","4","2","4","4","18","38","70","0.230769231","0.263157895","0.257142857","3.043478261","1.794871795","0.565217391","0.333333333","0.782608696","0.461538462","0.869565217","0.512820513","18.57142857","47.36842105","58.97435897","2.849002849","4.830917874","17.09401709","28.98550725","18.99335233","32.20611916","36.08736942","61.19162641"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00006","","","","39","39","1","1","8","20","22","22","8","48","3","13","4","4","4","11.03","5","2","4","4","16","36","56","0.375","0.270833333","0.285714286","2.545454545","1.435897436","0.363636364","0.205128205","0.727272727","0.41025641","0.909090909","0.512820513","14.28571429","44.44444444","56.41025641","2.849002849","5.050505051","15.19468186","26.93602694","18.99335233","33.67003367","34.18803419","60.60606061"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00007","","","","39","34","1","1","7","14","28","26","66","78","7.5","4","4","3","4","11.03","5","2","4","4","11.5","25.5","144","0.113636364","0.051282051","0.079861111","5.142857143","3.692307692","2.357142857","1.692307692","0.410714286","0.294871795","0.5","0.358974359","45.83333333","45.09803922","71.79487179","7.122507123","9.920634921","10.92117759","15.21164021","13.29534663","18.51851852","24.21652422","33.73015873"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00008","","","","39","38","1","1","6","21","34","26","58","102","20.5","5","4","4","4","11.03","5","2","4","4","25.5","46.5","160","0.353448276","0.049019608","0.159375","4.705882353","4.102564103","1.705882353","1.487179487","0.75","0.653846154","0.617647059","0.538461538","36.25","54.83870968","87.17948718","19.46818613","22.33115468","24.21652422","27.77777778","19.94301994","22.87581699","44.15954416","50.65359477"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00009","","","","39","39","1","1","9","19.5","32","32","69","200","6","8.5","5","3","4","10.5","4","2","5","4","14.5","34","269","0.086956522","0.0425","0.053903346","8.40625","6.897435897","2.15625","1.769230769","0.453125","0.371794872","0.609375","0.5","25.65055762","42.64705882","82.05128205","5.698005698","6.944444444","13.77018044","16.78240741","18.51851852","22.56944444","32.28869896","39.35185185"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00010","","","","39","39","1","1","9","29","22","21","117","72","15","2.5","3","4","4","12.39","5","2","3","4","17.5","46.5","189","0.128205128","0.034722222","0.092592593","8.590909091","4.846153846","5.318181818","3","0.795454545","0.448717949","1.318181818","0.743589744","61.9047619","37.6344086","56.41025641","14.24501425","25.25252525","16.61918329","29.46127946","27.54036087","48.82154882","44.15954416","78.28282828"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00011","","","","39","39","1","1","8","31","32","29","10","91","3.8","24.8","3","2","4","11.03","4","3","4","3","28.6","59.6","101","0.38","0.272527473","0.283168317","3.15625","2.58974359","0.3125","0.256410256","0.89375","0.733333333","0.96875","0.794871795","9.900990099","47.98657718","82.05128205","3.608736942","4.398148148","27.16049383","33.10185185","29.43969611","35.87962963","56.60018993","68.98148148"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00012","","","","39","39","1","1","6","10","28","26","89","150","7","5.5","3","4","4","12.39","4","2","5","4","12.5","22.5","239","0.078651685","0.036666667","0.052301255","8.535714286","6.128205128","3.178571429","2.282051282","0.446428571","0.320512821","0.357142857","0.256410256","37.23849372","55.55555556","71.79487179","6.647673314","9.259259259","11.8708452","16.53439153","9.496676163","13.22751323","21.36752137","29.76190476"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00013","","","","39","39","1","1","6","20","38","38","110","86","13","5","5","4","4","11.03","5","2","4","4","18","38","196","0.118181818","0.058139535","0.091836735","5.157894737","5.025641026","2.894736842","2.820512821","0.473684211","0.461538462","0.526315789","0.512820513","56.12244898","47.36842105","97.43589744","12.34567901","12.6705653","17.09401709","17.54385965","18.99335233","19.49317739","36.08736942","37.03703704"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00014","","","","39","37","1","1","6","7.5","31","29","95","74","8.5","2.2","4","4","4","11.03","4","2","3","4","10.7","18.2","169","0.089473684","0.02972973","0.063313609","5.451612903","4.333333333","3.064516129","2.435897436","0.34516129","0.274358974","0.241935484","0.192307692","56.21301775","58.79120879","79.48717949","8.072174739","10.15531661","10.16144349","12.78375149","7.122507123","8.960573477","17.28395062","21.74432497"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00015","","","","39","39","1","1","9","19","36","36","185","40","41","4","5","5","4","1.76","5","2","3","4","45","64","225","0.221621622","0.1","0.2","6.25","5.769230769","5.138888889","4.743589744","1.25","1.153846154","0.527777778","0.487179487","82.22222222","70.3125","92.30769231","38.93637227","42.18106996","42.73504274","46.2962963","18.04368471","19.5473251","60.77872745","65.8436214"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00016","","","","39","39","1","1","6","6","37","37","220","113","22.5","6","5","5","4","7.76","5","2","4","4","28.5","34.5","333","0.102272727","0.053097345","0.085585586","9","8.538461538","5.945945946","5.641025641","0.77027027","0.730769231","0.162162162","0.153846154","66.06606607","82.60869565","94.87179487","21.36752137","22.52252252","27.06552707","28.52852853","5.698005698","6.006006006","32.76353276","34.53453453"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00017","","","","39","39","1","1","9","27","31","25","60","105","6","4.5","5","4","5","7.76","5","2","5","4","10.5","37.5","165","0.1","0.042857143","0.063636364","5.322580645","4.230769231","1.935483871","1.538461538","0.338709677","0.269230769","0.870967742","0.692307692","36.36363636","28","79.48717949","5.698005698","7.168458781","9.971509972","12.54480287","25.64102564","32.25806452","35.61253561","44.80286738"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00018","","","","39","39","1","1","9","28","37","13","17","20","3","2.5","4","3","5","0.02","5","2","3","4","5.5","33.5","37","0.176470588","0.125","0.148648649","1","0.948717949","0.459459459","0.435897436","0.148648649","0.141025641","0.756756757","0.717948718","45.94594595","16.41791045","94.87179487","2.849002849","3.003003003","5.22317189","5.505505506","26.59069326","28.02802803","31.81386515","33.53353353"
