"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00001","","","","26","21","1","1","2","21","10","0","14","0","0.7","1","2","2","3","5","3","3","3","11.03","0.7","1.7","14","","0.05","0.05","0.666666667","0.538461538","0","0","0.033333333","0.026923077","0.047619048","0.038461538","0","41.17647059","80.76923077","0","0","0.997150997","1.234567901","1.424501425","1.76366843","2.421652422","2.998236332"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00002","","","","26","16","2","4","1","16","16","0","45","0","1","1","1","1","3","5","4","4","1","7.76","1","2","45","","0.022222222","0.022222222","2.8125","1.730769231","0","0","0.0625","0.038461538","0.0625","0.038461538","0","50","61.53846154","0","0","1.424501425","2.314814815","1.424501425","2.314814815","2.849002849","4.62962963"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00003","","","","26","17","1","4","2","17","17","0","30","0","2.8","0.9","3","2","1","5","3","3","2","6.12","2.8","3.7","30","","0.093333333","0.093333333","1.764705882","1.153846154","0","0","0.164705882","0.107692308","0.052941176","0.034615385","0","75.67567568","65.38461538","0","0","3.988603989","6.100217865","1.282051282","1.960784314","5.270655271","8.061002179"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00004","","","","26","22","1","1","4","22","22","9","28","1","1.4","1.5","3","2","3","5","3","3","4","7.23","2.4","3.9","37","0.111111111","0.05","0.064864865","1.681818182","1.423076923","0.409090909","0.346153846","0.109090909","0.092307692","0.068181818","0.057692308","24.32432432","61.53846154","84.61538462","1.424501425","1.683501684","3.418803419","4.04040404","2.136752137","2.525252525","5.555555556","6.565656566"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00005","","","","26","20","1","1","4","20","4","0","5","0","3","1.6","3","3","2","5","3","3","4","1.38","3","4.6","5","","0.6","0.6","0.25","0.192307692","0","0","0.15","0.115384615","0.08","0.061538462","0","65.2173913","76.92307692","0","0","4.273504274","5.555555556","2.279202279","2.962962963","6.552706553","8.518518519"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00006","","","","26","19","1","2","2","19","19","5","22","1","2","2.1","3","3","2","5","3","3","3","10.5","3","5.1","27","0.2","0.090909091","0.111111111","1.421052632","1.038461538","0.263157895","0.192307692","0.157894737","0.115384615","0.110526316","0.080769231","18.51851852","58.82352941","73.07692308","1.424501425","1.949317739","4.273504274","5.847953216","2.991452991","4.093567251","7.264957265","9.941520468"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00007","","","","26","20","1","3","2","20","10","0","15","0","1","1.4","2","2","1","5","3","3","3","12.39","1","2.4","15","","0.066666667","0.066666667","0.75","0.576923077","0","0","0.05","0.038461538","0.07","0.053846154","0","41.66666667","76.92307692","0","0","1.424501425","1.851851852","1.994301994","2.592592593","3.418803419","4.444444444"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00008","","","","26","18","1","2","2","18","10","4","22","0.4","1","1.1","2","3","2","4","3","3","3","7.76","1.4","2.5","26","0.1","0.045454545","0.053846154","1.444444444","1","0.222222222","0.153846154","0.077777778","0.053846154","0.061111111","0.042307692","15.38461538","56","69.23076923","0.56980057","0.823045267","1.994301994","2.880658436","1.566951567","2.263374486","3.561253561","5.144032922"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00009","","","","26","10","1","1","1","10","10","5","13","0.4","1","0.7","3","2","1","5","3","5","5","1.38","1.4","2.1","18","0.08","0.076923077","0.077777778","1.8","0.692307692","0.5","0.192307692","0.14","0.053846154","0.07","0.026923077","27.77777778","66.66666667","38.46153846","0.56980057","1.481481481","1.994301994","5.185185185","0.997150997","2.592592593","2.991452991","7.777777778"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00010","","","","26","10","2","4","2","10","10","3","12","0.3","0.6","0.5","1","1","2","5","3","3","3","11.03","0.9","1.4","15","0.1","0.05","0.06","1.5","0.576923077","0.3","0.115384615","0.09","0.034615385","0.05","0.019230769","20","64.28571429","38.46153846","0.427350427","1.111111111","1.282051282","3.333333333","0.712250712","1.851851852","1.994301994","5.185185185"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00011","","","","26","15","1","3","4","15","15","6","18","2","2.2","3.2","3","4","4","5","3","3","3","10.5","4.2","7.4","24","0.333333333","0.122222222","0.175","1.6","0.923076923","0.4","0.230769231","0.28","0.161538462","0.213333333","0.123076923","25","56.75675676","57.69230769","2.849002849","4.938271605","5.982905983","10.37037037","4.558404558","7.901234568","10.54131054","18.27160494"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00012","","","","26","21","2","4","4","21","9","","","","2.7","4.6","3","3","3","5","3","3","3","3.03","","","","","","","","","","","","","0.219047619","0.176923077","","","80.76923077","","","","","6.552706553","8.11287478","",""
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00013","","","","26","19","2","4","4","19","8","0","10","0","1.9","2.4","3","2","2","5","3","3","3","10.5","1.9","4.3","10","","0.19","0.19","0.526315789","0.384615385","0","0","0.1","0.073076923","0.126315789","0.092307692","0","44.18604651","73.07692308","0","0","2.706552707","3.703703704","3.418803419","4.678362573","6.125356125","8.382066277"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00014","","","","26","2","1","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.692307692","","","","","","","",""
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00015","","","","26","5","1","4","2","5","2","0","5","0","0.2","1","1","1","4","5","3","4","4","3.03","0.2","1.2","5","","0.04","0.04","1","0.192307692","0","0","0.04","0.007692308","0.2","0.038461538","0","16.66666667","19.23076923","0","0","0.284900285","1.481481481","1.424501425","7.407407407","1.709401709","8.888888889"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00016","","","","26","17","1","1","3","17","7","4","17","0.2","0.4","2.4","1","1","3","5","3","3","3","6.12","0.6","3","21","0.05","0.023529412","0.028571429","1.235294118","0.807692308","0.235294118","0.153846154","0.035294118","0.023076923","0.141176471","0.092307692","19.04761905","20","65.38461538","0.284900285","0.435729847","0.854700855","1.307189542","3.418803419","5.22875817","4.273504274","6.535947712"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00017","","","","26","6","1","1","2","6","2","0","4","0","0.2","0.5","1","1","5","5","3","3","3","7.23","0.2","0.7","4","","0.05","0.05","0.666666667","0.153846154","0","0","0.033333333","0.007692308","0.083333333","0.019230769","0","28.57142857","23.07692308","0","0","0.284900285","1.234567901","0.712250712","3.086419753","0.997150997","4.320987654"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00018","","","","26","15","1","4","3","15","4","0","10","0","0.2","2.6","1","1","4","4","3","3","4","6.12","0.2","2.8","10","","0.02","0.02","0.666666667","0.384615385","0","0","0.013333333","0.007692308","0.173333333","0.1","0","7.142857143","57.69230769","0","0","0.284900285","0.49382716","3.703703704","6.419753086","3.988603989","6.913580247"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00019","","","","26","14","1","4","2","14","3","0","13","0","0.7","2","1","1","2","5","3","3","3","5.49","0.7","2.7","13","","0.053846154","0.053846154","0.928571429","0.5","0","0","0.05","0.026923077","0.142857143","0.076923077","0","25.92592593","53.84615385","0","0","0.997150997","1.851851852","2.849002849","5.291005291","3.846153846","7.142857143"
