"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00001","","","","39","28","2","1","9","15","12","3","0","4","0","0.1","2","1","4","28.01","7.76","2","2","3","4","0.1","15.1","4","","0.025","0.025","0.333333333","0.102564103","0","0","0.008333333","0.002564103","1.25","0.384615385","0","0.662251656","30.76923077","0.02801","0","0","0.094966762","0.308641975","14.24501425","46.2962963","0.02660019","0.086450617","14.33998101","46.60493827"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00002","","","","39","37","1","1","9","21","9","5","0","7","0","0.2","2","2","4","30.88","0","4","3","4","3","0.2","21.2","7","","0.028571429","0.028571429","0.777777778","0.179487179","0","0","0.022222222","0.005128205","2.333333333","0.538461538","0","0.943396226","23.07692308","0.06176","0","0","0.189933523","0.823045267","19.94301994","86.41975309","0.058651472","0.254156379","20.13295347","87.24279835"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00003","","","","39","34","1","1","9","11","14","5","7","18","5","0.3","3","3","4","28.46","1.38","3","2","3","4","5.3","16.3","25","0.714285714","0.016666667","0.212","1.785714286","0.641025641","0.5","0.179487179","0.378571429","0.135897436","0.785714286","0.282051282","28","32.51533742","35.8974359","1.50838","4.748338082","13.22751323","5.033238367","14.02116402","10.44634378","29.1005291","1.432459639","3.99042328","15.47958215","43.12169312"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00004","","","","39","30","1","1","8","11","10","7","0","24","0","0.5","1","1","5","30.28","10.5","3","3","3","3","0.5","11.5","24","","0.020833333","0.020833333","2.4","0.615384615","0","0","0.05","0.012820513","1.1","0.282051282","0","4.347826087","25.64102564","0.1514","0","0","0.474833808","1.851851852","10.44634378","40.74074074","0.143779677","0.560740741","10.92117759","42.59259259"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00005","","","","39","31","2","1","9","13","14","1","2","11","0.5","0.5","2","1","3","29.45","3.96","","","","","1","14","13","0.25","0.045454545","0.076923077","0.928571429","0.333333333","0.142857143","0.051282051","0.071428571","0.025641026","0.928571429","0.333333333","15.38461538","7.142857143","35.8974359","0.2945","0.474833808","1.322751323","0.949667616","2.645502646","12.34567901","34.39153439","0.279677113","0.779100529","13.29534663","37.03703704"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00006","","","","39","36","1","1","9","11","19","12","10","44","1","1.5","3","3","4","30.79","3.76","4","2","4","4","2.5","13.5","54","0.1","0.034090909","0.046296296","2.842105263","1.384615385","0.526315789","0.256410256","0.131578947","0.064102564","0.578947368","0.282051282","18.51851852","18.51851852","48.71794872","0.76975","0.949667616","1.949317739","2.374169041","4.873294347","10.44634378","21.44249513","0.731006648","1.500487329","12.82051282","26.31578947"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00007","","","","39","38","1","1","9","9","14","13","20","40","3.5","5.5","3","3","4","","7.76","","","","","9","18","60","0.175","0.1375","0.15","4.285714286","1.538461538","1.428571429","0.512820513","0.642857143","0.230769231","0.642857143","0.230769231","33.33333333","50","35.8974359","","3.323836657","9.259259259","8.547008547","23.80952381","8.547008547","23.80952381","","","17.09401709","47.61904762"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00008","","","","39","26","2","4","8","8.5","9","3","4","8","0.5","0.1","3","4","4","30.29","7.23","","","","","0.6","9.1","12","0.125","0.0125","0.05","1.333333333","0.307692308","0.444444444","0.102564103","0.066666667","0.015384615","0.944444444","0.217948718","33.33333333","6.593406593","23.07692308","0.18174","0.474833808","2.057613169","0.56980057","2.469135802","8.072174739","34.97942387","0.172592593","0.747901235","8.641975309","37.44855967"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00009","","","","39","36","1","1","8","19","18","9","18","48","2","1.5","3","3","4","30.54","10.5","4","2","5","4","3.5","22.5","66","0.111111111","0.03125","0.053030303","3.666666667","1.692307692","1","0.461538462","0.194444444","0.08974359","1.055555556","0.487179487","27.27272727","15.55555556","46.15384615","1.0689","1.899335233","4.115226337","3.323836657","7.201646091","18.04368471","39.09465021","1.015099715","2.199382716","21.36752137","46.2962963"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00010","","","","39","36","2","3","9","14","19","6","0","26","0","1.1","2","2","4","30.92","10.5","","","","","1.1","15.1","26","","0.042307692","0.042307692","1.368421053","0.666666667","0","0","0.057894737","0.028205128","0.736842105","0.358974359","0","7.284768212","48.71794872","0.34012","0","0","1.044634378","2.144249513","13.29534663","27.29044834","0.32300095","0.663001949","14.33998101","29.43469786"
