"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00001","","","","39","29","1","1","8","9","20","20","43","56","4.5","3","3","3","5","30.45","5","4","1","2","7.5","16.5","99","0.104651163","0.053571429","0.075757576","4.95","2.538461538","2.15","1.102564103","0.375","0.192307692","0.45","0.230769231","43.43434343","45.45454545","51.28205128","2.28375","4.273504274","8.333333333","7.122507123","13.88888889","8.547008547","16.66666667","2.168803419","4.229166667","15.66951567","30.55555556"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00002","","","","39","32","1","1","8","9.2","21","19","26","28","3","1.9","4","4","5","30.28","5","2","4","4","4.9","14.1","54","0.115384615","0.067857143","0.090740741","2.571428571","1.384615385","1.238095238","0.666666667","0.233333333","0.125641026","0.438095238","0.235897436","48.14814815","34.75177305","53.84615385","1.48372","2.849002849","5.291005291","4.65337132","8.641975309","8.73694207","16.22574956","1.409040836","2.616790123","13.39031339","24.86772487"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00003","","","","39","28","1","1","7","8","17","11","9","24","0.7","0.5","3","4","4","28.92","5","2","2","4","1.2","9.2","33","0.077777778","0.020833333","0.036363636","1.941176471","0.846153846","0.529411765","0.230769231","0.070588235","0.030769231","0.470588235","0.205128205","27.27272727","13.04347826","43.58974359","0.34704","0.664767331","1.525054466","1.13960114","2.614379085","7.597340931","17.4291939","0.32957265","0.756078431","8.73694207","20.04357298"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00004","","","","39","13","1","1","6","11","13","3","0","7","0","0.4","3","3","5","","","","","","0.4","11.4","7","","0.057142857","0.057142857","0.538461538","0.179487179","0","0","0.030769231","0.01025641","0.846153846","0.282051282","0","3.50877193","33.33333333","","0","0","0.379867047","1.13960114","10.44634378","31.33903134","","","10.82621083","32.47863248"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00005","","","","39","36","1","1","9","18","28","28","67","103","10.2","3.5","4","4","4","30.36","5","2","2","4","13.7","31.7","170","0.152238806","0.033980583","0.080588235","6.071428571","4.358974359","2.392857143","1.717948718","0.489285714","0.351282051","0.642857143","0.461538462","39.41176471","43.21766562","71.79487179","4.15932","9.686609687","13.49206349","13.01044634","18.12169312","17.09401709","23.80952381","3.94997151","5.501746032","30.10446344","41.93121693"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00006","","","","39","35","1","1","9","20.1","22","16","20","24","3","1.5","4","4","5","30.22","5","2","2","4","4.5","24.6","44","0.15","0.0625","0.102272727","2","1.128205128","0.909090909","0.512820513","0.204545455","0.115384615","0.913636364","0.515384615","45.45454545","18.29268293","56.41025641","1.3599","2.849002849","5.050505051","4.273504274","7.575757576","19.08831909","33.83838384","1.291452991","2.289393939","23.36182336","41.41414141"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00007","","","","39","35","1","1","9","16","17","9","26","13","7","1.7","4","3","5","30.32","5","2","3","3","8.7","24.7","39","0.269230769","0.130769231","0.223076923","2.294117647","1","1.529411765","0.666666667","0.511764706","0.223076923","0.941176471","0.41025641","66.66666667","35.22267206","43.58974359","2.63784","6.647673314","15.25054466","8.262108262","18.95424837","15.19468186","34.8583878","2.505071225","5.746928105","23.45679012","53.81263617"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00008","","","","39","39","1","1","9","25","17","10","9","10","1.4","0.6","4","4","5","30.08","5","2","2","3","2","27","19","0.155555556","0.06","0.105263158","1.117647059","0.487179487","0.529411765","0.230769231","0.117647059","0.051282051","1.470588235","0.641025641","47.36842105","7.407407407","43.58974359","0.6016","1.329534663","3.050108932","1.899335233","4.357298475","23.74169041","54.46623094","0.571320038","1.310675381","25.64102564","58.82352941"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00009","","","","39","36","3","4","8","11.3","24","17","10","19","2.7","1.8","4","4","3","30.34","4","4","3","3","4.5","15.8","29","0.27","0.094736842","0.155172414","1.208333333","0.743589744","0.416666667","0.256410256","0.1875","0.115384615","0.470833333","0.28974359","34.48275862","28.48101266","61.53846154","1.3653","2.564102564","4.166666667","4.273504274","6.944444444","10.73124406","17.4382716","1.296581197","2.106944444","15.00474834","24.38271605"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00010","","","","39","38","1","1","8","33","24","11","15","11","2.9","1","4","4","4","30.04","5","2","4","4","3.9","36.9","26","0.193333333","0.090909091","0.15","1.083333333","0.666666667","0.625","0.384615385","0.1625","0.1","1.375","0.846153846","57.69230769","10.56910569","61.53846154","1.17156","2.754036087","4.475308642","3.703703704","6.018518519","31.33903134","50.92592593","1.112592593","1.807962963","35.04273504","56.94444444"
