"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00001","","","","39","32","4","5","8","23.2","16","10","9","10","1.2","1","3","4","30.47","5","3","3","3","2.2","25.4","19","0.133333333","0.1","0.115789474","1.1875","0.487179487","0.5625","0.230769231","0.1375","0.056410256","1.45","0.594871795","47.36842105","8.661417323","41.02564103","0.67034","1.13960114","2.777777778","2.089268756","5.092592593","22.0322887","53.7037037","0.63660019","1.551712963","24.12155745","58.7962963"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00002","","","","39","30","4","6","8","17.4","17","12","27","13","1.5","0.5","2","4","30.25","5","3","4","3","2","19.4","40","0.055555556","0.038461538","0.05","2.352941176","1.025641026","1.588235294","0.692307692","0.117647059","0.051282051","1.023529412","0.446153846","67.5","10.30927835","43.58974359","0.605","1.424501425","3.267973856","1.899335233","4.357298475","16.52421652","37.90849673","0.574548908","1.318082789","18.42355176","42.26579521"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00003","","","","39","36","1","1","9","16.6","20","10","37","27","2.2","0.6","3","4","30.67","5","3","4","4","2.8","19.4","64","0.059459459","0.022222222","0.04375","3.2","1.641025641","1.85","0.948717949","0.14","0.071794872","0.83","0.425641026","57.8125","14.43298969","51.28205128","0.85876","2.089268756","4.074074074","2.659069326","5.185185185","15.76448243","30.74074074","0.815536562","1.590296296","18.42355176","35.92592593"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00004","","","","39","36","1","1","9","27","17","15","9","30","1.3","1.5","2","4","30.1","5","2","3","4","2.8","29.8","39","0.144444444","0.05","0.071794872","2.294117647","1","0.529411765","0.230769231","0.164705882","0.071794872","1.588235294","0.692307692","23.07692308","9.395973154","43.58974359","0.8428","1.234567901","2.832244009","2.659069326","6.100217865","25.64102564","58.82352941","0.800379867","1.836165577","28.30009497","64.92374728"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00005","","","","39","34","1","1","8","21","17","7","13","12","1","0.4","3","5","30.24","5","4","3","2","1.4","22.4","25","0.076923077","0.033333333","0.056","1.470588235","0.641025641","0.764705882","0.333333333","0.082352941","0.035897436","1.235294118","0.538461538","52","6.25","43.58974359","0.42336","0.949667616","2.178649237","1.329534663","3.050108932","19.94301994","45.75163399","0.402051282","0.922352941","21.27255461","48.80174292"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00006","","","","39","37","3","5","8","17","15","10","13","24","2","2","3","4","30.25","5","3","3","3","4","21","37","0.153846154","0.083333333","0.108108108","2.466666667","0.948717949","0.866666667","0.333333333","0.266666667","0.102564103","1.133333333","0.435897436","35.13513514","19.04761905","38.46153846","1.21","1.899335233","4.938271605","3.798670465","9.87654321","16.14434948","41.97530864","1.149097816","2.987654321","19.94301994","51.85185185"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00007","","","","39","35","1","1","8","27.2","25","16","13","95","1.7","3.2","3","5","29.25","5","3","4","4","4.9","32.1","108","0.130769231","0.033684211","0.04537037","4.32","2.769230769","0.52","0.333333333","0.196","0.125641026","1.088","0.697435897","12.03703704","15.26479751","64.1025641","1.43325","1.614434948","2.518518519","4.65337132","7.259259259","25.83095916","40.2962963","1.361111111","2.123333333","30.48433048","47.55555556"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00008","","","","39","32","1","1","9","16","14","10","20","23","2","1.3","3","5","30.59","5","4","3","3","3.3","19.3","43","0.1","0.056521739","0.076744186","3.071428571","1.102564103","1.428571429","0.512820513","0.235714286","0.084615385","1.142857143","0.41025641","46.51162791","17.0984456","35.8974359","1.00947","1.899335233","5.291005291","3.133903134","8.73015873","15.19468186","42.32804233","0.958660969","2.670555556","18.328585","51.05820106"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00009","","","","39","37","1","1","9","21.3","19","15","47","10","5","0.4","3","4","30.92","3","4","4","3","5.4","26.7","57","0.106382979","0.04","0.094736842","3","1.461538462","2.473684211","1.205128205","0.284210526","0.138461538","1.121052632","0.546153846","82.45614035","20.2247191","48.71794872","1.66968","4.748338082","9.746588694","5.128205128","10.52631579","20.22792023","41.52046784","1.585641026","3.254736842","25.35612536","52.04678363"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00010","","","","39","39","1","1","9","35","10","7","18","18","3.2","0.9","4","4","30.54","5","2","4","3","4.1","39.1","36","0.177777778","0.05","0.113888889","3.6","0.923076923","1.8","0.461538462","0.41","0.105128205","3.5","0.897435897","50","10.4859335","25.64102564","1.25214","3.038936372","11.85185185","3.893637227","15.18518519","33.23836657","129.6296296","1.189116809","4.637555556","37.1320038","144.8148148"
