"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT06","","","","","","","","","MZP2010UMB-AT06-00001","","","","39","23","3","1","9","23","21","80","50","22.5","2.5","25","7","5","1","50.8","10.5","4.85","1.8","1.36","157.03","115.44","63.4","48.37","4.76","7.52","20.23","25","50","130","0.28125","0.05","0.192307692","5.652173913","3.333333333","3.47826087","2.051282051","1.086956522","0.641025641","1.086956522","0.641025641","61.53846154","50","58.97435897","20.66929134","5.167322835","21.36752137","36.23188406","23.74169041","40.25764895","23.74169041","40.25764895","4.907239159","8.320970748","47.48338082","80.51529791"
"","","MZP2010UMB-AT06","","","","","","","","","MZP2010UMB-AT06-00002","","","","39","30","1","1","9","30","29","90","20","27.5","1","25.5","7","6","1","50.7","12.8","2.36","1.16","1.05","174.26","88.74","19.6","62.82","3.56","5.88","9.6","28.5","54","110","0.305555556","0.05","0.259090909","3.666666667","2.820512821","3","2.307692308","0.95","0.730769231","0.85","0.653846154","81.81818182","52.77777778","76.92307692","25.24654832","7.195266272","26.11585945","33.95061728","27.06552707","35.18518519","24.21652422","31.48148148","6.83311137","8.88304478","51.28205128","66.66666667"
"","","MZP2010UMB-AT06","","","","","","","","","MZP2010UMB-AT06-00003","","","","39","21","1","2","8","20","10","54","15","19.5","1.2","29","6","6","1","50.2","11.9","3.9","1.64","1.23","51.73","70.29","5","56.48","6.57","10.16","6.54","20.7","49.7","69","0.361111111","0.08","0.3","3.45","1.769230769","2.7","1.384615385","1.035","0.530769231","1.45","0.743589744","78.26086957","41.6498994","51.28205128","23.70517928","4.906972112","18.51851852","36.11111111","19.65811966","38.33333333","27.54036087","53.7037037","4.659992509","9.086985392","47.19848053","92.03703704"
"","","MZP2010UMB-AT06","","","","","","","","","MZP2010UMB-AT06-00004","","","","39","20","5","3","5","20","20","80","33","19.5","1.9","14","8","8","5","50.1","17.7","3.9","1.23","1.34","119.03","63.43","-8.5","68.79","2.23","4.41","3.92","21.4","35.4","113","0.24375","0.057575758","0.189380531","5.65","2.897435897","4","2.051282051","1.07","0.548717949","0.7","0.358974359","70.79646018","60.4519774","51.28205128","35.32934132","7.560479042","18.51851852","36.11111111","20.32288699","39.62962963","13.29534663","25.92592593","7.17994211","14.00088711","33.61823362","65.55555556"
"","","MZP2010UMB-AT06","","","","","","","","","MZP2010UMB-AT06-00005","","","","39","27","4","3","8","23","22","88","19","16","2","41","6","6","2","50.5","11.1","3.21","1.58","1.3","159.4","99.84","30.4","60.96","3.86","6.35","9.87","18","59","107","0.181818182","0.105263158","0.168224299","4.652173913","2.743589744","3.826086957","2.256410256","0.782608696","0.461538462","1.782608696","1.051282051","82.24299065","30.50847458","58.97435897","21.98019802","3.956435644","15.19468186","25.76489533","17.09401709","28.98550725","38.93637227","66.02254428","3.757298807","6.37107189","56.03038936","95.00805153"
"","","MZP2010UMB-AT06","","","","","","","","","MZP2010UMB-AT06-00006","","","","39","27","5","2","7","27","24","50","50","12","2.8","21.5","7","6","2","50.6","9.8","3.79","2.01","1.47","204.58","164.32","116.6","43.91","3.84","6.67","24.76","14.8","36.3","100","0.24","0.056","0.148","3.703703704","2.564102564","1.851851852","1.282051282","0.548148148","0.379487179","0.796296296","0.551282051","50","40.77134986","69.23076923","19.36758893","2.866403162","11.3960114","16.46090535","14.05508072","20.30178326","20.41785375","29.49245542","2.722130258","3.931965929","34.47293447","49.79423868"
"","","MZP2010UMB-AT06","","","","","","","","","MZP2010UMB-AT06-00007","","","","39","23","1","1","8","23","23","70","15","27","1","34","6","6","1","50.5","13.1","4.86","1.94","1.54","116.41","81.32","21.9","63.91","2.63","4.76","5.06","28","62","85","0.385714286","0.066666667","0.329411765","3.695652174","2.179487179","3.043478261","1.794871795","1.217391304","0.717948718","1.47826087","0.871794872","82.35294118","45.16129032","58.97435897","25.94059406","7.263366337","25.64102564","43.47826087","26.59069326","45.08856683","32.28869896","54.75040258","6.897783795","11.69624209","58.87939221","99.8389694"
"","","MZP2010UMB-AT06","","","","","","","","","MZP2010UMB-AT06-00008","","","","39","23","1","1","9","23","20","37","20","10","2","40","6","4","1","","","","","","","","","","","","","12","52","57","0.27027027","0.1","0.210526316","2.47826087","1.461538462","1.608695652","0.948717949","0.52173913","0.307692308","1.739130435","1.025641026","64.9122807","23.07692308","58.97435897","","","9.496676163","16.10305958","11.3960114","19.3236715","37.98670465","64.41223833","","","49.38271605","83.73590982"
"","","MZP2010UMB-AT06","","","","","","","","","MZP2010UMB-AT06-00009","","","","39","17","1","1","9","15","2","2","5","0.6","0.1","27","5","3","1","50.7","12.9","4.16","1.71","1.38","117.16","78.47","25.3","64.14","3.59","6.01","6.19","0.7","27.7","7","0.3","0.02","0.1","0.466666667","0.179487179","0.133333333","0.051282051","0.046666667","0.017948718","1.8","0.692307692","28.57142857","2.527075812","38.46153846","25.44378698","0.178106509","0.56980057","1.481481481","0.664767331","1.728395062","25.64102564","66.66666667","0.169141984","0.439769158","26.30579297","68.39506173"
"","","MZP2010UMB-AT06","","","","","","","","","MZP2010UMB-AT06-00010","","","","39","31","3","2","8","31","14","39","23","3.5","0.9","38.5","6","6","1","50.2","12.2","5.63","2.19","1.98","161.29","120.63","21.1","59.27","2.8","5.34","8.7","4.4","42.9","62","0.08974359","0.039130435","0.070967742","2","1.58974359","1.258064516","1","0.141935484","0.112820513","1.241935484","0.987179487","62.90322581","10.25641026","79.48717949","24.30278884","1.069322709","3.323836657","4.181600956","4.178537512","5.256869773","36.56220323","45.99761051","1.015501148","1.277565961","40.74074074","51.25448029"
