"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00001","","","","39","36","4","4","9","15","28","18","0","22","0","0.5","2","1","4","1.5","3","3","4","3","","0.5","15.5","22","","0.022727273","0.022727273","0.785714286","0.564102564","0","0","0.017857143","0.012820513","0.535714286","0.384615385","0","3.225806452","71.79487179","","0","0","0.474833808","0.661375661","14.24501425","19.84126984","","","14.71984805","20.5026455"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00002","","","","39","33","3","1","8","4.5","17","12","5","30","0.5","0.5","2","2","3","1.38","3","3","4","3","31.9","1","5.5","35","0.1","0.016666667","0.028571429","2.058823529","0.897435897","0.294117647","0.128205128","0.058823529","0.025641026","0.264705882","0.115384615","14.28571429","18.18181818","43.58974359","0.319","0.474833808","1.089324619","0.949667616","2.178649237","4.273504274","9.803921569","0.30294397","0.694989107","5.22317189","11.98257081"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00003","","","","39","38","2","4","8","7","26","21","33","40","5","1","3","4","4","14.37","5","2","3","4","24.15","6","13","73","0.151515152","0.025","0.082191781","2.807692308","1.871794872","1.269230769","0.846153846","0.230769231","0.153846154","0.269230769","0.179487179","45.20547945","46.15384615","66.66666667","1.449","4.748338082","7.122507123","5.698005698","8.547008547","6.647673314","9.971509972","1.376068376","2.064102564","12.34567901","18.51851852"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00004","","","","39","38","1","1","8","5.7","24","13","27","22","3","0.9","4","4","4","11.03","4","2","4","4","28.47","3.9","9.6","49","0.111111111","0.040909091","0.079591837","2.041666667","1.256410256","1.125","0.692307692","0.1625","0.1","0.2375","0.146153846","55.10204082","40.625","61.53846154","1.11033","2.849002849","4.62962963","3.703703704","6.018518519","5.413105413","8.796296296","1.054444444","1.713472222","9.116809117","14.81481481"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00005","","","","39","39","1","1","9","99","23","13","22","35","5","1.5","4","5","4","14.37","5","2","4","4","21.93","6.5","105.5","57","0.227272727","0.042857143","0.114035088","2.47826087","1.461538462","0.956521739","0.564102564","0.282608696","0.166666667","4.304347826","2.538461538","38.59649123","6.161137441","58.97435897","1.42545","4.748338082","8.051529791","6.172839506","10.46698873","94.01709402","159.4202899","1.353703704","2.295410628","100.1899335","169.8872786"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00006","","","","39","39","2","2","7","94","13","8","8","10","2","1","3","3","4","6.12","4","2","3","4","29.76","3","97","18","0.25","0.1","0.166666667","1.384615385","0.461538462","0.615384615","0.205128205","0.230769231","0.076923077","7.230769231","2.41025641","44.44444444","3.092783505","33.33333333","0.8928","1.899335233","5.698005698","2.849002849","8.547008547","89.26875594","267.8062678","0.847863248","2.543589744","92.11775878","276.3532764"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00007","","","","39","39","1","1","9","11.2","21","10","11","20","2","1","4","4","4","4.92","4","2","4","4","28.92","3","14.2","31","0.181818182","0.05","0.096774194","1.476190476","0.794871795","0.523809524","0.282051282","0.142857143","0.076923077","0.533333333","0.287179487","35.48387097","21.12676056","53.84615385","0.8676","1.899335233","3.527336861","2.849002849","5.291005291","10.6362773","19.75308642","0.823931624","1.53015873","13.48528015","25.04409171"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00008","","","","39","32","2","4","7","10.1","17","13","13","16","2.4","0.7","4","4","3","14.37","3","2","3","4","21.48","3.1","13.2","29","0.184615385","0.04375","0.106896552","1.705882353","0.743589744","0.764705882","0.333333333","0.182352941","0.079487179","0.594117647","0.258974359","44.82758621","23.48484848","43.58974359","0.66588","2.279202279","5.22875817","2.943969611","6.753812636","9.591642925","22.0043573","0.632364672","1.450718954","12.53561254","28.75816993"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00009","","","","39","36","2","1","8","7.6","18","16","22","43","5","1.5","4","4","4","14.37","5","3","3","3","19.93","6.5","14.1","65","0.227272727","0.034883721","0.1","3.611111111","1.666666667","1.222222222","0.564102564","0.361111111","0.166666667","0.422222222","0.194871795","33.84615385","46.09929078","46.15384615","1.29545","4.748338082","10.28806584","6.172839506","13.3744856","7.217473884","15.63786008","1.230246914","2.665534979","13.39031339","29.01234568"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00010","","","","39","37","2","1","8","95","12","12","18","12","15","1","4","5","4","12.39","4","3","3","4","29.06","16","111","30","0.833333333","0.083333333","0.533333333","2.5","0.769230769","1.5","0.461538462","1.333333333","0.41025641","7.916666667","2.435897436","60","14.41441441","30.76923077","4.6496","14.24501425","46.2962963","15.19468186","49.38271605","90.21842355","293.2098765","4.415574549","14.35061728","105.4131054","342.5925926"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00011","","","","39","38","3","4","7","10","19","13","5","10","1.5","1","3","3","3","3.03","5","1","3","4","23.94","2.5","12.5","15","0.3","0.1","0.166666667","0.789473684","0.384615385","0.263157895","0.128205128","0.131578947","0.064102564","0.526315789","0.256410256","33.33333333","20","48.71794872","0.5985","1.424501425","2.923976608","2.374169041","4.873294347","9.496676163","19.49317739","0.568376068","1.166666667","11.8708452","24.36647173"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00012","","","","39","26","1","1","6","4.5","6","5","6","23","0.6","0.5","2","2","3","1.74","4","2","4","4","32.8","1.1","5.6","29","0.1","0.02173913","0.037931034","4.833333333","0.743589744","1","0.153846154","0.183333333","0.028205128","0.75","0.115384615","20.68965517","19.64285714","15.38461538","0.3608","0.56980057","3.703703704","1.044634378","6.790123457","4.273504274","27.77777778","0.342640076","2.227160494","5.318138651","34.56790123"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00013","","","","39","33","1","1","9","11.5","22","17","12","46","3.5","1.5","3","3","3","4.61","4","2","4","4","28.97","5","16.5","58","0.291666667","0.032608696","0.086206897","2.636363636","1.487179487","0.545454545","0.307692308","0.227272727","0.128205128","0.522727273","0.294871795","20.68965517","30.3030303","56.41025641","1.4485","3.323836657","5.892255892","4.748338082","8.417508418","10.92117759","19.36026936","1.375593542","2.438552189","15.66951567","27.77777778"
