"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011GUR-AT02","","","","","","","","","MZP2011GUR-AT02-00001","","","","26","7","1","1","4","4","0","0","0","0","0","2","","","","","","0","2","0","","","","0","0","0","0","0","0","0.5","0.076923077","","0","15.38461538","0","0","0","0","2.849002849","18.51851852","2.849002849","18.51851852"
"","","MZP2011GUR-AT02","","","","","","","","","MZP2011GUR-AT02-00002","","","","26","20","1","3","5","18","0","0","0","0","0","4.4","","","","","","0","4.4","0","","","","0","0","0","0","0","0","0.244444444","0.169230769","","0","69.23076923","0","0","0","0","6.267806268","9.053497942","6.267806268","9.053497942"
"","","MZP2011GUR-AT02","","","","","","","","","MZP2011GUR-AT02-00003","","","","26","21","1","1","5","14","10","1","13","0.2","5.5","8.5","6","5","5","9","0.15","5.7","14.2","14","0.2","0.423076923","0.407142857","1","0.538461538","0.071428571","0.038461538","0.407142857","0.219230769","0.607142857","0.326923077","7.142857143","40.14084507","53.84615385","0.284900285","0.529100529","8.11965812","15.07936508","12.10826211","22.48677249","20.22792023","37.56613757"
"","","MZP2011GUR-AT02","","","","","","","","","MZP2011GUR-AT02-00004","","","","26","20","1","9","5","17","12","0","13","0","2.1","6.5","2","3","3","9","1.74","2.1","8.6","13","","0.161538462","0.161538462","0.764705882","0.5","0","0","0.123529412","0.080769231","0.382352941","0.25","0","24.41860465","65.38461538","0","0","2.991452991","4.575163399","9.259259259","14.16122004","12.25071225","18.73638344"
"","","MZP2011GUR-AT02","","","","","","","","","MZP2011GUR-AT02-00005","","","","26","18","1","1","7","9","2","0","5","0","1.2","4.3","6","7","5","9","12.39","1.2","5.5","5","","0.24","0.24","0.555555556","0.192307692","0","0","0.133333333","0.046153846","0.477777778","0.165384615","0","21.81818182","34.61538462","0","0","1.709401709","4.938271605","6.125356125","17.69547325","7.834757835","22.63374486"
"","","MZP2011GUR-AT02","","","","","","","","","MZP2011GUR-AT02-00006","","","","26","20","1","1","5","20","20","2","43","0.2","8.5","4","3","5","3","9","1.76","8.7","12.7","45","0.1","0.197674419","0.193333333","2.25","1.730769231","0.1","0.076923077","0.435","0.334615385","0.2","0.153846154","4.444444444","68.50393701","76.92307692","0.284900285","0.37037037","12.39316239","16.11111111","5.698005698","7.407407407","18.09116809","23.51851852"
"","","MZP2011GUR-AT02","","","","","","","","","MZP2011GUR-AT02-00007","","","","26","23","1","1","7","22","20","10","33","2.9","6","5.9","1","7","7","9","0.12","8.9","14.8","43","0.29","0.181818182","0.206976744","1.954545455","1.653846154","0.454545455","0.384615385","0.404545455","0.342307692","0.268181818","0.226923077","23.25581395","60.13513514","84.61538462","4.131054131","4.882154882","12.67806268","14.98316498","8.404558405","9.932659933","21.08262108","24.91582492"
"","","MZP2011GUR-AT02","","","","","","","","","MZP2011GUR-AT02-00008","","","","26","24","1","1","4","10","10","0","19","0","1.5","9.4","4","1","5","9","11.03","1.5","10.9","19","","0.078947368","0.078947368","1.9","0.730769231","0","0","0.15","0.057692308","0.94","0.361538462","0","13.76146789","38.46153846","0","0","2.136752137","5.555555556","13.39031339","34.81481481","15.52706553","40.37037037"
"","","MZP2011GUR-AT02","","","","","","","","","MZP2011GUR-AT02-00009","","","","26","24","1","1","5","21","21","0","33","0","5.8","7","2","5","1","9","7.23","5.8","12.8","33","","0.175757576","0.175757576","1.571428571","1.269230769","0","0","0.276190476","0.223076923","0.333333333","0.269230769","0","45.3125","80.76923077","0","0","8.262108262","10.2292769","9.971509972","12.34567901","18.23361823","22.57495591"
"","","MZP2011GUR-AT02","","","","","","","","","MZP2011GUR-AT02-00010","","","","26","22","1","1","7","16","15","4","16","1","4.8","13.2","1","5","3","9","0","5.8","19","20","0.25","0.3","0.29","1.25","0.769230769","0.25","0.153846154","0.3625","0.223076923","0.825","0.507692308","20","30.52631579","61.53846154","1.424501425","2.314814815","8.262108262","13.42592593","18.8034188","30.55555556","27.06552707","43.98148148"
