"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00001","","","","26","25","1","21","21","25","43","12.5","9.3","36","50.8","12.7","7","7","2","4","7.19","2.36","1.75","82.19","86.75","22.58","61.04","3.07","5.83","4.68","21.8","57.8","68","0.5","0.21627907","0.320588235","3.238095238","2.615384615","1.19047619","0.961538462","1.038095238","0.838461538","1.714285714","1.384615385","36.76470588","37.71626298","80.76923077","25","5.45","17.80626781","22.04585538","31.05413105","38.44797178","51.28205128","63.49206349","7.763532764","9.611992945","82.33618234","101.9400353"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00002","","","","26","23","1","17","6","7","14","0.9","1","10","42.1","13.4","5","4","2","3","3.67","1.6","1.4","147.78","85.58","12.72","65.09","2.4","4.5","5.8","1.9","11.9","21","0.128571429","0.071428571","0.09047619","1.235294118","0.807692308","0.411764706","0.269230769","0.111764706","0.073076923","0.588235294","0.384615385","33.33333333","15.96638655","65.38461538","31.82897862","0.604750594","1.282051282","1.960784314","2.706552707","4.139433551","14.24501425","21.78649237","0.861468082","1.31753942","16.95156695","25.92592593"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00003","","","","26","22","1","17","17","40","18","12","5.5","16","50.9","13","8","5","1","5","4.92","1.95","1.53","108.66","126.17","34.87","42.8","6.78","10.91","18.27","17.5","33.5","58","0.3","0.305555556","0.301724138","3.411764706","2.230769231","2.352941176","1.538461538","1.029411765","0.673076923","0.941176471","0.615384615","68.96551724","52.23880597","65.38461538","25.54027505","4.469548134","17.09401709","26.14379085","24.92877493","38.12636166","22.79202279","34.8583878","6.366877683","9.737577633","47.72079772","72.98474946"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00004","","","","26","26","1","25","25","30","54","5.2","5","7","","","6","4","1","6","","","","","","","","","","","10.2","17.2","84","0.173333333","0.092592593","0.121428571","3.36","3.230769231","1.2","1.153846154","0.408","0.392307692","0.28","0.269230769","35.71428571","59.30232558","96.15384615","","","7.407407407","7.703703704","14.52991453","15.11111111","9.971509972","10.37037037","","","24.5014245","25.48148148"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00005","","","","26","21","2","14","14","30","112","7","6.7","23","50.2","15.9","5","4","2","4","5.62","1.56","1.45","83.08","76.69","","65.87","2.74","4.73","3.72","13.7","36.7","142","0.233333333","0.059821429","0.096478873","10.14285714","5.461538462","2.142857143","1.153846154","0.978571429","0.526923077","1.642857143","0.884615385","21.12676056","37.32970027","53.84615385","31.67330677","4.339243028","9.971509972","18.51851852","19.51566952","36.24338624","32.76353276","60.84656085","6.181257874","11.47947891","52.27920228","97.08994709"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00006","","","","26","22","1","14","14","121","20","17.5","12.5","27","50.8","9.9","6","5","2","3","6.31","2.65","2.05","188.61","191.42","56.31","39.7","3.66","6.58","23.6","30","57","141","0.144628099","0.625","0.212765957","10.07142857","5.423076923","8.642857143","4.653846154","2.142857143","1.153846154","1.928571429","1.038461538","85.81560284","52.63157895","53.84615385","19.48818898","5.846456693","24.92877493","46.2962963","42.73504274","79.36507937","38.46153846","71.42857143","8.328285887","15.46681665","81.1965812","150.7936508"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00007","","","","26","23","1","17","17","30","110","7","8.2","16","50.1","16.4","8","8","2","4","5.34","1.93","1.44","92.85","76.54","18.47","64.24","1.96","3.93","7.26","15.2","31.2","140","0.233333333","0.074545455","0.108571429","8.235294118","5.384615385","1.764705882","1.153846154","0.894117647","0.584615385","0.941176471","0.615384615","21.42857143","48.71794872","65.38461538","32.73453094","4.975648703","9.971509972","15.25054466","21.65242165","33.11546841","22.79202279","34.8583878","7.087818665","10.84019325","44.44444444","67.97385621"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00008","","","","26","20","1","15","15","30","90","5","9","27","50.7","13.2","6","5","1","4","4.48","1.9","1.48","132.66","102.41","36.96","55.94","3.61","6.1","12.38","14","41","120","0.166666667","0.1","0.116666667","8","4.615384615","2","1.153846154","0.933333333","0.538461538","1.8","1.038461538","25","34.14634146","57.69230769","26.03550296","3.644970414","7.122507123","12.34567901","19.94301994","34.56790123","38.46153846","66.66666667","5.192265547","8.999926949","58.4045584","101.2345679"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00009","","","","26","25","1","20","20","25","160","2.2","9.5","7","49.1","15.1","5","3","1","5","4.38","1.99","1.55","95.04","92.57","39.42","56.4","3.24","5.77","10.05","11.7","18.7","185","0.088","0.059375","0.063243243","9.25","7.115384615","1.25","0.961538462","0.585","0.45","0.35","0.269230769","13.51351351","62.56684492","76.92307692","30.75356415","3.598167006","3.133903134","4.074074074","16.66666667","21.66666667","9.971509972","12.96296296","5.125594026","6.663272234","26.63817664","34.62962963"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00010","","","","26","22","1","19","6","36","65","2.3","2","9","49.5","13.3","5","3","1","3","3.96","1.76","1.28","38.1","77.02","22.07","54.81","5.59","8.55","8.45","4.3","13.3","101","0.063888889","0.030769231","0.042574257","5.315789474","3.884615385","1.894736842","1.384615385","0.226315789","0.165384615","0.473684211","0.346153846","35.64356436","32.33082707","73.07692308","26.86868687","1.155353535","3.276353276","4.483430799","6.125356125","8.382066277","12.82051282","17.54385965","1.645802757","2.252151141","18.94586895","25.92592593"
