"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00001","","","","26","20","1","1","5","4","2","0","2","0","1","3","7","7","9","7","1","1","1","0.03","1","4","2","","0.5","0.5","0.5","0.076923077","0","0","0.25","0.038461538","0.75","0.115384615","0","25","15.38461538","0","0","1.424501425","9.259259259","4.273504274","27.77777778","5.698005698","37.03703704"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00002","","","","26","18","1","1","7","6","2","0","2","0","0.3","12.5","7","7","9","7","1","1","1","0.02","0.3","12.8","2","","0.15","0.15","0.333333333","0.076923077","0","0","0.05","0.011538462","2.083333333","0.480769231","0","2.34375","23.07692308","0","0","0.427350427","1.851851852","17.80626781","77.16049383","18.23361823","79.01234568"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00003","","","","26","17","1","1","5","5","3","0","5","0","3","5","5","5","5","5","1","1","1","0.03","3","8","5","","0.6","0.6","1","0.192307692","0","0","0.6","0.115384615","1","0.192307692","0","37.5","19.23076923","0","0","4.273504274","22.22222222","7.122507123","37.03703704","11.3960114","59.25925926"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00004","","","","26","16","1","1","5","5","5","2","7","0.3","4","7.5","5","5","5","5","1","1","1","0.02","4.3","11.8","9","0.15","0.571428571","0.477777778","1.8","0.346153846","0.4","0.076923077","0.86","0.165384615","1.5","0.288461538","22.22222222","36.44067797","19.23076923","0.427350427","2.222222222","6.125356125","31.85185185","10.68376068","55.55555556","16.80911681","87.40740741"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00005","","","","26","10","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00006","","","","26","17","1","5","5","10","6","0","8","0","3.5","4.5","7","7","9","7","3","1","1","0.15","3.5","8","8","","0.4375","0.4375","0.8","0.307692308","0","0","0.35","0.134615385","0.45","0.173076923","0","43.75","38.46153846","0","0","4.985754986","12.96296296","6.41025641","16.66666667","11.3960114","29.62962963"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00007","","","","26","25","1","3","7","20","20","4","32","1.1","16.5","25","3","3","9","7","3","1","1","0.02","17.6","42.6","36","0.275","0.515625","0.488888889","1.8","1.384615385","0.2","0.153846154","0.88","0.676923077","1.25","0.961538462","11.11111111","41.31455399","76.92307692","1.566951567","2.037037037","25.07122507","32.59259259","35.61253561","46.2962963","60.68376068","78.88888889"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00008","","","","26","20","1","3","5","10","10","5","13","1.2","8","16","5","5","7","1","7","5","3","10.5","9.2","25.2","18","0.24","0.615384615","0.511111111","1.8","0.692307692","0.5","0.192307692","0.92","0.353846154","1.6","0.615384615","27.77777778","36.50793651","38.46153846","1.709401709","4.444444444","13.10541311","34.07407407","22.79202279","59.25925926","35.8974359","93.33333333"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00009","","","","26","17","1","3","5","12","12","0","15","0","10","5.7","5","5","5","1","7","5","3","6.12","10","15.7","15","","0.666666667","0.666666667","1.25","0.576923077","0","0","0.833333333","0.384615385","0.475","0.219230769","0","63.69426752","46.15384615","0","0","14.24501425","30.86419753","8.11965812","17.59259259","22.36467236","48.45679012"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00010","","","","26","11","1","3","9","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.23076923","","","","","","","",""
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00011","","","","26","14","5","9","5","5","1","0","4","0","2","3","5","5","7","7","1","1","1","0.02","2","5","4","","0.5","0.5","0.8","0.153846154","0","0","0.4","0.076923077","0.6","0.115384615","0","40","19.23076923","0","0","2.849002849","14.81481481","4.273504274","22.22222222","7.122507123","37.03703704"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00012","","","","26","12","3","5","7","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.53846154","","","","","","","",""
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00013","","","","26","19","1","3","5","19","12","7","12","2","3.5","5","3","3","7","3","5","3","3","7.76","5.5","10.5","19","0.285714286","0.291666667","0.289473684","1","0.730769231","0.368421053","0.269230769","0.289473684","0.211538462","0.263157895","0.192307692","36.84210526","52.38095238","73.07692308","2.849002849","3.898635478","7.834757835","10.72124756","7.122507123","9.746588694","14.95726496","20.46783626"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00014","","","","26","20","1","3","7","14","14","4","20","1.2","15","18","3","3","7","7","5","3","1","0.03","16.2","34.2","24","0.3","0.75","0.675","1.714285714","0.923076923","0.285714286","0.153846154","1.157142857","0.623076923","1.285714286","0.692307692","16.66666667","47.36842105","53.84615385","1.709401709","3.174603175","23.07692308","42.85714286","25.64102564","47.61904762","48.71794872","90.47619048"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00015","","","","26","24","1","3","7","14","14","12","30","5","16.5","25.5","3","3","5","7","1","1","1","0.02","21.5","47","42","0.416666667","0.55","0.511904762","3","1.615384615","0.857142857","0.461538462","1.535714286","0.826923077","1.821428571","0.980769231","28.57142857","45.74468085","53.84615385","7.122507123","13.22751323","30.62678063","56.87830688","36.32478632","67.46031746","66.95156695","124.3386243"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00016","","","","26","20","1","3","5","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.07692308","","","","","","","",""
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00017","","","","26","20","1","1","9","14","14","0","30","0","13.5","7.7","5","5","7","7","1","1","1","0","13.5","21.2","30","","0.45","0.45","2.142857143","1.153846154","0","0","0.964285714","0.519230769","0.55","0.296153846","0","63.67924528","53.84615385","0","0","19.23076923","35.71428571","10.96866097","20.37037037","30.1994302","56.08465608"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00018","","","","26","21","1","1","9","15","10","0","15","0","9.5","37","5","5","7","7","1","1","1","0.03","9.5","46.5","15","","0.633333333","0.633333333","1","0.576923077","0","0","0.633333333","0.365384615","2.466666667","1.423076923","0","20.43010753","57.69230769","0","0","13.53276353","23.45679012","52.70655271","91.35802469","66.23931624","114.8148148"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00019","","","","26","20","1","1","5","5","5","0","14","0","8","6.7","5","5","5","5","5","3","3","11.03","8","14.7","14","","0.571428571","0.571428571","2.8","0.538461538","0","0","1.6","0.307692308","1.34","0.257692308","0","54.42176871","19.23076923","0","0","11.3960114","59.25925926","9.544159544","49.62962963","20.94017094","108.8888889"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00020","","","","26","21","1","1","7","14","9","6","9","1.1","3.5","22.2","3","3","7","5","1","1","1","0.02","4.6","26.8","15","0.183333333","0.388888889","0.306666667","1.071428571","0.576923077","0.428571429","0.230769231","0.328571429","0.176923077","1.585714286","0.853846154","40","17.1641791","53.84615385","1.566951567","2.91005291","6.552706553","12.16931217","31.62393162","58.73015873","38.17663818","70.8994709"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00021","","","","26","22","1","3","7","8","2","0","2","0","0.3","27","5","5","9","5","1","1","1","0.02","0.3","27.3","2","","0.15","0.15","0.25","0.076923077","0","0","0.0375","0.011538462","3.375","1.038461538","0","1.098901099","30.76923077","0","0","0.427350427","1.388888889","38.46153846","125","38.88888889","126.3888889"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00022","","","","26","22","1","1","5","13","5","0","5","0","2","7.5","5","7","9","5","3","5","3","6.12","2","9.5","5","","0.4","0.4","0.384615385","0.192307692","0","0","0.153846154","0.076923077","0.576923077","0.288461538","0","21.05263158","50","0","0","2.849002849","5.698005698","10.68376068","21.36752137","13.53276353","27.06552707"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00023","","","","26","17","1","1","5","14","10","7","6","1","3","15","5","3","9","7","1","1","1","0.02","4","19","13","0.142857143","0.5","0.307692308","0.928571429","0.5","0.5","0.269230769","0.285714286","0.153846154","1.071428571","0.576923077","53.84615385","21.05263158","53.84615385","1.424501425","2.645502646","5.698005698","10.58201058","21.36752137","39.68253968","27.06552707","50.26455026"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00024","","","","26","19","1","3","5","4","4","0","5","0","2","4.5","7","7","9","1","7","5","3","11.03","2","6.5","5","","0.4","0.4","1.25","0.192307692","0","0","0.5","0.076923077","1.125","0.173076923","0","30.76923077","15.38461538","0","0","2.849002849","18.51851852","6.41025641","41.66666667","9.259259259","60.18518519"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00025","","","","26","11","1","3","5","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.07692308","","","","","","","",""
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00026","","","","26","20","1","3","7","15","13","0","15","0","9.3","14.2","5","5","7","7","1","1","1","0.02","9.3","23.5","15","","0.62","0.62","1","0.576923077","0","0","0.62","0.357692308","0.946666667","0.546153846","0","39.57446809","57.69230769","0","0","13.24786325","22.96296296","20.22792023","35.0617284","33.47578348","58.02469136"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00027","","","","26","10","1","3","5","3","3","0","6","0","2","3.1","5","5","5","7","1","1","1","0.03","2","5.1","6","","0.333333333","0.333333333","2","0.230769231","0","0","0.666666667","0.076923077","1.033333333","0.119230769","0","39.21568627","11.53846154","0","0","2.849002849","24.69135802","4.415954416","38.27160494","7.264957265","62.96296296"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00028","","","","26","13","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00029","","","","26","14","1","1","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.38461538","","","","","","","",""
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00030","","","","26","11","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00031","","","","26","12","1","3","5","3","2","0","2","0","0.3","3","9","7","1","5","1","3","3","3.03","0.3","3.3","2","","0.15","0.15","0.666666667","0.076923077","0","0","0.1","0.011538462","1","0.115384615","0","9.090909091","11.53846154","0","0","0.427350427","3.703703704","4.273504274","37.03703704","4.700854701","40.74074074"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00032","","","","26","11","3","7","5","7","7","0","11","0","5.6","3.3","5","5","5","7","1","1","1","0.02","5.6","8.9","11","","0.509090909","0.509090909","1.571428571","0.423076923","0","0","0.8","0.215384615","0.471428571","0.126923077","0","62.92134831","26.92307692","0","0","7.977207977","29.62962963","4.700854701","17.46031746","12.67806268","47.08994709"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00033","","","","26","10","1","3","5","4","4","0","4","0","2","2.8","5","5","7","7","1","1","1","0.03","2","4.8","4","","0.5","0.5","1","0.153846154","0","0","0.5","0.076923077","0.7","0.107692308","0","41.66666667","15.38461538","0","0","2.849002849","18.51851852","3.988603989","25.92592593","6.837606838","44.44444444"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00034","","","","26","20","1","1","9","11","3","0","5","0","3","25.3","7","9","7","7","1","1","1","0.15","3","28.3","5","","0.6","0.6","0.454545455","0.192307692","0","0","0.272727273","0.115384615","2.3","0.973076923","0","10.60070671","42.30769231","0","0","4.273504274","10.1010101","36.03988604","85.18518519","40.31339031","95.28619529"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00035","","","","26","10","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00036","","","","26","12","1","1","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.692307692","","","","","","","",""
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00037","","","","26","10","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00038","","","","26","17","1","5","5","10","10","5","10","1.1","5.6","6.5","5","3","5","7","1","1","3","0.15","6.7","13.2","15","0.22","0.56","0.446666667","1.5","0.576923077","0.5","0.192307692","0.67","0.257692308","0.65","0.25","33.33333333","50.75757576","38.46153846","1.566951567","4.074074074","9.544159544","24.81481481","9.259259259","24.07407407","18.8034188","48.88888889"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00039","","","","26","22","1","1","7","16","10","0","16","0","6.9","13.3","5","5","5","7","3","1","3","0.02","6.9","20.2","16","","0.43125","0.43125","1","0.615384615","0","0","0.43125","0.265384615","0.83125","0.511538462","0","34.15841584","61.53846154","0","0","9.829059829","15.97222222","18.94586895","30.78703704","28.77492877","46.75925926"
"","","MZP2012GUR-AT01","","","","","","","","","MZP2012GUR-AT01-00040","","","","26","23","1","3","5","15","15","13","26","5","15","15.4","3","3","5","1","3","5","3","11.03","20","35.4","39","0.384615385","0.576923077","0.512820513","2.6","1.5","0.866666667","0.5","1.333333333","0.769230769","1.026666667","0.592307692","33.33333333","56.49717514","57.69230769","7.122507123","12.34567901","28.49002849","49.38271605","21.93732194","38.02469136","50.42735043","87.40740741"
