"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00001","","","","26","17","1","1","7","17","17","39","36","5","1.5","10.1","1","1","1","1","5","7","5","3.21","1.87","1.14","72.74","47.83","57.47","3.68","4.85","9","6.5","16.6","75","0.128205128","0.041666667","0.086666667","4.411764706","2.884615385","2.294117647","1.5","0.382352941","0.25","0.594117647","0.388461538","52","39.15662651","65.38461538","7.122507123","10.89324619","9.259259259","14.16122004","14.38746439","22.0043573","23.64672365","36.16557734","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00002","","","","26","25","2","5","5","20","16","43","28","5.1","1","8","7","7","1","1","5","5","5","3.56","1.8","1.08","52.83","27.614","54.05","4.36","6.04","15.45","6.1","14.1","71","0.118604651","0.035714286","0.085915493","3.55","2.730769231","2.15","1.653846154","0.305","0.234615385","0.4","0.307692308","60.56338028","43.26241135","76.92307692","7.264957265","9.444444444","8.689458689","11.2962963","11.3960114","14.81481481","20.08547009","26.11111111","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00003","","","","26","24","2","3","5","24","24","46","146","5.6","7","8.5","6","6","1","3","5","7","5","3.71","2.1","1.32","106.47","43.821","47.81","5.55","8.32","17.8","12.6","21.1","192","0.12173913","0.047945205","0.065625","8","7.384615385","1.916666667","1.769230769","0.525","0.484615385","0.354166667","0.326923077","23.95833333","59.71563981","92.30769231","7.977207977","8.641975309","17.94871795","19.44444444","12.10826211","13.11728395","30.05698006","32.5617284","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00004","","","","26","23","3","5","7","20","20","29","37","9","4","12.5","3","3","1","1","7","9","9","3.11","1.13","0.95","74.49","0.709","72.83","1.98","3.1","2.79","13","25.5","66","0.310344828","0.108108108","0.196969697","3.3","2.538461538","1.45","1.115384615","0.65","0.5","0.625","0.480769231","43.93939394","50.98039216","76.92307692","12.82051282","16.66666667","18.51851852","24.07407407","17.80626781","23.14814815","36.32478632","47.22222222","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00005","","","","26","18","2","2","6","14","11","29","17","8.2","1.2","11.5","3","3","3","1","3","9","3","3.46","1.41","0.79","51.92","25.37","62.56","2.87","3.55","9.51","9.4","20.9","46","0.282758621","0.070588235","0.204347826","3.285714286","1.769230769","2.071428571","1.115384615","0.671428571","0.361538462","0.821428571","0.442307692","63.04347826","44.97607656","53.84615385","11.68091168","21.69312169","13.39031339","24.86772487","16.38176638","30.42328042","29.77207977","55.29100529","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00006","","","","26","22","1","1","7","17","15","79","61","7.5","3","9.7","6","6","1","1","5","5","5","2.99","1.57","0.89","47.86","31.98","54.84","4","5.48","16.99","10.5","20.2","140","0.094936709","0.049180328","0.075","8.235294118","5.384615385","4.647058824","3.038461538","0.617647059","0.403846154","0.570588235","0.373076923","56.42857143","51.98019802","65.38461538","10.68376068","16.33986928","14.95726496","22.87581699","13.81766382","21.1328976","28.77492877","44.0087146","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00007","","","","26","21","1","1","6","16","15","11","40","1.9","1.8","10.2","8","8","1","1","5","9","5","4.24","1.96","1.34","101.46","48.214","52.26","2.7","4","17.82","3.7","13.9","51","0.172727273","0.045","0.07254902","3.1875","1.961538462","0.6875","0.423076923","0.23125","0.142307692","0.6375","0.392307692","21.56862745","26.61870504","61.53846154","2.706552707","4.398148148","5.270655271","8.564814815","14.52991453","23.61111111","19.8005698","32.17592593","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00008","","","","26","15","1","1","4","14","14","15","27","2.9","1.1","6","5","5","1","1","5","5","5","4.06","1.44","0.93","32.8","21.34","66.72","1.74","2.34","9.28","4","10","42","0.193333333","0.040740741","0.095238095","3","1.615384615","1.071428571","0.576923077","0.285714286","0.153846154","0.428571429","0.230769231","35.71428571","40","53.84615385","4.131054131","7.671957672","5.698005698","10.58201058","8.547008547","15.87301587","14.24501425","26.45502646","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00009","","","","26","13","5","6","3","9","7","10","10","1.3","0.3","7","2","2","2","3","5","5","5","4.01","1.63","1.04","87.67","29.353","60.1","3.25","4.74","11.55","1.6","8.6","20","0.13","0.03","0.08","2.222222222","0.769230769","1.111111111","0.384615385","0.177777778","0.061538462","0.777777778","0.269230769","50","18.60465116","34.61538462","1.851851852","5.349794239","2.279202279","6.58436214","9.971509972","28.80658436","12.25071225","35.3909465","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00010","","","","26","15","1","3","5","15","14","12","27","2.2","1.9","9.5","3","3","1","3","5","5","3","3.91","1.9","1.13","112.93","33.089","56.42","4.14","5.96","11.69","4.1","13.6","39","0.183333333","0.07037037","0.105128205","2.6","1.5","0.8","0.461538462","0.273333333","0.157692308","0.633333333","0.365384615","30.76923077","30.14705882","57.69230769","3.133903134","5.432098765","5.84045584","10.12345679","13.53276353","23.45679012","19.37321937","33.58024691","1",""
