"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00001","","","","39","30","1","1","5","38","38","37","48","9.5","8.6","9.6","4","5","5","3","1","7","3","5","10.5","18.1","27.7","85","0.256756757","0.179166667","0.212941176","2.236842105","2.179487179","0.973684211","0.948717949","0.476315789","0.464102564","0.252631579","0.246153846","43.52941176","65.34296029","97.43589744","9.021842355","9.259259259","17.18898386","17.64132554","9.116809117","9.356725146","26.30579297","26.99805068"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00002","","","","39","21","1","1","5","35","35","42","50","10.1","9.7","7.5","4","3","1","1","1","5","5","3","7.76","19.8","27.3","92","0.24047619","0.194","0.215217391","2.628571429","2.358974359","1.2","1.076923077","0.565714286","0.507692308","0.214285714","0.192307692","45.65217391","72.52747253","89.74358974","9.591642925","10.68783069","18.8034188","20.95238095","7.122507123","7.936507937","25.92592593","28.88888889"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00003","","","","39","20","1","1","5","37","28","20","29","7.5","3.5","8.5","2","5","5","3","1","5","5","3","7.76","11","19.5","49","0.375","0.120689655","0.224489796","1.324324324","1.256410256","0.540540541","0.512820513","0.297297297","0.282051282","0.22972973","0.217948718","40.81632653","56.41025641","94.87179487","7.122507123","7.507507508","10.44634378","11.01101101","8.072174739","8.508508509","18.51851852","19.51951952"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00004","","","","39","25","1","1","5","33","33","38","47","8.5","9","9","6","3","1","3","1","5","5","3","7.76","17.5","26.5","85","0.223684211","0.191489362","0.205882353","2.575757576","2.179487179","1.151515152","0.974358974","0.53030303","0.448717949","0.272727273","0.230769231","44.70588235","66.03773585","84.61538462","8.072174739","9.539842873","16.61918329","19.64085297","8.547008547","10.1010101","25.16619183","29.74186308"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00005","","","","39","26","1","1","5","35","35","41","50","9.7","8.2","10.2","6","3","1","3","1","5","5","3","7.76","17.9","28.1","91","0.236585366","0.164","0.196703297","2.6","2.333333333","1.171428571","1.051282051","0.511428571","0.458974359","0.291428571","0.261538462","45.05494505","63.70106762","89.74358974","9.211775878","10.26455026","16.99905033","18.94179894","9.686609687","10.79365079","26.68566002","29.73544974"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00006","","","","39","25","1","1","5","34","34","39","46","8","7.5","6.7","8","3","3","1","1","5","5","3","7.76","15.5","22.2","85","0.205128205","0.163043478","0.182352941","2.5","2.179487179","1.147058824","1","0.455882353","0.397435897","0.197058824","0.171794872","45.88235294","69.81981982","87.17948718","7.597340931","8.71459695","14.71984805","16.88453159","6.362773029","7.298474946","21.08262108","24.18300654"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00007","","","","39","30","1","1","5","32","32","45","59","10.2","11","5.8","5","3","3","1","1","5","7","3","6.12","21.2","27","104","0.226666667","0.186440678","0.203846154","3.25","2.666666667","1.40625","1.153846154","0.6625","0.543589744","0.18125","0.148717949","43.26923077","78.51851852","82.05128205","9.686609687","11.80555556","20.13295347","24.53703704","5.508072175","6.712962963","25.64102564","31.25"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00008","","","","39","25","1","1","5","33","33","41","50","8.2","9.8","7.7","7","3","3","3","1","5","5","3","7.76","18","25.7","91","0.2","0.196","0.197802198","2.757575758","2.333333333","1.242424242","1.051282051","0.545454545","0.461538462","0.233333333","0.197435897","45.05494505","70.03891051","84.61538462","7.787274454","9.203142536","17.09401709","20.2020202","7.312440646","8.641975309","24.40645774","28.84399551"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00009","","","","39","30","1","1","5","38","38","39","50","9.2","10.8","16.5","5","1","1","1","1","7","3","5","10.5","20","36.5","89","0.235897436","0.216","0.224719101","2.342105263","2.282051282","1.026315789","1","0.526315789","0.512820513","0.434210526","0.423076923","43.82022472","54.79452055","97.43589744","8.73694207","8.966861598","18.99335233","19.49317739","15.66951567","16.08187135","34.662868","35.57504873"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00010","","","","39","31","1","1","5","33","33","32","44","7.5","8.2","9.2","9","3","5","3","1","5","5","3","7.23","15.7","24.9","76","0.234375","0.186363636","0.206578947","2.303030303","1.948717949","0.96969697","0.820512821","0.475757576","0.402564103","0.278787879","0.235897436","42.10526316","63.05220884","84.61538462","7.122507123","8.417508418","14.90978158","17.62065095","8.73694207","10.32547699","23.64672365","27.94612795"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00011","","","","39","32","1","1","5","38","38","42","49","9.6","10.6","10.2","4","1","3","3","1","5","5","3","7.23","20.2","30.4","91","0.228571429","0.216326531","0.221978022","2.394736842","2.333333333","1.105263158","1.076923077","0.531578947","0.517948718","0.268421053","0.261538462","46.15384615","66.44736842","97.43589744","9.116809117","9.356725146","19.18328585","19.68810916","9.686609687","9.941520468","28.86989554","29.62962963"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00012","","","","39","35","1","1","5","27","27","49","58","10.3","7.7","11.1","4","3","3","3","1","7","5","5","10.5","18","29.1","107","0.210204082","0.132758621","0.168224299","3.962962963","2.743589744","1.814814815","1.256410256","0.666666667","0.461538462","0.411111111","0.284615385","45.79439252","61.8556701","69.23076923","9.781576448","14.12894376","17.09401709","24.69135802","10.54131054","15.22633745","27.63532764","39.91769547"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00013","","","","39","21","1","1","5","30","30","30","20","8.5","3.5","9.5","5","5","5","7","3","3","7","1","3.03","12","21.5","50","0.283333333","0.175","0.24","1.666666667","1.282051282","1","0.769230769","0.4","0.307692308","0.316666667","0.243589744","60","55.81395349","76.92307692","8.072174739","10.49382716","11.3960114","14.81481481","9.021842355","11.72839506","20.41785375","26.54320988"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00014","","","","39","20","1","1","5","33","33","32","28","8.6","6.7","10.3","4","3","3","5","1","7","3","5","10.5","15.3","25.6","60","0.26875","0.239285714","0.255","1.818181818","1.538461538","0.96969697","0.820512821","0.463636364","0.392307692","0.312121212","0.264102564","53.33333333","59.765625","84.61538462","8.1671415","9.652076319","14.52991453","17.17171717","9.781576448","11.56004489","24.31149098","28.73176207"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00015","","","","39","30","1","1","5","38","38","15","44","3.6","9.8","12.5","2","5","3","9","3","3","9","1","0.02","13.4","25.9","59","0.24","0.222727273","0.227118644","1.552631579","1.512820513","0.394736842","0.384615385","0.352631579","0.343589744","0.328947368","0.320512821","25.42372881","51.73745174","97.43589744","3.418803419","3.50877193","12.72554606","13.06042885","11.8708452","12.18323587","24.59639126","25.24366472"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00016","","","","39","29","1","1","5","21","21","14","39","3.3","8.7","9.5","4","5","5","9","1","9","3","5","11.03","12","21.5","53","0.235714286","0.223076923","0.226415094","2.523809524","1.358974359","0.666666667","0.358974359","0.571428571","0.307692308","0.452380952","0.243589744","26.41509434","55.81395349","53.84615385","3.133903134","5.82010582","11.3960114","21.16402116","9.021842355","16.75485009","20.41785375","37.91887125"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00017","","","","39","30","1","1","5","22","22","17","37","4.4","10","8.3","2","5","5","7","1","5","7","3","6.12","14.4","22.7","54","0.258823529","0.27027027","0.266666667","2.454545455","1.384615385","0.772727273","0.435897436","0.654545455","0.369230769","0.377272727","0.212820513","31.48148148","63.43612335","56.41025641","4.178537512","7.407407407","13.67521368","24.24242424","7.882241216","13.97306397","21.55745489","38.21548822"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00018","","","","39","35","1","1","5","37","37","39","47","9.5","8.3","13.5","9","5","3","3","1","5","5","3","7.23","17.8","31.3","86","0.243589744","0.176595745","0.206976744","2.324324324","2.205128205","1.054054054","1","0.481081081","0.456410256","0.364864865","0.346153846","45.34883721","56.86900958","94.87179487","9.021842355","9.50950951","16.90408357","17.81781782","12.82051282","13.51351351","29.72459639","31.33133133"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00019","","","","39","23","1","1","5","36","36","29","36","7.8","7","11.5","8","5","5","3","1","5","5","3","6.12","14.8","26.3","65","0.268965517","0.194444444","0.227692308","1.805555556","1.666666667","0.805555556","0.743589744","0.411111111","0.379487179","0.319444444","0.294871795","44.61538462","56.27376426","92.30769231","7.407407407","8.024691358","14.05508072","15.22633745","10.92117759","11.83127572","24.97625831","27.05761317"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00020","","","","39","30","1","1","5","27","27","31","44","8.5","9.9","14.5","4","1","1","3","1","7","3","5","10.5","18.4","32.9","75","0.274193548","0.225","0.245333333","2.777777778","1.923076923","1.148148148","0.794871795","0.681481481","0.471794872","0.537037037","0.371794872","41.33333333","55.92705167","69.23076923","8.072174739","11.65980796","17.47388414","25.24005487","13.77018044","19.89026063","31.24406458","45.1303155"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00021","","","","39","32","1","1","5","32","25","14","20","3","6.6","9","2","5","5","1","1","5","5","3","7.23","9.6","18.6","34","0.214285714","0.33","0.282352941","1.0625","0.871794872","0.4375","0.358974359","0.3","0.246153846","0.28125","0.230769231","41.17647059","51.61290323","82.05128205","2.849002849","3.472222222","9.116809117","11.11111111","8.547008547","10.41666667","17.66381766","21.52777778"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00022","","","","39","31","1","1","5","20","20","16","29","4","7.5","5.9","2","3","5","3","1","5","5","3","6.12","11.5","17.4","45","0.25","0.25862069","0.255555556","2.25","1.153846154","0.8","0.41025641","0.575","0.294871795","0.295","0.151282051","35.55555556","66.09195402","51.28205128","3.798670465","7.407407407","10.92117759","21.2962963","5.603038936","10.92592593","16.52421652","32.22222222"
