"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00001","","","","26","14","1","1","4","9","9","16","18","5","1.4","4.2","3","5","5","50.2","16.3","1","7","5","3","3.03","1.29","0.78","4.1894259","6.12","62.54","7.21","10.22","3.29","6.4","10.6","34","0.3125","0.077777778","0.188235294","3.777777778","1.307692308","1.777777778","0.615384615","0.711111111","0.246153846","0.466666667","0.161538462","47.05882353","60.37735849","34.61538462","32.47011952","2.078087649","7.122507123","20.57613169","9.116809117","26.33744856","5.982905983","17.28395062","2.960238817","8.551801026","15.0997151","43.62139918"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00002","","","","26","21","1","1","8","15","14","32","53","8.9","4.1","11.4","5","5","5","50.8","12.2","1","5","5","3","2.16","1.45","0.67","111.1464233","12.39","48.19","13.44","18.74","1.78","13","24.4","85","0.278125","0.077358491","0.152941176","5.666666667","3.269230769","2.133333333","1.230769231","0.866666667","0.5","0.76","0.438461538","37.64705882","53.27868852","57.69230769","24.01574803","3.122047244","12.67806268","21.97530864","18.51851852","32.09876543","16.23931624","28.14814815","4.447360747","7.708758627","34.75783476","60.24691358"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00003","","","","26","20","1","1","6","17","17","32","47","10","5.2","4.2","3","3","2","50.9","14.1","3","5","9","5","3.81","1.75","1.03","24.7105331","1.74","60.74","7.21","10.6","2.45","15.2","19.4","79","0.3125","0.110638298","0.192405063","4.647058824","3.038461538","1.882352941","1.230769231","0.894117647","0.584615385","0.247058824","0.161538462","40.50632911","78.35051546","65.38461538","27.70137525","4.210609037","14.24501425","21.78649237","21.65242165","33.11546841","5.982905983","9.150326797","5.998018572","9.173440168","27.63532764","42.26579521"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00004","","","","26","17","2","2","4","14","14","36","38","8.4","3","0.4","3","3","4","","","1","3","7","5","","","","","12.39","","","","","11.4","11.8","74","0.233333333","0.078947368","0.154054054","5.285714286","2.846153846","2.571428571","1.384615385","0.814285714","0.438461538","0.028571429","0.015384615","48.64864865","96.61016949","53.84615385","","","11.96581197","22.22222222","16.23931624","30.15873016","0.56980057","1.058201058","","","16.80911681","31.21693122"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00005","","","","26","18","1","1","7","11","11","71","55","25","5","10.2","3","3","3","50.1","10.8","3","5","7","5","1.48","0.94","0.55","105.1355438","7.23","54.16","11.8","16.14","0.55","30","40.2","126","0.352112676","0.090909091","0.238095238","11.45454545","4.846153846","6.454545455","2.730769231","2.727272727","1.153846154","0.927272727","0.392307692","56.34920635","74.62686567","42.30769231","21.55688623","6.467065868","35.61253561","84.17508418","42.73504274","101.010101","14.52991453","34.34343434","9.212344542","21.77463255","57.26495726","135.3535354"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00006","","","","26","21","2","2","6","18","18","43","41","10.2","3","7.4","5","3","2","50.5","12.8","2","3","8","5","2.57","1.54","0.95","9.993412","6.12","51.15","5.75","7.92","17.15","13.2","20.6","84","0.237209302","0.073170732","0.157142857","4.666666667","3.230769231","2.388888889","1.653846154","0.733333333","0.507692308","0.411111111","0.284615385","51.19047619","64.0776699","69.23076923","25.34653465","3.345742574","14.52991453","20.98765432","18.8034188","27.16049383","10.54131054","15.22633745","4.766015063","6.88424398","29.34472934","42.38683128"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00007","","","","26","21","1","1","6","18","16","29","8","8.2","0.3","6.7","3","3","3","50.8","13.1","1","4","5","5","2.2","1.59","1.03","15.8513308","7.23","59.72","5.79","8.13","7.15","8.5","15.2","37","0.282758621","0.0375","0.22972973","2.055555556","1.423076923","1.611111111","1.115384615","0.472222222","0.326923077","0.372222222","0.257692308","78.37837838","55.92105263","69.23076923","25.78740157","2.191929134","11.68091168","16.87242798","12.10826211","17.48971193","9.544159544","13.78600823","3.122406174","4.510142251","21.65242165","31.27572016"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00008","","","","26","24","4","4","5","14","14","54","53","12","4.1","4.9","1","1","3","50.9","13.6","3","6","5","4","3.29","1.71","1","27.7475853","1.74","59.14","7.96","11.75","1.84","16.1","21","107","0.222222222","0.077358491","0.15046729","7.642857143","4.115384615","3.857142857","2.076923077","1.15","0.619230769","0.35","0.188461538","50.46728972","76.66666667","53.84615385","26.71905697","4.301768173","17.09401709","31.74603175","22.93447293","42.59259259","6.98005698","12.96296296","6.12787489","11.38033908","29.91452991","55.55555556"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00009","","","","26","23","1","1","4","12","12","28","37","4.9","1.4","1.2","3","1","2","50.1","11.1","1","7","6","1","1.83","1.6","0.74","27.554163","14.37","45.1","14.82","20.4","1.61","6.3","7.5","65","0.175","0.037837838","0.096923077","5.416666667","2.5","2.333333333","1.076923077","0.525","0.242307692","0.1","0.046153846","43.07692308","84","46.15384615","22.15568862","1.395808383","6.98005698","15.12345679","8.974358974","19.44444444","1.709401709","3.703703704","1.98833103","4.308050566","10.68376068","23.14814815"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00010","","","","26","22","1","1","6","11","11","27","16","12","1.2","5.3","3","3","3","50.4","16.8","1","6","8","3","2.84","1.24","0.69","15.7289028","5.49","63.34","7.22","10.25","2.24","13.2","18.5","43","0.444444444","0.075","0.306976744","3.909090909","1.653846154","2.454545455","1.038461538","1.2","0.507692308","0.481818182","0.203846154","62.79069767","71.35135135","42.30769231","33.33333333","4.4","17.09401709","40.4040404","18.8034188","44.44444444","7.54985755","17.84511785","6.267806268","14.81481481","26.35327635","62.28956229"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00011","","","","26","2","1","1","2","1","0","0","0","0","0","0.9","","","","","","","","","","","","","","","","","","","0","0.9","0","","","","0","0","0","0","0","0","0.9","0.034615385","","0","3.846153846","","","0","0","0","0","1.282051282","33.33333333","","","1.282051282","33.33333333"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00012","","","","26","18","2","2","5","6","6","29","20","5","1.2","11.4","3","3","2","50.6","9","1","7","5","1","1.94","1.79","0.86","27.1504631","14.37","37.75","19.27","26.37","","6.2","17.6","49","0.172413793","0.06","0.126530612","8.166666667","1.884615385","4.833333333","1.115384615","1.033333333","0.238461538","1.9","0.438461538","59.18367347","35.22727273","23.07692308","17.78656126","1.102766798","7.122507123","30.86419753","8.831908832","38.27160494","16.23931624","70.37037037","1.570892875","6.807202459","25.07122507","108.6419753"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00013","","","","26","20","1","1","5","9","8","16","27","3.4","3.1","14","5","5","8","50.3","14.4","3","3","8","5","3.76","2.11","1.2","29.9110527","11.03","62.37","4.96","7.09","9.37","6.5","20.5","43","0.2125","0.114814815","0.151162791","4.777777778","1.653846154","1.777777778","0.615384615","0.722222222","0.25","1.555555556","0.538461538","37.20930233","31.70731707","34.61538462","28.62823062","1.86083499","4.843304843","13.99176955","9.259259259","26.74897119","19.94301994","57.61316872","2.650762094","7.657757161","29.2022792","84.36213992"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00014","","","","26","20","1","1","6","12","12","19","50","3.2","1.8","8.2","7","5","6","45.1","7.9","1","9","5","1","2.16","1.95","0.86","39.7888565","14.37","30.62","18.42","25.38","6.07","5","13.2","69","0.168421053","0.036","0.072463768","5.75","2.653846154","1.583333333","0.730769231","0.416666667","0.192307692","0.683333333","0.315384615","27.53623188","37.87878788","46.15384615","17.51662971","0.875831486","4.558404558","9.87654321","7.122507123","15.43209877","11.68091168","25.30864198","1.247623199","2.703183597","18.8034188","40.74074074"
"","","MZP2013UMB-AT01","","","","","","","","","MZP2013UMB-AT01-00015","","","","26","18","2","2","9","18","18","47","62","15","9","23.4","3","5","7","50.4","13.9","1","3","9","5","3.46","1.46","0.87","1.6965454","14.37","53.32","7.73","10.87","10.19","24","47.4","109","0.319148936","0.14516129","0.220183486","6.055555556","4.192307692","2.611111111","1.807692308","1.333333333","0.923076923","1.3","0.9","43.11926606","50.63291139","69.23076923","27.57936508","6.619047619","21.36752137","30.86419753","34.18803419","49.38271605","33.33333333","48.14814815","9.428842762","13.61943955","67.52136752","97.5308642"
