"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|CO_331:0000198","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00001","","","","26","20","1","4","3","1","1","20","19","15","30","2.2","2","5","5","5","4","2","5","8","1","4.2","9.2","45","0.146666667","0.066666667","0.093333333","2.25","1.730769231","0.75","0.576923077","0.21","0.161538462","0.25","0.192307692","33.33333333","45.65217391","76.92307692","3.133903134","4.074074074","5.982905983","7.777777778","7.122507123","9.259259259","13.10541311","17.03703704"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00002","","","","26","22","2","2","8","1","1","22","19","12","30","2.3","3.5","22","5","6","5","1","3","8","1","5.8","27.8","42","0.191666667","0.116666667","0.138095238","1.909090909","1.615384615","0.545454545","0.461538462","0.263636364","0.223076923","1","0.846153846","28.57142857","20.86330935","84.61538462","3.276353276","3.872053872","8.262108262","9.764309764","31.33903134","37.03703704","39.6011396","46.8013468"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00003","","","","26","19","6","7","2","1","1","19","13","12","4","2.2","2.4","3.5","6","5","4","1","1","8","2","4.6","8.1","16","0.183333333","0.6","0.2875","0.842105263","0.615384615","0.631578947","0.461538462","0.242105263","0.176923077","0.184210526","0.134615385","75","56.79012346","73.07692308","3.133903134","4.288499025","6.552706553","8.966861598","4.985754986","6.822612086","11.53846154","15.78947368"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00004","","","","26","13","2","4","6","1","2","13","12","10","29","3.4","7","9.2","3","3","3","3","3","9","2","10.4","19.6","39","0.34","0.24137931","0.266666667","3","1.5","0.769230769","0.384615385","0.8","0.4","0.707692308","0.353846154","25.64102564","53.06122449","50","4.843304843","9.686609687","14.81481481","29.62962963","13.10541311","26.21082621","27.92022792","55.84045584"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00005","","","","26","17","3","5","5","1","1","17","16","10","13","0.8","1.2","7","6","6","4","1","3","8","1","2","9","23","0.08","0.092307692","0.086956522","1.352941176","0.884615385","0.588235294","0.384615385","0.117647059","0.076923077","0.411764706","0.269230769","43.47826087","22.22222222","65.38461538","1.13960114","1.74291939","2.849002849","4.357298475","9.971509972","15.25054466","12.82051282","19.60784314"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00006","","","","26","25","1","3","6","1","1","25","25","42","105","9","18","12","3","3","4","3","3","8","2","27","39","147","0.214285714","0.171428571","0.183673469","5.88","5.653846154","1.68","1.615384615","1.08","1.038461538","0.48","0.461538462","28.57142857","69.23076923","96.15384615","12.82051282","13.33333333","38.46153846","40","17.09401709","17.77777778","55.55555556","57.77777778"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00007","","","","26","18","1","1","7","1","1","18","7","0","12","0","2.2","24","4","6","5","1","3","9","1","2.2","26.2","12","","0.183333333","0.183333333","0.666666667","0.461538462","0","0","0.122222222","0.084615385","1.333333333","0.923076923","0","8.396946565","69.23076923","0","0","3.133903134","4.526748971","34.18803419","49.38271605","37.32193732","53.90946502"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00008","","","","26","21","4","7","7","1","1","21","18","1","33","0.1","2","11.5","7","8","7","3","3","8","1","2.1","13.6","34","0.1","0.060606061","0.061764706","1.619047619","1.307692308","0.047619048","0.038461538","0.1","0.080769231","0.547619048","0.442307692","2.941176471","15.44117647","80.76923077","0.142450142","0.176366843","2.991452991","3.703703704","16.38176638","20.28218695","19.37321937","23.98589065"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00009","","","","26","18","2","8","4","1","1","18","18","0","22","0","4.5","6","5","5","7","4","4","3","5","4.5","10.5","22","","0.204545455","0.204545455","1.222222222","0.846153846","0","0","0.25","0.173076923","0.333333333","0.230769231","0","42.85714286","69.23076923","0","0","6.41025641","9.259259259","8.547008547","12.34567901","14.95726496","21.60493827"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00010","","","","26","21","1","5","5","1","1","21","19","16","62","4.8","9","9","5","4","3","3","2","8","2","13.8","22.8","78","0.3","0.14516129","0.176923077","3.714285714","3","0.761904762","0.615384615","0.657142857","0.530769231","0.428571429","0.346153846","20.51282051","60.52631579","80.76923077","6.837606838","8.465608466","19.65811966","24.33862434","12.82051282","15.87301587","32.47863248","40.21164021"
