"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00001","","","","26","23","1","1","8","23","17","71","110","15","5","10","3","3","1","13.8","1","3","3","3","2.2","1.74","1.01","28.88","12.39","57.34","5.96","7.98","13.08","0.19","20","30","181","0.211267606","0.045454545","0.110497238","7.869565217","6.961538462","3.086956522","2.730769231","0.869565217","0.769230769","0.434782609","0.384615385","39.22651934","66.66666667","88.46153846","21.36752137","24.15458937","28.49002849","32.20611916","14.24501425","16.10305958","42.73504274","48.30917874"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00002","","","","26","15","4","3","5","9","7","9","7","3","1","4","3","3","1","14.1","1","5","3","5","3.31","2.04","1.08","25.54","7.76","58.84","2.32","3.2","17.08","0.71","4","8","16","0.333333333","0.142857143","0.25","1.777777778","0.615384615","1","0.346153846","0.444444444","0.153846154","0.444444444","0.153846154","56.25","50","34.61538462","4.273504274","12.34567901","5.698005698","16.46090535","5.698005698","16.46090535","11.3960114","32.9218107"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00003","","","","26","18","1","5","8","14","14","48","70","10","4","11","5","5","3","17.2","3","3","3","3","2.81","1.64","0.88","27.18","1.38","71.02","2.47","3.47","6.66","0.24","14","25","118","0.208333333","0.057142857","0.118644068","8.428571429","4.538461538","3.428571429","1.846153846","1","0.538461538","0.785714286","0.423076923","40.6779661","56","53.84615385","14.24501425","26.45502646","19.94301994","37.03703704","15.66951567","29.1005291","35.61253561","66.13756614"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00004","","","","26","22","1","1","9","20","13","11","12","9","2","22","5","3","3","17.9","5","3","3","3","2.55","1.82","0.99","30.34","1.74","69.33","3.05","4.28","5.17","0.22","11","33","23","0.818181818","0.166666667","0.47826087","1.15","0.884615385","0.55","0.423076923","0.55","0.423076923","1.1","0.846153846","47.82608696","33.33333333","76.92307692","12.82051282","16.66666667","15.66951567","20.37037037","31.33903134","40.74074074","47.00854701","61.11111111"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00005","","","","26","21","3","5","8","21","14","23","30","7","3.5","10","1","3","1","13.2","1","7","5","3","2.78","2.09","1.14","42.27","14.37","47.36","5.11","7.26","22.78","0.13","10.5","20.5","53","0.304347826","0.116666667","0.198113208","2.523809524","2.038461538","1.095238095","0.884615385","0.5","0.403846154","0.476190476","0.384615385","43.39622642","51.2195122","80.76923077","9.971509972","12.34567901","14.95726496","18.51851852","14.24501425","17.6366843","29.2022792","36.15520282"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00006","","","","26","26","1","1","9","20","16","26","55","5","4","14","3","3","1","16.8","1","7","7","3","3.31","1.91","1.11","26.08","11.03","65.58","2.1","3.6","14.49","0.09","9","23","81","0.192307692","0.072727273","0.111111111","4.05","3.115384615","1.3","1","0.45","0.346153846","0.7","0.538461538","32.09876543","39.13043478","76.92307692","7.122507123","9.259259259","12.82051282","16.66666667","19.94301994","25.92592593","32.76353276","42.59259259"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00007","","","","26","22","1","1","9","16","15","50","56","11.5","4","17","3","3","1","14.9","1","5","3","3","3.34","1.87","1","24.25","7.23","63.7","2.64","3.71","13.31","0.12","15.5","32.5","106","0.23","0.071428571","0.146226415","6.625","4.076923077","3.125","1.923076923","0.96875","0.596153846","1.0625","0.653846154","47.16981132","47.69230769","61.53846154","16.38176638","26.62037037","22.07977208","35.87962963","24.21652422","39.35185185","46.2962963","75.23148148"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00008","","","","26","26","1","1","8","19","16","62","116","10","6","8","3","3","1","11.9","1","3","3","3","2.49","1.9","1.04","23.86","12.39","47.59","5.14","8.2","27.11","","16","24","178","0.161290323","0.051724138","0.08988764","9.368421053","6.846153846","3.263157895","2.384615385","0.842105263","0.615384615","0.421052632","0.307692308","34.83146067","66.66666667","73.07692308","14.24501425","19.49317739","22.79202279","31.18908382","11.3960114","15.59454191","34.18803419","46.78362573"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00009","","","","26","24","1","1","8","16","15","22","45","5","5","7","5","3","1","18.4","3","5","5","7","3.53","1.51","0.83","16.56","3.03","69.72","2.86","3.68","6.14","0.46","10","17","67","0.227272727","0.111111111","0.149253731","4.1875","2.576923077","1.375","0.846153846","0.625","0.384615385","0.4375","0.269230769","32.8358209","58.82352941","61.53846154","7.122507123","11.57407407","14.24501425","23.14814815","9.971509972","16.2037037","24.21652422","39.35185185"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00010","","","","26","25","1","1","9","17","14","38","62","11","8","4","3","5","5","11.7","3","3","3","3","4.23","2.37","1.27","39.54","12.39","47.97","4.25","6.49","22.43","0.16","19","23","100","0.289473684","0.129032258","0.19","5.882352941","3.846153846","2.235294118","1.461538462","1.117647059","0.730769231","0.235294118","0.153846154","38","82.60869565","65.38461538","15.66951567","23.96514161","27.06552707","41.39433551","5.698005698","8.71459695","32.76353276","50.10893246"
