"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT04","","","","","","","","","MZP2013UMB-AT04-00001","","","","26","18","1","3","8","11","11","39","33","15","8.2","32","9","9","1","50.7","13","1","1","5","5","2.89","1.84","1.17","85.99","98.23","26.37","7.76","46.6","8.06","11.92","12.64","0.45","23.2","55.2","72","0.384615385","0.248484848","0.322222222","6.545454545","2.769230769","3.545454545","1.5","2.109090909","0.892307692","2.909090909","1.230769231","54.16666667","42.02898551","42.30769231","25.64102564","5.948717949","21.36752137","50.50505051","33.04843305","78.11447811","45.58404558","107.7441077","8.473957192","20.02935336","78.63247863","185.8585859"
"","","MZP2013UMB-AT04","","","","","","","","","MZP2013UMB-AT04-00002","","","","26","5","3","5","4","4","4","7","5","7","1","9.2","9","9","5","50.4","16.4","1","1","1","5","3.26","2.08","1.46","99.71","105","26.09","7.76","56.08","3.23","5.11","12.24","0.49","8","17.2","12","1","0.2","0.666666667","3","0.461538462","1.75","0.269230769","2","0.307692308","2.3","0.353846154","58.33333333","46.51162791","15.38461538","32.53968254","2.603174603","9.971509972","64.81481481","11.3960114","74.07407407","13.10541311","85.18518519","3.70822593","24.10346855","24.5014245","159.2592593"
"","","MZP2013UMB-AT04","","","","","","","","","MZP2013UMB-AT04-00003","","","","26","13","1","1","5","8","8","5","30","0.4","2","11","7","7","1","50.8","14.3","1","1","5","5","3.07","1.76","1.16","48.75","103.91","22.29","7.76","49.34","4.59","7.16","19.3","0.55","2.4","13.4","35","0.08","0.066666667","0.068571429","4.375","1.346153846","0.625","0.192307692","0.3","0.092307692","1.375","0.423076923","14.28571429","17.91044776","30.76923077","28.1496063","0.675590551","0.56980057","1.851851852","3.418803419","11.11111111","15.66951567","50.92592593","0.962379703","3.127734033","19.08831909","62.03703704"
"","","MZP2013UMB-AT04","","","","","","","","","MZP2013UMB-AT04-00004","","","","26","15","4","1","6","5","2","2","10","0.4","0.4","5","5","5","1","50.6","17.1","1","1","1","9","3","1.76","1.17","62.3","97.11","34.23","12.39","56.16","3.02","4.9","16.1","0.52","0.8","5.8","12","0.2","0.04","0.066666667","2.4","0.461538462","0.4","0.076923077","0.16","0.030769231","1","0.192307692","16.66666667","13.79310345","19.23076923","33.7944664","0.270355731","0.56980057","2.962962963","1.13960114","5.925925926","7.122507123","37.03703704","0.385122124","2.002635046","8.262108262","42.96296296"
"","","MZP2013UMB-AT04","","","","","","","","","MZP2013UMB-AT04-00005","","","","26","14","1","1","7","7","6","16","20","2","1","8.9","5","5","3","22.6","6.2","1","1","3","7","2.48","1.51","1","","61.23","27.54","7.23","45.59","7.59","10.83","16.73","0.76","3","11.9","36","0.125","0.05","0.083333333","5.142857143","1.384615385","2.285714286","0.615384615","0.428571429","0.115384615","1.271428571","0.342307692","44.44444444","25.21008403","26.92307692","27.43362832","0.82300885","2.849002849","10.58201058","4.273504274","15.87301587","12.67806268","47.08994709","1.172377279","4.354544178","16.95156695","62.96296296"
"","","MZP2013UMB-AT04","","","","","","","","","MZP2013UMB-AT04-00006","","","","26","13","1","1","4","7","7","5","5","1","0.9","1.2","5","5","1","","","1","3","1","3","","","","","","","11.03","","","","","","1.9","3.1","10","0.2","0.18","0.19","1.428571429","0.384615385","0.714285714","0.192307692","0.271428571","0.073076923","0.171428571","0.046153846","50","61.29032258","26.92307692","","","1.424501425","5.291005291","2.706552707","10.05291005","1.709401709","6.349206349","","","4.415954416","16.4021164"
"","","MZP2013UMB-AT04","","","","","","","","","MZP2013UMB-AT04-00007","","","","26","20","4","5","7","11","11","40","40","7","3","3.2","1","5","1","50.2","14","1","1","1","5","3.91","1.91","1.22","5.05","79.77","26.47","10.5","51.93","2.6","4.46","19.94","0.7","10","13.2","80","0.175","0.075","0.125","7.272727273","3.076923077","3.636363636","1.538461538","0.909090909","0.384615385","0.290909091","0.123076923","50","75.75757576","42.30769231","27.88844622","2.788844622","9.971509972","23.56902357","14.24501425","33.67003367","4.558404558","10.77441077","3.972713136","9.390049231","18.8034188","44.44444444"
"","","MZP2013UMB-AT04","","","","","","","","","MZP2013UMB-AT04-00008","","","","26","6","1","3","4","2","2","1","3","0.1","0.1","0.1","5","1","1","50.6","14.5","7","5","1","3","2.82","1.93","1.27","112.34","132.86","26.72","10.5","50.19","4.98","7.79","16.82","0.62","0.2","0.3","4","0.1","0.033333333","0.05","2","0.153846154","0.5","0.038461538","0.1","0.007692308","0.05","0.003846154","25","66.66666667","7.692307692","28.65612648","0.057312253","0.142450142","1.851851852","0.284900285","3.703703704","0.142450142","1.851851852","0.081641386","1.061338018","0.427350427","5.555555556"
"","","MZP2013UMB-AT04","","","","","","","","","MZP2013UMB-AT04-00009","","","","26","24","1","1","8","14","14","34","27","7.4","3","5","1","1","1","36.7","7.9","3","7","3","3","2.33","2.36","1.5","119.04","141.92","50.82","4.61","34.96","6.85","9.33","22.41","0.92","10.4","15.4","61","0.217647059","0.111111111","0.170491803","4.357142857","2.346153846","2.428571429","1.307692308","0.742857143","0.4","0.357142857","0.192307692","55.73770492","67.53246753","53.84615385","21.52588556","2.238692098","10.54131054","19.57671958","14.81481481","27.51322751","7.122507123","13.22751323","3.189020083","5.922465868","21.93732194","40.74074074"
"","","MZP2013UMB-AT04","","","","","","","","","MZP2013UMB-AT04-00010","","","","26","19","1","1","7","12","11","34","40","6.8","2.4","8","1","1","1","50.6","12.2","1","1","7","7","2.21","1.76","1.06","66.52","110.87","20.17","0.02","42.25","8.33","11.91","17.43","0.54","9.2","17.2","74","0.2","0.06","0.124324324","6.166666667","2.846153846","2.833333333","1.307692308","0.766666667","0.353846154","0.666666667","0.307692308","45.94594595","53.48837209","46.15384615","24.11067194","2.218181818","9.686609687","20.98765432","13.10541311","28.39506173","11.3960114","24.69135802","3.15980316","6.84624018","24.5014245","53.08641975"
