"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00001","","","","26","22","1","8","13","12","72","32","20","10","13.5","1","5","1","100","25.59","1","7","3","5","30","43.5","104","0.277777778","0.3125","0.288461538","8","4","5.538461538","2.769230769","2.307692308","1.153846154","1.038461538","0.519230769","69.23076923","68.96551724","50","25.59","7.677","28.49002849","56.98005698","42.73504274","85.47008547","19.23076923","38.46153846","10.93589744","21.87179487","61.96581197","123.9316239"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00002","","","","26","23","3","8","21","21","47","134","7.5","8.5","12.3","5","3","1","100.39","34.86","1","7","5","3","16","28.3","181","0.159574468","0.063432836","0.08839779","8.619047619","6.961538462","2.238095238","1.807692308","0.761904762","0.615384615","0.585714286","0.473076923","25.96685083","56.53710247","80.76923077","34.72457416","5.555931866","10.68376068","13.22751323","22.79202279","28.21869489","17.52136752","21.69312169","7.914432857","9.798821633","40.31339031","49.91181658"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00003","","","","26","26","1","8","17","17","68","100","14","4.5","13","3","5","1","100.83","31.28","1","7","7","3","18.5","31.5","168","0.205882353","0.045","0.110119048","9.882352941","6.461538462","4","2.615384615","1.088235294","0.711538462","0.764705882","0.5","40.47619048","58.73015873","65.38461538","31.02251314","5.739164931","19.94301994","30.50108932","26.35327635","40.30501089","18.51851852","28.32244009","8.17544862","12.5036273","44.87179487","68.62745098"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00004","","","","26","26","1","8","19","18","18","68","1.8","3.4","27","7","7","1","100.9","33.79","5","7","7","3","5.2","32.2","86","0.1","0.05","0.060465116","4.526315789","3.307692308","0.947368421","0.692307692","0.273684211","0.2","1.421052632","1.038461538","20.93023256","16.14906832","73.07692308","33.48860258","1.741407334","2.564102564","3.50877193","7.407407407","10.13645224","38.46153846","52.63157895","2.480637228","3.394556207","45.86894587","62.76803119"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00005","","","","26","26","1","7","19","18","62","94","5.5","3","12","5","5","1","100.37","42.29","1","3","7","3","8.5","20.5","156","0.088709677","0.031914894","0.054487179","8.210526316","6","3.263157895","2.384615385","0.447368421","0.326923077","0.631578947","0.461538462","39.74358974","41.46341463","73.07692308","42.13410382","3.581398824","7.834757835","10.72124756","12.10826211","16.56920078","17.09401709","23.39181287","5.101707727","6.981284258","29.2022792","39.96101365"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00006","","","","26","21","6","6","15","15","29","26","5","1","10.5","5","3","1","100.65","37.54","1","7","9","1","6","16.5","55","0.172413793","0.038461538","0.109090909","3.666666667","2.115384615","1.933333333","1.115384615","0.4","0.230769231","0.7","0.403846154","52.72727273","36.36363636","57.69230769","37.29756582","2.237853949","7.122507123","12.34567901","8.547008547","14.81481481","14.95726496","25.92592593","3.187826139","5.525565307","23.5042735","40.74074074"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00007","","","","26","26","1","9","20","12","64","42","7.9","1.7","18.2","1","3","1","100.47","38.65","1","7","7","3","9.6","27.8","106","0.1234375","0.04047619","0.090566038","5.3","4.076923077","3.2","2.461538462","0.48","0.369230769","0.91","0.7","60.37735849","34.5323741","76.92307692","38.46919478","3.693042699","11.25356125","14.62962963","13.67521368","17.77777778","25.92592593","33.7037037","5.260744586","6.838967962","39.6011396","51.48148148"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00008","","","","26","26","1","8","18","18","82","58","10.5","3","19.5","3","3","1","100.36","33.14","1","7","9","1","13.5","33","140","0.12804878","0.051724138","0.096428571","7.777777778","5.384615385","4.555555556","3.153846154","0.75","0.519230769","1.083333333","0.75","58.57142857","40.90909091","69.23076923","33.02112395","4.457851734","14.95726496","21.60493827","19.23076923","27.77777778","27.77777778","40.12345679","6.350216145","9.172534432","47.00854701","67.90123457"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00009","","","","26","26","7","6","18","16","60","32","4.3","1","7.5","3","1","1","100.38","33.66","1","9","9","1","5.3","12.8","92","0.071666667","0.03125","0.057608696","5.111111111","3.538461538","3.333333333","2.307692308","0.294444444","0.203846154","0.416666667","0.288461538","65.2173913","41.40625","69.23076923","33.53257621","1.777226539","6.125356125","8.847736626","7.54985755","10.90534979","10.68376068","15.43209877","2.531661737","3.656844731","18.23361823","26.33744856"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00010","","","","26","25","4","7","7","7","41","7","5.8","0.9","10","5","3","1","100.73","30.79","1","3","7","5","6.7","16.7","48","0.141463415","0.128571429","0.139583333","6.857142857","1.846153846","5.857142857","1.576923077","0.957142857","0.257692308","1.428571429","0.384615385","85.41666667","40.11976048","26.92307692","30.56686191","2.047979748","8.262108262","30.68783069","9.544159544","35.44973545","14.24501425","52.91005291","2.917350068","10.83587168","23.78917379","88.35978836"
