"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00001","","","","39","30","1","1","5","25","25","31","47","10.5","15.7","17.5","2","3","3","3","3","1","7","3","26.2","43.7","78","0.338709677","0.334042553","0.335897436","3.12","2","1.24","0.794871795","1.048","0.671794872","0.7","0.448717949","39.74358974","59.95423341","64.1025641","9.971509972","15.55555556","24.88129155","38.81481481","16.61918329","25.92592593","41.50047483","64.74074074"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00002","","","","39","31","1","1","7","31","31","20","37","7","11.5","12.3","2","3","3","5","1","5","5","3","18.5","30.8","57","0.35","0.310810811","0.324561404","1.838709677","1.461538462","0.64516129","0.512820513","0.596774194","0.474358974","0.396774194","0.315384615","35.0877193","60.06493506","79.48717949","6.647673314","8.363201912","17.5688509","22.10274791","11.68091168","14.6953405","29.24976258","36.79808841"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00003","","","","39","27","1","1","5","27","27","25","39","8.9","12","15.5","4","3","3","3","1","7","5","5","20.9","36.4","64","0.356","0.307692308","0.3265625","2.37037037","1.641025641","0.925925926","0.641025641","0.774074074","0.535897436","0.574074074","0.397435897","39.0625","57.41758242","69.23076923","8.452041785","12.2085048","19.84805318","28.66941015","14.71984805","21.26200274","34.56790123","49.93141289"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00004","","","","39","28","1","1","5","18","18","19","27","6.5","11.5","21.5","5","3","3","3","1","5","5","3","18","39.5","46","0.342105263","0.425925926","0.391304348","2.555555556","1.179487179","1.055555556","0.487179487","1","0.461538462","1.194444444","0.551282051","41.30434783","45.56962025","46.15384615","6.172839506","13.3744856","17.09401709","37.03703704","20.41785375","44.23868313","37.51187085","81.27572016"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00005","","","","39","29","1","1","5","19","19","17","29","5.5","10.7","8.5","4","3","3","3","1","7","3","5","16.2","24.7","46","0.323529412","0.368965517","0.352173913","2.421052632","1.179487179","0.894736842","0.435897436","0.852631579","0.415384615","0.447368421","0.217948718","36.95652174","65.58704453","48.71794872","5.22317189","10.72124756","15.38461538","31.57894737","8.072174739","16.56920078","23.45679012","48.14814815"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00006","","","","39","31","1","1","5","21","21","29","45","8.8","14.5","10.5","4","3","5","5","1","7","3","5","23.3","33.8","74","0.303448276","0.322222222","0.314864865","3.523809524","1.897435897","1.380952381","0.743589744","1.10952381","0.597435897","0.5","0.269230769","39.18918919","68.93491124","53.84615385","8.357075024","15.52028219","22.12725546","41.09347443","9.971509972","18.51851852","32.09876543","59.61199295"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00007","","","","39","35","1","1","5","35","35","41","67","14.5","15.9","17.9","4","1","1","3","1","9","3","5","30.4","48.3","108","0.353658537","0.237313433","0.281481481","3.085714286","2.769230769","1.171428571","1.051282051","0.868571429","0.779487179","0.511428571","0.458974359","37.96296296","62.93995859","89.74358974","13.77018044","15.34391534","28.86989554","32.16931217","16.99905033","18.94179894","45.86894587","51.11111111"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00008","","","","39","21","9","9","5","17","17","12","19","3.5","5.7","10.5","7","5","5","5","1","9","3","5","9.2","19.7","31","0.291666667","0.3","0.296774194","1.823529412","0.794871795","0.705882353","0.307692308","0.541176471","0.235897436","0.617647059","0.269230769","38.70967742","46.70050761","43.58974359","3.323836657","7.625272331","8.73694207","20.04357298","9.971509972","22.87581699","18.70845204","42.91938998"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00009","","","","39","31","1","1","5","13","13","14","17","4.5","6.8","9.5","2","5","5","3","1","9","3","5","11.3","20.8","31","0.321428571","0.4","0.364516129","2.384615385","0.794871795","1.076923077","0.358974359","0.869230769","0.28974359","0.730769231","0.243589744","45.16129032","54.32692308","33.33333333","4.273504274","12.82051282","10.73124406","32.19373219","9.021842355","27.06552707","19.75308642","59.25925926"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00010","","","","39","20","1","1","5","10","10","15","19","5","6.7","10.5","2","5","5","3","3","3","7","3","11.7","22.2","34","0.333333333","0.352631579","0.344117647","3.4","0.871794872","1.5","0.384615385","1.17","0.3","1.05","0.269230769","44.11764706","52.7027027","25.64102564","4.748338082","18.51851852","11.11111111","43.33333333","9.971509972","38.88888889","21.08262108","82.22222222"
