"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00001","","","","39","33","1","3","5","30","30","22","39","6.5","6","17.5","4","5","5","5","1","5","5","3","12.5","30","61","0.295454545","0.153846154","0.204918033","2.033333333","1.564102564","0.733333333","0.564102564","0.416666667","0.320512821","0.583333333","0.448717949","36.06557377","41.66666667","76.92307692","6.172839506","8.024691358","11.8708452","15.43209877","16.61918329","21.60493827","28.49002849","37.03703704"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00002","","","","39","34","3","5","7","33","30","21","40","5","10.1","20.5","5","3","5","5","1","5","5","3","15.1","35.6","61","0.238095238","0.2525","0.247540984","1.848484848","1.564102564","0.636363636","0.538461538","0.457575758","0.387179487","0.621212121","0.525641026","34.42622951","42.41573034","84.61538462","4.748338082","5.611672278","14.33998101","16.94725028","19.46818613","23.00785634","33.80816714","39.95510662"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00003","","","","39","31","3","5","5","28","28","17","22","4.1","6.2","13","5","5","5","5","3","3","7","1","10.3","23.3","39","0.241176471","0.281818182","0.264102564","1.392857143","1","0.607142857","0.435897436","0.367857143","0.264102564","0.464285714","0.333333333","43.58974359","44.20600858","71.79487179","3.893637227","5.423280423","9.781576448","13.62433862","12.34567901","17.1957672","22.12725546","30.82010582"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00004","","","","39","32","3","5","5","12","5","10","20","3","5","10.3","2","7","7","5","1","5","5","3","8","18.3","30","0.3","0.25","0.266666667","2.5","0.769230769","0.833333333","0.256410256","0.666666667","0.205128205","0.858333333","0.264102564","33.33333333","43.71584699","30.76923077","2.849002849","9.259259259","7.597340931","24.69135802","9.781576448","31.79012346","17.37891738","56.48148148"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00005","","","","39","19","1","5","7","19","19","32","38","5.3","10.5","16","1","1","1","3","3","3","7","1","15.8","31.8","70","0.165625","0.276315789","0.225714286","3.684210526","1.794871795","1.684210526","0.820512821","0.831578947","0.405128205","0.842105263","0.41025641","45.71428571","49.68553459","48.71794872","5.033238367","10.33138402","15.00474834","30.79922027","15.19468186","31.18908382","30.1994302","61.98830409"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00006","","","","39","29","3","5","5","29","29","40","51","11","14","14.5","6","3","5","3","1","5","5","3","25","39.5","91","0.275","0.274509804","0.274725275","3.137931034","2.333333333","1.379310345","1.025641026","0.862068966","0.641025641","0.5","0.371794872","43.95604396","63.29113924","74.35897436","10.44634378","14.04853129","23.74169041","31.9284802","13.77018044","18.51851852","37.51187085","50.44699872"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00007","","","","39","35","1","3","5","31","31","25","39","6.7","7","11","2","5","5","5","1","5","5","3","13.7","24.7","64","0.268","0.179487179","0.2140625","2.064516129","1.641025641","0.806451613","0.641025641","0.441935484","0.351282051","0.35483871","0.282051282","39.0625","55.46558704","79.48717949","6.362773029","8.004778973","13.01044634","16.36798088","10.44634378","13.14217443","23.45679012","29.51015532"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00008","","","","39","20","3","7","5","13","0","0","0","0","0","5","","","","","","","","","0","5","0","","","","0","0","0","0","0","0","0.384615385","0.128205128","","0","33.33333333","0","0","0","0","4.748338082","14.24501425","4.748338082","14.24501425"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00009","","","","39","18","1","5","5","18","18","24","36","5","7.7","10","2","3","5","5","1","5","5","3","12.7","22.7","60","0.208333333","0.213888889","0.211666667","3.333333333","1.538461538","1.333333333","0.615384615","0.705555556","0.325641026","0.555555556","0.256410256","40","55.94713656","46.15384615","4.748338082","10.28806584","12.06077873","26.13168724","9.496676163","20.57613169","21.55745489","46.70781893"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00010","","","","39","33","3","5","5","33","33","44","67","11","17","21.5","6","3","5","5","1","5","5","3","28","49.5","111","0.25","0.253731343","0.252252252","3.363636364","2.846153846","1.333333333","1.128205128","0.848484848","0.717948718","0.651515152","0.551282051","39.63963964","56.56565657","84.61538462","10.44634378","12.34567901","26.59069326","31.42536476","20.41785375","24.1301908","47.00854701","55.55555556"
