"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00001","","","","39","30","1","1","5","15","15","0","14","0","2","3","5","7","7","9","7.23","2","5","14","","0.142857143","0.142857143","0.933333333","0.358974359","0","0","0.133333333","0.051282051","0.2","0.076923077","0","40","38.46153846","0","0","1.899335233","4.938271605","2.849002849","7.407407407","4.748338082","12.34567901"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00002","","","","39","19","1","1","3","19","19","0","2","0","0.2","2","6","5","5","9","","0.2","2.2","2","","0.1","0.1","0.105263158","0.051282051","0","0","0.010526316","0.005128205","0.105263158","0.051282051","0","9.090909091","48.71794872","0","0","0.189933523","0.389863548","1.899335233","3.898635478","2.089268756","4.288499025"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00003","","","","39","29","1","1","9","24","24","0","62","0","11","8","8","5","5","9","","11","19","62","","0.177419355","0.177419355","2.583333333","1.58974359","0","0","0.458333333","0.282051282","0.333333333","0.205128205","0","57.89473684","61.53846154","0","0","10.44634378","16.97530864","7.597340931","12.34567901","18.04368471","29.32098765"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00004","","","","39","32","1","3","5","16","16","0","17","0","1.5","3","4","5","5","9","10.5","1.5","4.5","17","","0.088235294","0.088235294","1.0625","0.435897436","0","0","0.09375","0.038461538","0.1875","0.076923077","0","33.33333333","41.02564103","0","0","1.424501425","3.472222222","2.849002849","6.944444444","4.273504274","10.41666667"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00005","","","","39","30","1","1","5","14","14","0","34","0","7.4","1","4","5","5","9","6.12","7.4","8.4","34","","0.217647059","0.217647059","2.428571429","0.871794872","0","0","0.528571429","0.18974359","0.071428571","0.025641026","0","88.0952381","35.8974359","0","0","7.027540361","19.57671958","0.949667616","2.645502646","7.977207977","22.22222222"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00006","","","","39","22","1","1","7","22","22","0","2","0","0.2","10","6","7","7","9","","0.2","10.2","2","","0.1","0.1","0.090909091","0.051282051","0","0","0.009090909","0.005128205","0.454545455","0.256410256","0","1.960784314","56.41025641","0","0","0.189933523","0.336700337","9.496676163","16.83501684","9.686609687","17.17171717"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00007","","","","39","18","1","1","3","1","1","0","2","0","0.2","0.5","2","7","7","9","6.12","0.2","0.7","2","","0.1","0.1","2","0.051282051","0","0","0.2","0.005128205","0.5","0.012820513","0","28.57142857","2.564102564","0","0","0.189933523","7.407407407","0.474833808","18.51851852","0.664767331","25.92592593"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00008","","","","39","22","1","1","5","20","20","0","50","0","12.5","16","6","3","3","7","7.23","12.5","28.5","50","","0.25","0.25","2.5","1.282051282","0","0","0.625","0.320512821","0.8","0.41025641","0","43.85964912","51.28205128","0","0","11.8708452","23.14814815","15.19468186","29.62962963","27.06552707","52.77777778"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00009","","","","39","34","1","1","5","22","22","0","15","0","3.5","9","5","7","5","9","7.23","3.5","12.5","15","","0.233333333","0.233333333","0.681818182","0.384615385","0","0","0.159090909","0.08974359","0.409090909","0.230769231","0","28","56.41025641","0","0","3.323836657","5.892255892","8.547008547","15.15151515","11.8708452","21.04377104"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00010","","","","39","26","1","1","7","26","26","0","14","0","4.5","28","1","5","5","9","0.02","4.5","32.5","14","","0.321428571","0.321428571","0.538461538","0.358974359","0","0","0.173076923","0.115384615","1.076923077","0.717948718","0","13.84615385","66.66666667","0","0","4.273504274","6.41025641","26.59069326","39.88603989","30.86419753","46.2962963"
