"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00001","","","","39","32","1","1","5","29","26","27","34","6.5","5.9","11.2","6","3","3","1","12.4","23.6","61","0.240740741","0.173529412","0.203278689","2.103448276","1.564102564","0.931034483","0.692307692","0.427586207","0.317948718","0.386206897","0.287179487","44.26229508","52.54237288","74.35897436","6.172839506","8.301404853","11.77587844","15.83652618","10.6362773","14.30395913","22.41215575","30.14048531"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00002","","","","39","30","1","1","5","27","27","14","23","3.3","5.5","10.3","2","3","3","1","8.8","19.1","37","0.235714286","0.239130435","0.237837838","1.37037037","0.948717949","0.518518519","0.358974359","0.325925926","0.225641026","0.381481481","0.264102564","37.83783784","46.07329843","69.23076923","3.133903134","4.526748971","8.357075024","12.07133059","9.781576448","14.12894376","18.13865147","26.20027435"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00003","","","","39","28","1","1","5","25","25","32","41","7.7","8","9.5","5","3","3","1","15.7","25.2","73","0.240625","0.195121951","0.215068493","2.92","1.871794872","1.28","0.820512821","0.628","0.402564103","0.38","0.243589744","43.83561644","62.3015873","64.1025641","7.312440646","11.40740741","14.90978158","23.25925926","9.021842355","14.07407407","23.93162393","37.33333333"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00004","","","","39","35","3","5","5","32","31","29","33","7","6.5","12","2","1","1","3","13.5","25.5","62","0.24137931","0.196969697","0.217741935","1.9375","1.58974359","0.90625","0.743589744","0.421875","0.346153846","0.375","0.307692308","46.77419355","52.94117647","82.05128205","6.647673314","8.101851852","12.82051282","15.625","11.3960114","13.88888889","24.21652422","29.51388889"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00005","","","","39","36","3","5","5","30","30","39","43","9.8","7.1","11","6","5","3","3","16.9","27.9","82","0.251282051","0.165116279","0.206097561","2.733333333","2.102564103","1.3","1","0.563333333","0.433333333","0.366666667","0.282051282","47.56097561","60.5734767","76.92307692","9.30674264","12.09876543","16.04938272","20.86419753","10.44634378","13.58024691","26.4957265","34.44444444"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00006","","","","39","34","1","3","7","30","30","17","27","4.5","5.6","7.5","6","5","5","3","10.1","17.6","44","0.264705882","0.207407407","0.229545455","1.466666667","1.128205128","0.566666667","0.435897436","0.336666667","0.258974359","0.25","0.192307692","38.63636364","57.38636364","76.92307692","4.273504274","5.555555556","9.591642925","12.4691358","7.122507123","9.259259259","16.71415005","21.72839506"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00007","","","","39","35","1","1","5","29","28","28","32","6.9","5.7","8.5","7","5","5","3","12.6","21.1","60","0.246428571","0.178125","0.21","2.068965517","1.538461538","0.965517241","0.717948718","0.434482759","0.323076923","0.293103448","0.217948718","46.66666667","59.71563981","74.35897436","6.552706553","8.812260536","11.96581197","16.09195402","8.072174739","10.85568327","20.0379867","26.94763729"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00008","","","","39","30","1","1","5","25","25","32","20","8","3.9","5.9","8","5","5","1","11.9","17.8","52","0.25","0.195","0.228846154","2.08","1.333333333","1.28","0.820512821","0.476","0.305128205","0.236","0.151282051","61.53846154","66.85393258","64.1025641","7.597340931","11.85185185","11.30104463","17.62962963","5.603038936","8.740740741","16.90408357","26.37037037"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00009","","","","39","29","1","1","5","29","28","41","23","10.3","4.5","12.5","8","3","3","1","14.8","27.3","64","0.251219512","0.195652174","0.23125","2.206896552","1.641025641","1.413793103","1.051282051","0.510344828","0.379487179","0.431034483","0.320512821","64.0625","54.21245421","74.35897436","9.781576448","13.15453384","14.05508072","18.90166028","11.8708452","15.9642401","25.92592593","34.86590038"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00010","","","","39","31","1","1","5","30","30","20","27","4.1","6.1","9.7","6","3","3","1","10.2","19.9","47","0.205","0.225925926","0.217021277","1.566666667","1.205128205","0.666666667","0.512820513","0.34","0.261538462","0.323333333","0.248717949","42.55319149","51.25628141","76.92307692","3.893637227","5.061728395","9.686609687","12.59259259","9.211775878","11.97530864","18.89838557","24.56790123"
