"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00019","","","","90","9","1","3","0","0.5","0","1.9","1","5","0.5","2.4","3","0.166666667","","0.166666667","0.333333333","0.033333333","0.333333333","0.033333333","0.055555556","0.005555556","0.211111111","0.021111111","100","20.83333333","10","0.205761317","2.057613169","0.205761317","2.057613169","0.781893004","7.818930041","0.987654321","9.87654321"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00065","","","","90","6","3","3","0","0.2","0","3.8","1","7","0.2","4","3","0.066666667","","0.066666667","0.5","0.033333333","0.5","0.033333333","0.033333333","0.002222222","0.633333333","0.042222222","100","5","6.666666667","0.082304527","1.234567901","0.082304527","1.234567901","1.563786008","23.45679012","1.646090535","24.69135802"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00021","","","","90","42","38","43","70","5.9","3.3","48.8","3","3","9.2","58","113","0.137209302","0.047142857","0.081415929","2.69047619","1.255555556","1.023809524","0.477777778","0.219047619","0.102222222","1.161904762","0.542222222","38.05309735","15.86206897","46.66666667","2.427983539","5.202821869","3.78600823","8.11287478","20.08230453","43.0335097","23.86831276","51.14638448"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00040","","","","90","19","12","8","28","0.7","0.6","11.2","1","7","1.3","12.5","36","0.0875","0.021428571","0.036111111","1.894736842","0.4","0.421052632","0.088888889","0.068421053","0.014444444","0.589473684","0.124444444","22.22222222","10.4","21.11111111","0.288065844","1.364522417","0.534979424","2.53411306","4.609053498","21.83235867","5.144032922","24.36647173"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00025","","","","90","26","5","6","9","0.7","0.3","22.2","1","5","1","23.2","15","0.116666667","0.033333333","0.066666667","0.576923077","0.166666667","0.230769231","0.066666667","0.038461538","0.011111111","0.853846154","0.246666667","40","4.310344828","28.88888889","0.288065844","0.997150997","0.411522634","1.424501425","9.135802469","31.62393162","9.547325103","33.04843305"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00063","","","","90","26","6","6","17","0.4","0.6","14.3","1","7","1","15.3","23","0.066666667","0.035294118","0.043478261","0.884615385","0.255555556","0.230769231","0.066666667","0.038461538","0.011111111","0.55","0.158888889","26.08695652","6.535947712","28.88888889","0.164609053","0.56980057","0.411522634","1.424501425","5.884773663","20.37037037","6.296296296","21.79487179"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00023","","","","90","18","5","6","5","1.5","0.1","7.2","1","3","1.6","8.8","11","0.25","0.02","0.145454545","0.611111111","0.122222222","0.333333333","0.066666667","0.088888889","0.017777778","0.4","0.08","54.54545455","18.18181818","20","0.617283951","3.086419753","0.658436214","3.29218107","2.962962963","14.81481481","3.621399177","18.10699588"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00036","","","","90","31","19","14","12","2.2","0.5","16.8","1","3","2.7","19.5","26","0.157142857","0.041666667","0.103846154","0.838709677","0.288888889","0.451612903","0.155555556","0.087096774","0.03","0.541935484","0.186666667","53.84615385","13.84615385","34.44444444","0.905349794","2.628434886","1.111111111","3.225806452","6.913580247","20.07168459","8.024691358","23.29749104"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00014","","","","90","36","4","4","3","0.8","0.2","40.6","1","3","1","41.6","7","0.2","0.066666667","0.142857143","0.194444444","0.077777778","0.111111111","0.044444444","0.027777778","0.011111111","1.127777778","0.451111111","57.14285714","2.403846154","40","0.329218107","0.823045267","0.411522634","1.028806584","16.70781893","41.76954733","17.11934156","42.79835391"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00054","","","","90","43","10","12","14","2.6","0.9","23","1","3","3.5","26.5","26","0.216666667","0.064285714","0.134615385","0.604651163","0.288888889","0.279069767","0.133333333","0.081395349","0.038888889","0.534883721","0.255555556","46.15384615","13.20754717","47.77777778","1.069958848","2.239448751","1.440329218","3.01464255","9.465020576","19.81050818","10.90534979","22.82515073"
