"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00001","","","","26","23","1","1","6","17","17","39","36","5","11.5","5.5","3","3","1","2","4","5","6","3.36","1.79","1.11","72.65","47.043","14.37","59.75","3.26","4.3","8.12","16.5","22","75","0.128205128","0.319444444","0.22","4.411764706","2.884615385","2.294117647","1.5","0.970588235","0.634615385","0.323529412","0.211538462","52","75","65.38461538","7.122507123","10.89324619","23.5042735","35.94771242","7.834757835","11.98257081","31.33903134","47.93028322"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00002","","","","26","25","6","6","6","20","16","43","28","5.1","1","3","3","3","1","1","3","5","3","2.66","1.6","0.91","53.43","21.622","12.39","51.35","7.7","10.65","10.34","6.1","9.1","71","0.118604651","0.035714286","0.085915493","3.55","2.730769231","2.15","1.653846154","0.305","0.234615385","0.15","0.115384615","60.56338028","67.03296703","76.92307692","7.264957265","9.444444444","8.689458689","11.2962963","4.273504274","5.555555556","12.96296296","16.85185185"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00003","","","","26","25","4","4","5","24","24","46","146","5.6","7","1.5","3","4","1","1","8","5","3","","0","0","0","0","14.37","","0","0","0","12.6","14.1","192","0.12173913","0.047945205","0.065625","8","7.384615385","1.916666667","1.769230769","0.525","0.484615385","0.0625","0.057692308","23.95833333","89.36170213","92.30769231","7.977207977","8.641975309","17.94871795","19.44444444","2.136752137","2.314814815","20.08547009","21.75925926"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00004","","","","26","24","7","7","4","20","20","29","37","9","4","6.5","5","4","1","4","3","7","7","","0","0","0","0","1.38","","0","0","0","13","19.5","66","0.310344828","0.108108108","0.196969697","3.3","2.538461538","1.45","1.115384615","0.65","0.5","0.325","0.25","43.93939394","66.66666667","76.92307692","12.82051282","16.66666667","18.51851852","24.07407407","9.259259259","12.03703704","27.77777778","36.11111111"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00005","","","","26","20","2","2","5","14","11","29","17","8.2","1.2","4.5","3","3","1","1","9","5","1","2.98","1.35","0.88","52.42","21.291","12.39","62.03","2.75","3.81","10.67","9.4","13.9","46","0.282758621","0.070588235","0.204347826","3.285714286","1.769230769","2.071428571","1.115384615","0.671428571","0.361538462","0.321428571","0.173076923","63.04347826","67.62589928","53.84615385","11.68091168","21.69312169","13.39031339","24.86772487","6.41025641","11.9047619","19.8005698","36.77248677"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00006","","","","26","23","3","3","7","17","15","79","61","7.5","3","4.6","2","3","3","1","3","3","7","2.8","1.53","0.91","47.72","28.758","14.37","56.63","4.71","6.43","11.62","10.5","15.1","140","0.094936709","0.049180328","0.075","8.235294118","5.384615385","4.647058824","3.038461538","0.617647059","0.403846154","0.270588235","0.176923077","56.42857143","69.53642384","65.38461538","10.68376068","16.33986928","14.95726496","22.87581699","6.552706553","10.02178649","21.50997151","32.89760349"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00007","","","","26","21","2","2","6","16","15","11","40","1.9","1.8","3","4","3","1","3","9","5","2","3.5","1.81","1.26","80.3","43.225","14.37","53.13","2.56","3.77","16.17","3.7","6.7","51","0.172727273","0.045","0.07254902","3.1875","1.961538462","0.6875","0.423076923","0.23125","0.142307692","0.1875","0.115384615","21.56862745","55.2238806","61.53846154","2.706552707","4.398148148","5.270655271","8.564814815","4.273504274","6.944444444","9.544159544","15.50925926"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00008","","","","26","17","1","1","5","14","14","15","27","2.9","1.1","1","3","4","1","1","5","5","5","4.1","1.43","0.86","35.64","19.635","12.39","67.75","1.61","2.47","8.39","4","5","42","0.193333333","0.040740741","0.095238095","3","1.615384615","1.071428571","0.576923077","0.285714286","0.153846154","0.071428571","0.038461538","35.71428571","80","53.84615385","4.131054131","7.671957672","5.698005698","10.58201058","1.424501425","2.645502646","7.122507123","13.22751323"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00009","","","","26","10","6","6","4","9","7","10","10","1.3","0.3","1.5","3","4","2","2","5","7","5","4.38","1.84","1.17","57.86","30.14","11.03","59.75","2.58","3.93","11.76","1.6","3.1","20","0.13","0.03","0.08","2.222222222","0.769230769","1.111111111","0.384615385","0.177777778","0.061538462","0.166666667","0.057692308","50","51.61290323","34.61538462","1.851851852","5.349794239","2.279202279","6.58436214","2.136752137","6.172839506","4.415954416","12.75720165"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00010","","","","26","21","6","6","5","15","14","12","27","2.2","1.9","3.5","4","4","1","4","8","7","3","3.7","1.67","1.03","87.02","28.683","10.5","61.29","3.06","4.44","9.81","4.1","7.6","39","0.183333333","0.07037037","0.105128205","2.6","1.5","0.8","0.461538462","0.273333333","0.157692308","0.233333333","0.134615385","30.76923077","53.94736842","57.69230769","3.133903134","5.432098765","5.84045584","10.12345679","4.985754986","8.641975309","10.82621083","18.7654321"
