"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00014","","","","90","31","31","34","70","4.6","4.4","22.4","1","1","28.3","1.63","66.32","1.14","7.88","9","31.4","104","0.135294118","0.062857143","0.086538462","3.35483871","1.155555556","1.096774194","0.377777778","0.290322581","0.1","0.722580645","0.248888889","32.69230769","28.66242038","34.44444444","2.547","1.893004115","5.495818399","3.703703704","10.75268817","9.218106996","26.76224612","1.048148148","3.043010753","12.9218107","37.51493429"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00064","","","","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00022","","","","90","59","59","75","98","29.5","10.7","75.3","1","1","31.85","1.55","50.96","0.91","4.38","40.2","115.5","173","0.393333333","0.109183673","0.232369942","2.93220339","1.922222222","1.271186441","0.833333333","0.681355932","0.446666667","1.276271186","0.836666667","43.35260116","34.80519481","65.55555556","12.8037","12.1399177","18.51851852","16.54320988","25.2354049","30.98765432","47.2693032","5.269012346","8.03747646","47.5308642","72.5047081"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00056","","","","90","18","13","9","19","0.7","0.5","13.2","1","3","33.56","1.31","66.69","0.98","7.21","1.2","14.4","28","0.077777778","0.026315789","0.042857143","1.555555556","0.311111111","0.5","0.1","0.066666667","0.013333333","0.733333333","0.146666667","32.14285714","8.333333333","20","0.40272","0.288065844","1.440329218","0.49382716","2.469135802","5.432098765","27.16049383","0.165728395","0.828641975","5.925925926","29.62962963"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00033","","","","90","17","17","20","38","5.1","1.7","20.3","5","3","36.57","1.48","63.44","0.95","6.54","6.8","27.1","58","0.255","0.044736842","0.117241379","3.411764706","0.644444444","1.176470588","0.222222222","0.4","0.075555556","1.194117647","0.225555556","34.48275862","25.09225092","18.88888889","2.48676","2.098765432","11.11111111","2.798353909","14.81481481","8.353909465","44.22657952","1.023358025","5.417777778","11.15226337","59.04139434"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00046","","","","90","31","28","21","136","3.3","7","35.7","1","5","35.57","1.43","67.88","0.93","2.45","10.3","46","157","0.157142857","0.051470588","0.065605096","5.064516129","1.744444444","0.677419355","0.233333333","0.332258065","0.114444444","1.151612903","0.396666667","13.37579618","22.39130435","34.44444444","3.66371","1.358024691","3.94265233","4.238683128","12.30585424","14.69135802","42.65232975","1.507699588","4.377192354","18.93004115","54.95818399"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00004","","","","90","35","32","45","76","10","4","38.2","1","1","28.92","1.62","60.49","0.96","11.26","14","52.2","121","0.222222222","0.052631579","0.115702479","3.457142857","1.344444444","1.285714286","0.5","0.4","0.155555556","1.091428571","0.424444444","37.19008264","26.81992337","38.88888889","4.0488","4.115226337","10.58201058","5.761316872","14.81481481","15.72016461","40.42328042","1.66617284","4.284444444","21.48148148","55.23809524"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00035","","","","90","40","35","97","32","9.2","6.1","59.1","1","3","28.45","1.48","63.08","0.92","7.26","15.3","74.4","129","0.094845361","0.190625","0.118604651","3.225","1.433333333","2.425","1.077777778","0.3825","0.17","1.4775","0.656666667","75.19379845","20.56451613","44.44444444","4.35285","3.78600823","8.518518519","6.296296296","14.16666667","24.32098765","54.72222222","1.791296296","4.030416667","30.61728395","68.88888889"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00016","","","","90","51","13","0","25","0","1.5","73.2","3","5","","","","","","1.5","74.7","25","","0.06","0.06","0.490196078","0.277777778","0","0","0.029411765","0.016666667","1.435294118","0.813333333","0","2.008032129","56.66666667","","0","0","0.617283951","1.089324619","30.12345679","53.15904139","","","30.74074074","54.24836601"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00050","","","","90","22","13","22","4","20","0.2","32.8","1","5","38.63","1.03","72.42","0.75","","20.2","53","26","0.909090909","0.05","0.776923077","1.181818182","0.288888889","1","0.244444444","0.918181818","0.224444444","1.490909091","0.364444444","84.61538462","38.11320755","24.44444444","7.80326","8.230452675","33.67003367","8.312757202","34.00673401","13.49794239","55.21885522","3.211218107","13.13680135","21.81069959","89.22558923"
