"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00001","","","","39","38","1","1","5","35","38","67","10.5","14.5","24.5","4","3","3","1","11.03","25","49.5","105","0.276315789","0.21641791","0.238095238","3","2.692307692","1.085714286","0.974358974","0.714285714","0.641025641","0.7","0.628205128","36.19047619","50.50505051","89.74358974","9.971509972","11.11111111","23.74169041","26.45502646","23.2668566","25.92592593","47.00854701","52.38095238"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00002","","","","39","39","1","3","7","38","32","50","8.5","11","37.5","4","3","3","1","11.03","19.5","57","82","0.265625","0.22","0.237804878","2.157894737","2.102564103","0.842105263","0.820512821","0.513157895","0.5","0.986842105","0.961538462","39.02439024","34.21052632","97.43589744","8.072174739","8.28460039","18.51851852","19.00584795","35.61253561","36.5497076","54.13105413","55.55555556"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00003","","","","39","34","1","1","5","34","19","32","5.5","7","27","8","5","5","3","","12.5","39.5","51","0.289473684","0.21875","0.245098039","1.5","1.307692308","0.558823529","0.487179487","0.367647059","0.320512821","0.794117647","0.692307692","37.25490196","31.64556962","87.17948718","5.22317189","5.991285403","11.8708452","13.61655773","25.64102564","29.41176471","37.51187085","43.02832244"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00004","","","","39","36","1","1","5","35","27","47","6.7","8.7","24","2","3","3","3","10.5","15.4","39.4","74","0.248148148","0.185106383","0.208108108","2.114285714","1.897435897","0.771428571","0.692307692","0.44","0.394871795","0.685714286","0.615384615","36.48648649","39.08629442","89.74358974","6.362773029","7.08994709","14.62488129","16.2962963","22.79202279","25.3968254","37.41690408","41.69312169"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00005","","","","39","38","1","1","5","38","42","75","11.7","15.7","23.3","4","3","3","1","12.39","27.4","50.7","117","0.278571429","0.209333333","0.234188034","3.078947368","3","1.105263158","1.076923077","0.721052632","0.702564103","0.613157895","0.597435897","35.8974359","54.0433925","97.43589744","11.11111111","11.40350877","26.02089269","26.70565302","22.12725546","22.70955166","48.14814815","49.41520468"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00006","","","","39","36","1","1","5","35","19","30","5","6.5","22.8","8","5","5","3","","11.5","34.3","49","0.263157895","0.216666667","0.234693878","1.4","1.256410256","0.542857143","0.487179487","0.328571429","0.294871795","0.651428571","0.584615385","38.7755102","33.52769679","89.74358974","4.748338082","5.291005291","10.92117759","12.16931217","21.65242165","24.12698413","32.57359924","36.2962963"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00007","","","","39","37","1","1","5","37","43","83","12","17.9","24.3","8","3","3","3","12.39","29.9","54.2","126","0.279069767","0.215662651","0.237301587","3.405405405","3.230769231","1.162162162","1.102564103","0.808108108","0.766666667","0.656756757","0.623076923","34.12698413","55.16605166","94.87179487","11.3960114","12.01201201","28.39506173","29.92992993","23.07692308","24.32432432","51.47198481","54.25425425"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00008","","","","39","36","1","1","5","35","23","41","6","8.9","23","2","3","3","1","10.5","14.9","37.9","64","0.260869565","0.217073171","0.2328125","1.828571429","1.641025641","0.657142857","0.58974359","0.425714286","0.382051282","0.657142857","0.58974359","35.9375","39.31398417","89.74358974","5.698005698","6.349206349","14.15004748","15.76719577","21.84235518","24.33862434","35.99240266","40.10582011"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00009","","","","39","35","1","1","7","33","22","37","6","8.7","19.9","7","5","5","1","11.03","14.7","34.6","59","0.272727273","0.235135135","0.249152542","1.787878788","1.512820513","0.666666667","0.564102564","0.445454545","0.376923077","0.603030303","0.51025641","37.28813559","42.48554913","84.61538462","5.698005698","6.734006734","13.96011396","16.4983165","18.89838557","22.33445567","32.85849953","38.83277217"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00010","","","","39","33","1","1","7","30","14","22","4","5.7","21.3","2","5","5","1","10.5","9.7","31","36","0.285714286","0.259090909","0.269444444","1.2","0.923076923","0.466666667","0.358974359","0.323333333","0.248717949","0.71","0.546153846","38.88888889","31.29032258","76.92307692","3.798670465","4.938271605","9.211775878","11.97530864","20.22792023","26.2962963","29.43969611","38.27160494"
