"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-AT04","","","","","","","","","MZP2018GUR-AT04-00001","","","","39","38","1","1","5","37","23","37","6.5","9.5","23","8","3","3","1","16","39","60","0.282608696","0.256756757","0.266666667","1.621621622","1.538461538","0.621621622","0.58974359","0.432432432","0.41025641","0.621621622","0.58974359","38.33333333","41.02564103","94.87179487","6.172839506","6.506506507","15.19468186","16.01601602","21.84235518","23.02302302","37.03703704","39.03903904"
"","","MZP2018GUR-AT04","","","","","","","","","MZP2018GUR-AT04-00002","","","","39","37","1","1","5","36","20","30","5.5","7","31.5","8","3","3","1","12.5","44","50","0.275","0.233333333","0.25","1.388888889","1.282051282","0.555555556","0.512820513","0.347222222","0.320512821","0.875","0.807692308","40","28.40909091","92.30769231","5.22317189","5.658436214","11.8708452","12.8600823","29.91452991","32.40740741","41.78537512","45.26748971"
"","","MZP2018GUR-AT04","","","","","","","","","MZP2018GUR-AT04-00003","","","","39","36","1","5","5","35","24","38","6.6","9.7","24.1","6","1","1","1","16.3","40.4","62","0.275","0.255263158","0.262903226","1.771428571","1.58974359","0.685714286","0.615384615","0.465714286","0.417948718","0.688571429","0.617948718","38.70967742","40.34653465","89.74358974","6.267806268","6.984126984","15.47958215","17.24867725","22.88698955","25.5026455","38.3665717","42.75132275"
"","","MZP2018GUR-AT04","","","","","","","","","MZP2018GUR-AT04-00004","","","","39","35","1","1","5","34","14","21","4","5.7","14.3","6","5","5","5","9.7","24","35","0.285714286","0.271428571","0.277142857","1.029411765","0.897435897","0.411764706","0.358974359","0.285294118","0.248717949","0.420588235","0.366666667","40","40.41666667","87.17948718","3.798670465","4.357298475","9.211775878","10.5664488","13.58024691","15.57734205","22.79202279","26.14379085"
"","","MZP2018GUR-AT04","","","","","","","","","MZP2018GUR-AT04-00005","","","","39","32","1","1","5","31","27","40","9","10.5","29","8","3","3","1","19.5","48.5","67","0.333333333","0.2625","0.291044776","2.161290323","1.717948718","0.870967742","0.692307692","0.629032258","0.5","0.935483871","0.743589744","40.29850746","40.20618557","79.48717949","8.547008547","10.75268817","18.51851852","23.29749104","27.54036087","34.64755078","46.05887939","57.94504182"
"","","MZP2018GUR-AT04","","","","","","","","","MZP2018GUR-AT04-00006","","","","39","30","1","1","7","30","15","27","5","6","19.1","8","5","5","3","11","30.1","42","0.333333333","0.222222222","0.261904762","1.4","1.076923077","0.5","0.384615385","0.366666667","0.282051282","0.636666667","0.48974359","35.71428571","36.5448505","76.92307692","4.748338082","6.172839506","10.44634378","13.58024691","18.13865147","23.58024691","28.58499525","37.16049383"
"","","MZP2018GUR-AT04","","","","","","","","","MZP2018GUR-AT04-00007","","","","39","30","1","1","5","30","17","24","5.2","6.1","22","6","3","3","1","11.3","33.3","41","0.305882353","0.254166667","0.275609756","1.366666667","1.051282051","0.566666667","0.435897436","0.376666667","0.28974359","0.733333333","0.564102564","41.46341463","33.93393393","76.92307692","4.938271605","6.419753086","10.73124406","13.95061728","20.89268756","27.16049383","31.62393162","41.11111111"
"","","MZP2018GUR-AT04","","","","","","","","","MZP2018GUR-AT04-00008","","","","39","29","1","3","5","29","23","37","6","9","19.5","6","3","3","1","15","34.5","60","0.260869565","0.243243243","0.25","2.068965517","1.538461538","0.793103448","0.58974359","0.517241379","0.384615385","0.672413793","0.5","38.33333333","43.47826087","74.35897436","5.698005698","7.662835249","14.24501425","19.15708812","18.51851852","24.90421456","32.76353276","44.06130268"
"","","MZP2018GUR-AT04","","","","","","","","","MZP2018GUR-AT04-00009","","","","39","31","1","3","5","30","11","19","3","5","14.2","6","5","7","1","8","22.2","30","0.272727273","0.263157895","0.266666667","1","0.769230769","0.366666667","0.282051282","0.266666667","0.205128205","0.473333333","0.364102564","36.66666667","36.03603604","76.92307692","2.849002849","3.703703704","7.597340931","9.87654321","13.48528015","17.5308642","21.08262108","27.40740741"
"","","MZP2018GUR-AT04","","","","","","","","","MZP2018GUR-AT04-00010","","","","39","32","1","1","5","31","23","38","6","8.5","32","6","3","3","1","14.5","46.5","61","0.260869565","0.223684211","0.237704918","1.967741935","1.564102564","0.741935484","0.58974359","0.467741935","0.371794872","1.032258065","0.820512821","37.70491803","31.1827957","79.48717949","5.698005698","7.168458781","13.77018044","17.32377539","30.38936372","38.23178017","44.15954416","55.55555556"
