"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00001","","","","12","5","3","1","0","4","0","0.07","1.4","1","9","7","0.07","1.47","4","","0.0175","0.0175","1.333333333","4.761904762","25","0","0.216049383","4.320987654","0.333333333","0","0","0.023333333","0.005833333","0.466666667","0.116666667","0","0","0.864197531","17.28395062","4.537037037","18.14814815"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00002","","","","12","7","5","4","15","4","5.8","0.18","2.6","3","5","7","5.98","8.58","19","0.386666667","0.045","0.314736842","3.8","69.6969697","41.66666667","17.90123457","18.45679012","8.024691358","1.583333333","3","1.25","1.196","0.498333333","0.52","0.216666667","78.94736842","42.96296296","44.2962963","19.25925926","26.48148148","63.55555556"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00003","","","","12","7","5","2","3","1","0.6","0.03","5.6","1","3","3","0.63","6.23","4","0.2","0.03","0.1575","0.8","10.11235955","41.66666667","1.851851852","1.944444444","17.28395062","0.333333333","0.6","0.25","0.126","0.0525","1.12","0.466666667","75","4.444444444","4.666666667","41.48148148","19.22839506","46.14814815"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00004","","","","12","7","5","4","21","7","8.7","0.4","1.2","3","3","5","9.1","10.3","28","0.414285714","0.057142857","0.325","5.6","88.34951456","41.66666667","26.85185185","28.08641975","3.703703704","2.333333333","4.2","1.75","1.82","0.758333333","0.24","0.1","75","64.44444444","67.40740741","8.888888889","31.79012346","76.2962963"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00005","","","","12","3","1","1","0","2","0","0.2","3.2","1","5","7","0.2","3.4","2","","0.1","0.1","2","5.882352941","8.333333333","0","0.617283951","9.87654321","0.166666667","0","0","0.2","0.016666667","3.2","0.266666667","0","0","7.407407407","118.5185185","10.49382716","125.9259259"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00006","","","","12","7","5","5","7","21","1.8","0.8","1.4","1","5","7","2.6","4","28","0.257142857","0.038095238","0.092857143","5.6","65","41.66666667","5.555555556","8.024691358","4.320987654","2.333333333","1.4","0.583333333","0.52","0.216666667","0.28","0.116666667","25","13.33333333","19.25925926","10.37037037","12.34567901","29.62962963"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00007","","","","12","4","3","3","6","3","1.4","0.2","1.6","1","3","3","1.6","3.2","9","0.233333333","0.066666667","0.177777778","3","50","25","4.320987654","4.938271605","4.938271605","0.75","2","0.5","0.533333333","0.133333333","0.533333333","0.133333333","66.66666667","17.28395062","19.75308642","19.75308642","9.87654321","39.50617284"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00008","","","","12","3","2","2","7","12","1.7","0.6","1.6","1","3","3","2.3","3.9","19","0.242857143","0.05","0.121052632","9.5","58.97435897","16.66666667","5.24691358","7.098765432","4.938271605","1.583333333","3.5","0.583333333","1.15","0.191666667","0.8","0.133333333","36.84210526","31.48148148","42.59259259","29.62962963","12.03703704","72.22222222"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00009","","","","12","6","4","4","8","7","3","0.4","4.8","3","5","3","3.4","8.2","15","0.375","0.057142857","0.226666667","3.75","41.46341463","33.33333333","9.259259259","10.49382716","14.81481481","1.25","2","0.666666667","0.85","0.283333333","1.2","0.4","53.33333333","27.77777778","31.48148148","44.44444444","25.30864198","75.92592593"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00010","","","","12","8","6","5","16","6","3.3","0.2","3","1","1","1","3.5","6.5","22","0.20625","0.033333333","0.159090909","3.666666667","53.84615385","50","10.18518519","10.80246914","9.259259259","1.833333333","2.666666667","1.333333333","0.583333333","0.291666667","0.5","0.25","72.72727273","20.37037037","21.60493827","18.51851852","20.0617284","40.12345679"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00011","","","","12","8","6","6","20","8","4.6","0.4","5.2","3","1","3","5","10.2","28","0.23","0.05","0.178571429","4.666666667","49.01960784","50","14.19753086","15.43209877","16.04938272","2.333333333","3.333333333","1.666666667","0.833333333","0.416666667","0.866666667","0.433333333","71.42857143","28.39506173","30.86419753","32.09876543","31.48148148","62.96296296"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00012","","","","12","5","3","1","9","3","2.6","0.2","3.8","1","1","1","2.8","6.6","12","0.288888889","0.066666667","0.233333333","4","42.42424242","25","8.024691358","8.641975309","11.72839506","1","3","0.75","0.933333333","0.233333333","1.266666667","0.316666667","75","32.09876543","34.56790123","46.91358025","20.37037037","81.48148148"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00013","","","","12","6","5","4","15","6","4.5","0.3","4.6","3","1","1","4.8","9.4","21","0.3","0.05","0.228571429","4.2","51.06382979","41.66666667","13.88888889","14.81481481","14.19753086","1.75","3","1.25","0.96","0.4","0.92","0.383333333","71.42857143","33.33333333","35.55555556","34.07407407","29.01234568","69.62962963"
