"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_mid_season_drought","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00001","","","","84","47","1","7","45","22","10","140","1.4","5.2","39.4","5","5","6.6","46","0.14","0.222222222","0.119047619","0.146666667","0.078571429","0.875555556","0.469047619","14.34782609","53.57142857","0.617283951","1.152263374","2.91005291","5.432098765","17.37213404","32.42798354","20.28218695","37.8600823","1","150","0.037142857","0.044","3.333333333","1.785714286","6.666666667"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00002","","","","84","65","1","7","40","39","108","120","30.8","7.2","44.4","5","5","38","82.4","0.285185185","2.7","1.285714286","0.95","0.452380952","1.11","0.528571429","46.11650485","47.61904762","13.58024691","28.51851852","16.75485009","35.18518519","19.57671958","41.11111111","36.33156966","76.2962963","1","228","0.06","0.166666667","5.7","2.714285714","47.36842105"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00003","","","","84","81","1","9","45","32","66","90","7.4","6.2","47","5","1","13.6","60.6","0.112121212","1.466666667","0.785714286","0.302222222","0.161904762","1.044444444","0.55952381","22.44224422","53.57142857","3.262786596","6.090534979","5.996472663","11.19341564","20.72310406","38.68312757","26.71957672","49.87654321","1","156","0.068888889","0.087179487","3.466666667","1.857142857","42.30769231"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00004","","","","84","53","1","7","35","29","98","74","19.8","5.4","35.2","5","3","25.2","60.4","0.202040816","2.8","1.166666667","0.72","0.3","1.005714286","0.419047619","41.7218543","41.66666667","8.73015873","20.95238095","11.11111111","26.66666667","15.52028219","37.24867725","26.6313933","63.91534392","1","172","0.072972973","0.146511628","4.914285714","2.047619048","56.97674419"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00005","","","","84","64","2","7","40","26","46","88","4.6","3.6","28.4","3","3","8.2","36.6","0.1","1.15","0.547619048","0.205","0.097619048","0.71","0.338095238","22.40437158","47.61904762","2.028218695","4.259259259","3.615520282","7.592592593","12.52204586","26.2962963","16.13756614","33.88888889","1","134","0.040909091","0.06119403","3.35","1.595238095","34.32835821"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00006","","","","84","65","2","7","51","49","140","168","32.6","6.6","57","5","1","39.2","96.2","0.232857143","2.745098039","1.666666667","0.768627451","0.466666667","1.117647059","0.678571429","40.74844075","60.71428571","14.37389771","23.67465505","17.28395062","28.46768337","25.13227513","41.39433551","42.41622575","69.86201888","1","308","0.039285714","0.127272727","6.039215686","3.666666667","45.45454545"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00007","","","","84","51","1","7","46","40","100","134","12.8","8.4","25.2","7","1","21.2","46.4","0.128","2.173913043","1.19047619","0.460869565","0.252380952","0.547826087","0.3","45.68965517","54.76190476","5.643738977","10.30595813","9.347442681","17.06924316","11.11111111","20.28985507","20.45855379","37.35909823","1","234","0.062686567","0.090598291","5.086956522","2.785714286","42.73504274"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00008","","","","84","67","1","7","30","24","78","150","9.4","6.4","51.6","3","3","15.8","67.4","0.120512821","2.6","0.928571429","0.526666667","0.188095238","1.72","0.614285714","23.4421365","35.71428571","4.144620811","11.60493827","6.9664903","19.50617284","22.75132275","63.7037037","29.71781305","83.20987654","1","228","0.042666667","0.069298246","7.6","2.714285714","34.21052632"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00009","","","","84","74","1","9","45","14","20","28","2","1","94.8","5","5","3","97.8","0.1","0.444444444","0.238095238","0.066666667","0.035714286","2.106666667","1.128571429","3.067484663","53.57142857","0.881834215","1.646090535","1.322751323","2.469135802","41.7989418","78.02469136","43.12169312","80.49382716","1","48","0.035714286","0.0625","1.066666667","0.571428571","41.66666667"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00010","","","","84","48","1","9","37","29","118","230","14.4","10","41.4","3","3","24.4","65.8","0.122033898","3.189189189","1.404761905","0.659459459","0.29047619","1.118918919","0.492857143","37.08206687","44.04761905","6.349206349","14.41441441","10.75837743","24.42442442","18.25396825","41.44144144","29.01234568","65.86586587","1","348","0.043478261","0.070114943","9.405405405","4.142857143","33.90804598"
