"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation_plus_fertilizer","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00001","","","","84","63","2","7","40","35","60","70","8.2","3","52.4","1","5","11.2","63.6","0.136666667","1.5","0.714285714","0.28","0.133333333","1.31","0.623809524","17.61006289","47.61904762","3.615520282","7.592592593","4.938271605","10.37037037","23.10405644","48.51851852","28.04232804","58.88888889","1","130","0.042857143","0.086153846","3.25","1.547619048","46.15384615"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00002","","","","84","56","1","7","56","48","180","200","18.2","7.8","66.2","1","5","26","92.2","0.101111111","3.214285714","2.142857143","0.464285714","0.30952381","1.182142857","0.788095238","28.19956616","66.66666667","8.024691358","12.03703704","11.4638448","17.1957672","29.18871252","43.78306878","40.65255732","60.97883598","1","380","0.039","0.068421053","6.785714286","4.523809524","47.36842105"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00003","","","","84","66","1","7","40","36","200","100","22.6","3.8","65.6","1","3","26.4","92","0.113","5","2.380952381","0.66","0.314285714","1.64","0.780952381","28.69565217","47.61904762","9.964726631","20.92592593","11.64021164","24.44444444","28.92416226","60.74074074","40.5643739","85.18518519","1","300","0.038","0.088","7.5","3.571428571","66.66666667"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00004","","","","84","55","1","9","46","37","150","89","25.8","6.6","84.8","1","3","32.4","117.2","0.172","3.260869565","1.785714286","0.704347826","0.385714286","1.843478261","1.00952381","27.64505119","54.76190476","11.37566138","20.77294686","14.28571429","26.08695652","37.38977072","68.27697262","51.67548501","94.36392915","1","239","0.074157303","0.135564854","5.195652174","2.845238095","62.76150628"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00005","","","","84","38","1","5","19","15","30","18","8","0.8","53.2","1","5","8.8","62","0.266666667","1.578947368","0.357142857","0.463157895","0.104761905","2.8","0.633333333","14.19354839","22.61904762","3.527336861","15.59454191","3.880070547","17.1539961","23.45679012","103.7037037","27.33686067","120.8576998","1","48","0.044444444","0.183333333","2.526315789","0.571428571","62.5"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00006","","","","84","60","1","7","41","34","68","100","10","4.4","79.6","1","7","14.4","94","0.147058824","1.658536585","0.80952381","0.351219512","0.171428571","1.941463415","0.947619048","15.31914894","48.80952381","4.409171076","9.033423668","6.349206349","13.00813008","35.09700176","71.90605239","41.44620811","84.91418248","1","168","0.044","0.085714286","4.097560976","2","40.47619048"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00007","","","","84","59","1","5","24","16","13","80","1.2","2.6","27","1","7","3.8","30.8","0.092307692","0.541666667","0.154761905","0.158333333","0.045238095","1.125","0.321428571","12.33766234","28.57142857","0.529100529","1.851851852","1.675485009","5.864197531","11.9047619","41.66666667","13.58024691","47.5308642","1","93","0.0325","0.040860215","3.875","1.107142857","13.97849462"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00008","","","","84","65","1","7","55","47","46","140","7.6","8.2","62.8","1","5","15.8","78.6","0.165217391","0.836363636","0.547619048","0.287272727","0.188095238","1.141818182","0.747619048","20.10178117","65.47619048","3.350970018","5.117845118","6.9664903","10.63973064","27.68959436","42.28956229","34.65608466","52.92929293","1","186","0.058571429","0.084946237","3.381818182","2.214285714","24.7311828"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00009","","","","84","53","3","5","28","24","27","50","2.2","1.6","75.6","1","7","3.8","79.4","0.081481481","0.964285714","0.321428571","0.135714286","0.045238095","2.7","0.9","4.785894207","33.33333333","0.970017637","2.91005291","1.675485009","5.026455026","33.33333333","100","35.00881834","105.026455","1","77","0.032","0.049350649","2.75","0.916666667","35.06493506"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00010","","","","84","71","1","5","40","30","70","50","7.6","1.8","24","1","5","9.4","33.4","0.108571429","1.75","0.833333333","0.235","0.111904762","0.6","0.285714286","28.14371257","47.61904762","3.350970018","7.037037037","4.144620811","8.703703704","10.58201058","22.22222222","14.72663139","30.92592593","1","120","0.036","0.078333333","3","1.428571429","58.33333333"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00011","","","","84","66","1","9","41","24","40","36","4.2","1.6","70.4","1","7","5.8","76.2","0.105","0.975609756","0.476190476","0.141463415","0.069047619","1.717073171","0.838095238","7.611548556","48.80952381","1.851851852","3.79403794","2.557319224","5.239385727","31.04056437","63.59530262","33.5978836","68.83468835","1","76","0.044444444","0.076315789","1.853658537","0.904761905","52.63157895"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00012","","","","84","58","1","9","46","33","78","120","8.2","4.2","43.2","1","5","12.4","55.6","0.105128205","1.695652174","0.928571429","0.269565217","0.147619048","0.939130435","0.514285714","22.30215827","54.76190476","3.615520282","6.602254428","5.467372134","9.98389694","19.04761905","34.7826087","24.51499118","44.76650564","1","198","0.035","0.062626263","4.304347826","2.357142857","39.39393939"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00013","","","","84","29","1","5","10","8","8","10","1.6","0.8","23.2","1","7","2.4","25.6","0.2","0.8","0.095238095","0.24","0.028571429","2.32","0.276190476","9.375","11.9047619","0.705467372","5.925925926","1.058201058","8.888888889","10.2292769","85.92592593","11.28747795","94.81481481","1","18","0.08","0.133333333","1.8","0.214285714","44.44444444"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00014","","","","84","62","1","7","45","24","34","56","4.6","2","81.8","1","5","6.6","88.4","0.135294118","0.755555556","0.404761905","0.146666667","0.078571429","1.817777778","0.973809524","7.466063348","53.57142857","2.028218695","3.78600823","2.91005291","5.432098765","36.0670194","67.32510288","38.97707231","72.75720165","1","90","0.035714286","0.073333333","2","1.071428571","37.77777778"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00015","","","","84","68","1","5","51","45","100","115","11.4","3.6","42","1","3","15","57","0.114","1.960784314","1.19047619","0.294117647","0.178571429","0.823529412","0.5","26.31578947","60.71428571","5.026455026","8.278867102","6.613756614","10.89324619","18.51851852","30.50108932","25.13227513","41.39433551","1","215","0.031304348","0.069767442","4.215686275","2.55952381","46.51162791"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00016","","","","84","67","1","9","37","33","92","50","10","2.4","46.4","1","5","12.4","58.8","0.108695652","2.486486486","1.095238095","0.335135135","0.147619048","1.254054054","0.552380952","21.08843537","44.04761905","4.409171076","10.01001001","5.467372134","12.41241241","20.45855379","46.44644645","25.92592593","58.85885886","1","142","0.048","0.087323944","3.837837838","1.69047619","64.78873239"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00017","","","","84","62","1","9","41","41","200","175","49.2","6.6","65","1","5","55.8","120.8","0.246","4.87804878","2.380952381","1.36097561","0.664285714","1.585365854","0.773809524","46.19205298","48.80952381","21.69312169","44.44444444","24.6031746","50.40650407","28.65961199","58.71725384","53.2627866","109.1237579","1","375","0.037714286","0.1488","9.146341463","4.464285714","53.33333333"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00018","","","","84","66","1","9","54","54","166","145","38.2","5.4","44.2","1","5","43.6","87.8","0.230120482","3.074074074","1.976190476","0.807407407","0.519047619","0.818518519","0.526190476","49.65831435","64.28571429","16.84303351","26.20027435","19.22398589","29.90397805","19.48853616","30.31550069","38.71252205","60.21947874","1","311","0.037241379","0.140192926","5.759259259","3.702380952","53.37620579"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00019","","","","84","61","1","7","33","17","16","14","6.6","1.2","13","1","7","7.8","20.8","0.4125","0.484848485","0.19047619","0.236363636","0.092857143","0.393939394","0.154761905","37.5","39.28571429","2.91005291","7.407407407","3.439153439","8.754208754","5.731922399","14.59034792","9.171075838","23.34455668","1","30","0.085714286","0.26","0.909090909","0.357142857","53.33333333"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00020","","","","84","60","1","7","39","10","18","58","1.6","1.4","94.6","1","7","3","97.6","0.088888889","0.461538462","0.214285714","0.076923077","0.035714286","2.425641026","1.126190476","3.073770492","46.42857143","0.705467372","1.519468186","1.322751323","2.849002849","41.71075838","89.83855651","43.0335097","92.68755935","1","76","0.024137931","0.039473684","1.948717949","0.904761905","23.68421053"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00021","","","","84","63","1","7","35","23","74","68","5.8","3.8","63","1","7","9.6","72.6","0.078378378","2.114285714","0.880952381","0.274285714","0.114285714","1.8","0.75","13.2231405","41.66666667","2.557319224","6.137566138","4.232804233","10.15873016","27.77777778","66.66666667","32.01058201","76.82539683","1","142","0.055882353","0.067605634","4.057142857","1.69047619","52.11267606"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00022","","","","84","65","1","9","42","38","185","114","22.2","4.2","77.1","1","3","26.4","103.5","0.12","4.404761905","2.202380952","0.628571429","0.314285714","1.835714286","0.917857143","25.50724638","50","9.788359788","19.57671958","11.64021164","23.28042328","33.99470899","67.98941799","45.63492063","91.26984127","1","299","0.036842105","0.088294314","7.119047619","3.55952381","61.8729097"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00023","","","","84","53","1","7","36","31","46","105","3.6","2.4","53.5","1","7","6","59.5","0.07826087","1.277777778","0.547619048","0.166666667","0.071428571","1.486111111","0.636904762","10.08403361","42.85714286","1.587301587","3.703703704","2.645502646","6.172839506","23.58906526","55.04115226","26.2345679","61.21399177","1","151","0.022857143","0.039735099","4.194444444","1.797619048","30.46357616"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00024","","","","84","57","1","7","39","35","169","130","36.6","4.6","37.6","1","3","41.2","78.8","0.216568047","4.333333333","2.011904762","1.056410256","0.49047619","0.964102564","0.447619048","52.28426396","46.42857143","16.13756614","34.75783476","18.16578483","39.12630579","16.57848325","35.70750237","34.74426808","74.83380817","1","299","0.035384615","0.137792642","7.666666667","3.55952381","56.52173913"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00025","","","","84","72","1","9","33","23","27","75","5.4","4.2","69","1","5","9.6","78.6","0.2","0.818181818","0.321428571","0.290909091","0.114285714","2.090909091","0.821428571","12.21374046","39.28571429","2.380952381","6.060606061","4.232804233","10.77441077","30.42328042","77.44107744","34.65608466","88.21548822","1","102","0.056","0.094117647","3.090909091","1.214285714","26.47058824"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00026","","","","84","56","1","9","43","29","50","30","15.8","2.4","48","1","5","18.2","66.2","0.316","1.162790698","0.595238095","0.423255814","0.216666667","1.11627907","0.571428571","27.49244713","51.19047619","6.9664903","13.6089578","8.024691358","15.67614126","21.16402116","41.34366925","29.18871252","57.01981051","1","80","0.08","0.2275","1.860465116","0.952380952","62.5"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00027","","","","84","62","1","7","36","11","17","37","1.4","0.8","71.4","1","9","2.2","73.6","0.082352941","0.472222222","0.202380952","0.061111111","0.026190476","1.983333333","0.85","2.989130435","42.85714286","0.617283951","1.440329218","0.970017637","2.263374486","31.48148148","73.45679012","32.45149912","75.72016461","1","54","0.021621622","0.040740741","1.5","0.642857143","31.48148148"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00028","","","","84","50","1","5","41","41","103","150","26.2","7.4","63","1","3","33.6","96.6","0.254368932","2.512195122","1.226190476","0.819512195","0.4","1.536585366","0.75","34.7826087","48.80952381","11.55202822","23.66757001","14.81481481","30.35230352","27.77777778","56.91056911","42.59259259","87.26287263","1","253","0.049333333","0.132806324","6.170731707","3.011904762","40.71146245"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00029","","","","84","49","1","7","39","36","200","130","15.6","4.2","75.4","1","5","19.8","95.2","0.078","5.128205128","2.380952381","0.507692308","0.235714286","1.933333333","0.897619048","20.79831933","46.42857143","6.878306878","14.81481481","8.73015873","18.8034188","33.24514991","71.60493827","41.97530864","90.40835708","1","330","0.032307692","0.06","8.461538462","3.928571429","60.60606061"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00030","","","","84","62","1","7","43","37","40","60","6.6","3.4","62","1","5","10","72","0.165","0.930232558","0.476190476","0.23255814","0.119047619","1.441860465","0.738095238","13.88888889","51.19047619","2.91005291","5.684754522","4.409171076","8.613264427","27.33686067","53.40223945","31.74603175","62.01550388","1","100","0.056666667","0.1","2.325581395","1.19047619","40"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00031","","","","84","64","1","9","46","38","66","57","20.2","5","78.2","1","5","25.2","103.4","0.306060606","1.434782609","0.785714286","0.547826087","0.3","1.7","0.930952381","24.37137331","54.76190476","8.906525573","16.26409018","11.11111111","20.28985507","34.47971781","62.96296296","45.59082892","83.25281804","1","123","0.087719298","0.204878049","2.673913043","1.464285714","53.65853659"
