"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682","treatment_late_season_drought"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00001","","","","75","49","3","1","32","27","98","113","8.8","2.6","35","5","5","5","11.4","46.4","0.089795918","3.0625","1.306666667","0.35625","0.152","1.09375","0.466666667","24.56896552","42.66666667","4.345679012","10.18518519","5.62962963","13.19444444","17.28395062","40.50925926","22.91358025","53.7037037","211","0.02300885","0.054028436","6.59375","2.813333333","46.44549763","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00002","","","","75","44","1","1","26","24","125","28","20.2","5.6","34","5","5","5","25.8","59.8","0.1616","4.807692308","1.666666667","0.992307692","0.344","1.307692308","0.453333333","43.14381271","34.66666667","9.975308642","28.77492877","12.74074074","36.75213675","16.79012346","48.43304843","29.5308642","85.18518519","153","0.2","0.168627451","5.884615385","2.04","81.69934641","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00003","","","","75","45","1","1","38","27","48","47","11.8","1.2","60","3","3","5","13","73","0.245833333","1.263157895","0.64","0.342105263","0.173333333","1.578947368","0.8","17.80821918","50.66666667","5.827160494","11.50097466","6.419753086","12.6705653","29.62962963","58.47953216","36.04938272","71.15009747","95","0.025531915","0.136842105","2.5","1.266666667","50.52631579","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00004","","","","75","42","1","1","38","36","59","106","15","4.8","83","3","3","3","19.8","102.8","0.254237288","1.552631579","0.786666667","0.521052632","0.264","2.184210526","1.106666667","19.26070039","50.66666667","7.407407407","14.61988304","9.777777778","19.29824561","40.98765432","80.89668616","50.7654321","100.1949318","165","0.045283019","0.12","4.342105263","2.2","35.75757576","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00005","","","","75","60","1","1","46","36","154","97","34","4.2","74","5","3","3","38.2","112.2","0.220779221","3.347826087","2.053333333","0.830434783","0.509333333","1.608695652","0.986666667","34.04634581","61.33333333","16.79012346","27.37520129","18.86419753","30.7568438","36.54320988","59.58132045","55.40740741","90.33816425","251","0.043298969","0.152191235","5.456521739","3.346666667","61.35458167","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00006","","","","75","59","3","1","45","44","145","74","42.2","11.8","42","5","3","3","54","96","0.291034483","3.222222222","1.933333333","1.2","0.72","0.933333333","0.56","56.25","60","20.83950617","34.73251029","26.66666667","44.44444444","20.74074074","34.56790123","47.40740741","79.01234568","219","0.159459459","0.246575342","4.866666667","2.92","66.21004566","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00007","","","","75","70","1","1","56","44","92","170","25.6","12.4","82","5","3","5","38","120","0.27826087","1.642857143","1.226666667","0.678571429","0.506666667","1.464285714","1.093333333","31.66666667","74.66666667","12.64197531","16.93121693","18.7654321","25.13227513","40.49382716","54.23280423","59.25925926","79.36507937","262","0.072941176","0.145038168","4.678571429","3.493333333","35.11450382","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00008","","","","75","68","1","1","54","48","140","139","39.2","6","48","3","3","3","45.2","93.2","0.28","2.592592593","1.866666667","0.837037037","0.602666667","0.888888889","0.64","48.49785408","72","19.35802469","26.8861454","22.32098765","31.00137174","23.7037037","32.9218107","46.02469136","63.92318244","279","0.043165468","0.162007168","5.166666667","3.72","50.17921147","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00009","","","","75","72","1","1","56","32","200","165","41.8","13.8","127","3","3","3","55.6","182.6","0.209","3.571428571","2.666666667","0.992857143","0.741333333","2.267857143","1.693333333","30.449069","74.66666667","20.64197531","27.64550265","27.45679012","36.77248677","62.71604938","83.99470899","90.17283951","120.7671958","365","0.083636364","0.152328767","6.517857143","4.866666667","54.79452055","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00010","","","","75","52","3","1","45","43","160","76","57","5.2","56","5","3","3","62.2","118.2","0.35625","3.555555556","2.133333333","1.382222222","0.829333333","1.244444444","0.746666667","52.62267343","60","28.14814815","46.91358025","30.71604938","51.19341564","27.65432099","46.09053498","58.37037037","97.28395062","236","0.068421053","0.263559322","5.244444444","3.146666667","67.79661017","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00011","","","","75","58","1","1","44","42","103","240","18.2","9.8","124","3","5","5","28","152","0.176699029","2.340909091","1.373333333","0.636363636","0.373333333","2.818181818","1.653333333","18.42105263","58.66666667","8.987654321","15.31986532","13.82716049","23.56902357","61.2345679","104.3771044","75.0617284","127.9461279","343","0.040833333","0.081632653","7.795454545","4.573333333","30.02915452","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00012","","","","75","73","1","1","62","59","320","156","55.4","10.4","46","3","1","1","65.8","111.8","0.173125","5.161290323","4.266666667","1.061290323","0.877333333","0.741935484","0.613333333","58.85509839","82.66666667","27.35802469","33.09438471","32.49382716","39.30704898","22.71604938","27.479092","55.20987654","66.78614098","476","0.066666667","0.138235294","7.677419355","6.346666667","67.22689076","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00013","","","","75","62","5","1","43","39","102","136","16.4","7.8","42","3","5","5","24.2","66.2","0.160784314","2.372093023","1.36","0.562790698","0.322666667","0.976744186","0.56","36.55589124","57.33333333","8.098765432","14.12575366","11.95061728","20.84409991","20.74074074","36.17571059","32.69135802","57.01981051","238","0.057352941","0.101680672","5.534883721","3.173333333","42.85714286","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00014","","","","75","66","3","1","48","46","236","80","42.4","4.4","53","3","5","5","46.8","99.8","0.179661017","4.916666667","3.146666667","0.975","0.624","1.104166667","0.706666667","46.89378758","64","20.9382716","32.71604938","23.11111111","36.11111111","26.17283951","40.89506173","49.28395062","77.00617284","316","0.055","0.148101266","6.583333333","4.213333333","74.6835443","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00015","","","","75","60","3","1","44","44","96","163","13.2","9.1","29","1","5","5","22.3","51.3","0.1375","2.181818182","1.28","0.506818182","0.297333333","0.659090909","0.386666667","43.46978558","58.66666667","6.518518519","11.11111111","11.01234568","18.77104377","14.32098765","24.41077441","25.33333333","43.18181818","259","0.055828221","0.086100386","5.886363636","3.453333333","37.06563707","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00016","","","","75","61","1","1","40","40","68","66","22.4","2.8","32","3","3","5","25.2","57.2","0.329411765","1.7","0.906666667","0.63","0.336","0.8","0.426666667","44.05594406","53.33333333","11.0617284","20.74074074","12.44444444","23.33333333","15.80246914","29.62962963","28.24691358","52.96296296","134","0.042424242","0.188059701","3.35","1.786666667","50.74626866","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00017","","","","75","49","5","1","33","28","87","40","13","1.7","38","7","5","5","14.7","52.7","0.149425287","2.636363636","1.16","0.445454545","0.196","1.151515152","0.506666667","27.89373814","44","6.419753086","14.59034792","7.259259259","16.4983165","18.7654321","42.64870932","26.02469136","59.14702581","127","0.0425","0.115748031","3.848484848","1.693333333","68.50393701","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00018","","","","75","48","5","1","35","31","150","89","21.8","4.5","40","5","5","5","26.3","66.3","0.145333333","4.285714286","2","0.751428571","0.350666667","1.142857143","0.533333333","39.66817496","46.66666667","10.7654321","23.06878307","12.98765432","27.83068783","19.75308642","42.32804233","32.74074074","70.15873016","239","0.050561798","0.110041841","6.828571429","3.186666667","62.76150628","1"
