"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00001","","","","20","16","6","23","19","3.8","1","1","23.65805169","4.971386","0","1.8104966","1.1207489","103.8599854","89.7012253","62.7032089","5.2998233","7.7854757","4.6583118","0.5622474","4.8","10.8","42","0.165217391","0.052631579","0.114285714","2.625","2.1","1.4375","1.15","0.3","0.24","0.375","0.3","54.76190476","44.44444444","80","1.135586481","8.444444444","10.55555556","10.66666667","13.33333333","13.33333333","16.66666667","2.523525514","3.154406892","24","30"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00002","","","","20","17","7.5","28","21","5","0.6","3","21.23015873","4.874486","0","1.8621309","1.1514883","68.4875793","85.9814758","61.2433548","5.2808781","7.8478508","5.489121","0.4422053","5.6","13.1","49","0.178571429","0.028571429","0.114285714","2.882352941","2.45","1.647058824","1.4","0.329411765","0.28","0.441176471","0.375","57.14285714","42.7480916","85","1.188888889","11.11111111","13.07189542","12.44444444","14.64052288","16.66666667","19.60784314","2.641975309","3.108206245","29.11111111","34.24836601"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00003","","","","20","17","2.5","3","17","0.4","0.2","7","32.6129666","9.5942478","1.985129","2.4184818","1.5949278","56.2227592","87.7106247","64.7012863","0","0.7266266","8.5535393","0.1372513","0.6","3.1","20","0.133333333","0.011764706","0.03","1.176470588","1","0.176470588","0.15","0.035294118","0.03","0.147058824","0.125","15","19.35483871","85","0.1956778","0.888888889","1.045751634","1.333333333","1.568627451","5.555555556","6.535947712","0.434839555","0.511575947","6.888888889","8.104575163"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00004","","","","20","14","20","3","3","0.5","0.1","7","30.6","9.7420416","0","2.5337813","1.5201663","90.1346512","103.0121994","59.4369583","1.6707675","2.9542947","11.8756418","0.8205613","0.6","20.6","6","0.166666667","0.033333333","0.1","0.428571429","0.3","0.214285714","0.15","0.042857143","0.03","1.428571429","1","50","2.912621359","70","0.1836","1.111111111","1.587301587","1.333333333","1.904761905","44.44444444","63.49206349","0.408","0.582857143","45.77777778","65.3968254"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00005","","","","20","15","10.5","3","15","0.5","0.15","5","30.81510934","3.7808499","13.9155312","1.5711976","0.9461607","150.4318695","100.1461029","62.0533981","3.9996016","6.1240578","9.0093784","0.7025779","0.65","11.15","18","0.166666667","0.01","0.036111111","1.2","0.9","0.2","0.15","0.043333333","0.0325","0.7","0.525","16.66666667","5.829596413","75","0.200298211","1.111111111","1.481481481","1.444444444","1.925925926","23.33333333","31.11111111","0.445107135","0.59347618","24.77777778","33.03703704"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00006","","","","20","18","10","4","9","0.5","0.3","7","23.8","4.4755187","13.0464621","1.9502593","1.1177245","106.433136","88.8006287","51.4518471","5.2581296","7.6957536","14.669425","0.4255359","0.8","10.8","13","0.125","0.033333333","0.061538462","0.722222222","0.65","0.222222222","0.2","0.044444444","0.04","0.555555556","0.5","30.76923077","7.407407407","90","0.1904","1.111111111","1.234567901","1.777777778","1.975308642","22.22222222","24.69135802","0.423111111","0.470123457","24","26.66666667"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00007","","","","20","16","9","18","22","1.45","0.5","7","25.49800797","4.805717","21.1120701","1.9419889","1.1491365","91.1590652","82.6443405","58.7545395","3.9462388","6.2528811","9.1733561","0.2469328","1.95","10.95","40","0.080555556","0.022727273","0.04875","2.5","2","1.125","0.9","0.121875","0.0975","0.5625","0.45","45","17.80821918","80","0.497211155","3.222222222","4.027777778","4.333333333","5.416666667","20","25","1.104913679","1.381142098","24.33333333","30.41666667"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00008","","","","20","12","3.8","3","19","0.3","0.5","7","23.90438247","3.6662886","24.899929","1.6499356","0.94922","77.6653061","70.8688278","56.2232475","5.0587921","7.6111283","10.7915077","0.0374635","0.8","4.6","22","0.1","0.026315789","0.036363636","1.833333333","1.1","0.25","0.15","0.066666667","0.04","0.316666667","0.19","13.63636364","17.39130435","60","0.19123506","0.666666667","1.111111111","1.777777778","2.962962963","8.444444444","14.07407407","0.424966799","0.708277999","10.22222222","17.03703704"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00009","","","","20","13","0.8","13","15","1.8","0.5","5","24.4047619","5.3472981","19.1365623","2.0768125","1.2560239","134.9042358","102.4089813","57.8227615","3.6040628","5.6903877","10.1601114","0.1796665","2.3","3.1","28","0.138461538","0.033333333","0.082142857","2.153846154","1.4","1","0.65","0.176923077","0.115","0.061538462","0.04","46.42857143","74.19354839","65","0.561309524","4","6.153846154","5.111111111","7.863247863","1.777777778","2.735042735","1.247354497","1.919006919","6.888888889","10.5982906"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00010","","","","20","12","2","12","3","2.6","0.1","5","23.61111111","6.7429166","24.5480804","2.2306325","1.2993016","84.0551987","90.2963104","57.0800819","4.6244173","7.1936803","9.4235859","0.3479809","2.7","4.7","15","0.216666667","0.033333333","0.18","1.25","0.75","1","0.6","0.225","0.135","0.166666667","0.1","80","57.44680851","60","0.6375","5.777777778","9.62962963","6","10","4.444444444","7.407407407","1.416666667","2.361111111","10.44444444","17.40740741"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00011","","","","20","19","2.7","24","28","5.1","1","7","23.62204724","5.1148195","27.7191868","2.0238559","1.3099961","121.5481873","92.8829041","55.5119858","2.8658922","4.7372212","15.6280622","0.0054501","6.1","8.8","52","0.2125","0.035714286","0.117307692","2.736842105","2.6","1.263157895","1.2","0.321052632","0.305","0.142105263","0.135","46.15384615","69.31818182","95","1.440944882","11.33333333","11.92982456","13.55555556","14.26900585","6","6.315789474","3.202099737","3.370631302","19.55555556","20.58479532"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00012","","","","20","17","3.2","24","26","5","1.1","3","27.66798419","5.3346329","30.6819172","1.867859","1.197317","133.3596802","94.1162796","58.5750351","2.0874603","3.7133274","15.5484905","0.3184201","6.1","9.3","50","0.208333333","0.042307692","0.122","2.941176471","2.5","1.411764706","1.2","0.358823529","0.305","0.188235294","0.16","48","65.59139785","85","1.687747036","11.11111111","13.07189542","13.55555556","15.94771242","7.111111111","8.366013072","3.750548968","4.412410551","20.66666667","24.31372549"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00013","","","","20","10","1.7","9","6","1.3","0.25","7","22.15686275","7.4484844","48.324192","2.9499581","1.8325887","199.5827026","136.8497162","48.7997551","1.9660431","3.848814","17.9754028","0.382486","1.55","3.25","15","0.144444444","0.041666667","0.103333333","1.5","0.75","0.9","0.45","0.155","0.0775","0.17","0.085","60","47.69230769","50","0.343431373","2.888888889","5.777777778","3.444444444","6.888888889","3.777777778","7.555555556","0.763180828","1.526361656","7.222222222","14.44444444"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00014","","","","20","2","0.5","0","0","0","0","9","29.76190476","6.6665177","50.2970085","2.1955013","1.4220314","96.5571442","96.8117447","59.7255783","1.0346704","2.2837465","13.9365892","0","0","0.5","0","","","","0","0","0","0","0","0","0.25","0.025","","0","10","0","0","0","0","0","1.111111111","11.11111111","0","0","1.111111111","11.11111111"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00015","","","","20","17","2","10","16","1.7","0.6","7","28.94211577","3.7344217","19.3052444","1.7303643","1.1717011","99.9449844","75.7791061","63.3669586","2.4123452","4.0862966","9.9733582","0.2793644","2.3","4.3","26","0.17","0.0375","0.088461538","1.529411765","1.3","0.588235294","0.5","0.135294118","0.115","0.117647059","0.1","38.46153846","53.48837209","85","0.665668663","3.777777778","4.444444444","5.111111111","6.013071895","4.444444444","5.22875817","1.479263695","1.740310229","9.555555556","11.24183007"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00016","","","","20","12","1.5","9","28","1","0.8","7","28.62823062","7.7060022","14.8116302","2.2337508","1.3848279","76.5181427","85.2250519","62.5282364","1.9291062","3.1189873","8.6809387","0.1282023","1.8","3.3","37","0.111111111","0.028571429","0.048648649","3.083333333","1.85","0.75","0.45","0.15","0.09","0.125","0.075","24.32432432","54.54545455","60","0.515308151","2.222222222","3.703703704","4","6.666666667","3.333333333","5.555555556","1.145129225","1.908548708","7.333333333","12.22222222"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00017","","","","20","12","6","12","20","2.3","0.6","7","25.69721116","6.3321767","39.0170135","2.2476885","1.3848034","59.6061897","88.9634705","54.710598","1.2486295","2.7376812","17.0866833","0.196796","2.9","8.9","32","0.191666667","0.03","0.090625","2.666666667","1.6","1","0.6","0.241666667","0.145","0.5","0.3","37.5","32.58426966","60","0.745219124","5.111111111","8.518518519","6.444444444","10.74074074","13.33333333","22.22222222","1.656042497","2.760070828","19.77777778","32.96296296"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00018","","","","20","13","4.6","9","23","0.9","0.7","7","28.65612648","6.9239793","45.1990776","2.3775203","1.2969576","152.8218842","133.503479","56.3500252","2.7294023","4.4080524","13.5739012","0.5559812","1.6","6.2","32","0.1","0.030434783","0.05","2.461538462","1.6","0.692307692","0.45","0.123076923","0.08","0.353846154","0.23","28.125","25.80645161","65","0.458498024","2","3.076923077","3.555555556","5.47008547","10.22222222","15.72649573","1.018884497","1.567514611","13.77777778","21.1965812"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00019","","","","20","13","4.5","10","21","0.9","0.2","5","23.36633663","6.1584573","33.3561821","2.5328977","1.3699431","145.693161","115.5522766","46.3332329","6.462141","9.9698639","9.9130869","0.674763","1.1","5.6","31","0.09","0.00952381","0.035483871","2.384615385","1.55","0.769230769","0.5","0.084615385","0.055","0.346153846","0.225","32.25806452","19.64285714","65","0.257029703","2","3.076923077","2.444444444","3.760683761","10","15.38461538","0.571177118","0.878734027","12.44444444","19.14529915"
