"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00001","","","","20","13","2.1","13","16","2.1","0.7","27","4.5118876","0","1.6268557","0.9443743","80.8678436","94.9899368","62.1969566","5.3268929","8.3172741","8.4986496","0.6853533","2.8","4.9","29","0.161538462","0.04375","0.096551724","2.230769231","1.45","1","0.65","0.215384615","0.14","0.161538462","0.105","44.82758621","57.14285714","65","0.756","4.666666667","7.179487179","6.222222222","9.572649573","4.666666667","7.179487179","1.68","2.584615385","10.88888889","16.75213675"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00002","","","","20","15","1.5","23","11","3","0.5","25.49407115","7.7872329","0","2.2749918","1.4123319","88.0434723","102.2958527","55.7636909","6.6431689","10.0480375","6.595705","0.8705389","3.5","5","34","0.130434783","0.045454545","0.102941176","2.266666667","1.7","1.533333333","1.15","0.233333333","0.175","0.1","0.075","67.64705882","70","75","0.89229249","6.666666667","8.888888889","7.777777778","10.37037037","3.333333333","4.444444444","1.982872201","2.643829601","11.11111111","14.81481481"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00003","","","","20","9","1.8","4","4","0.5","0.5","35.82677165","8.9097385","","2.3034258","1.4489533","86.1430893","113.9512329","63.8764229","0.6465952","2.203824","11.295455","0.3091302","1","2.8","8","0.125","0.125","0.125","0.888888889","0.4","0.444444444","0.2","0.111111111","0.05","0.2","0.09","50","35.71428571","45","0.358267717","1.111111111","2.469135802","2.222222222","4.938271605","4","8.888888889","0.796150481","1.769223291","6.222222222","13.82716049"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00004","","","","20","8","0.8","9","2","1.2","0.1","35.64356436","7.7239165","","2.0218828","1.3711234","59.0917282","103.1105652","67.8085632","0.6516061","1.7930837","7.5263019","0.0296516","1.3","2.1","11","0.133333333","0.05","0.118181818","1.375","0.55","1.125","0.45","0.1625","0.065","0.1","0.04","81.81818182","61.9047619","40","0.463366337","2.666666667","6.666666667","2.888888889","7.222222222","1.777777778","4.444444444","1.02970297","2.574257426","4.666666667","11.66666667"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00005","","","","20","17","4.5","12","17","1.8","0.8","","","","","","","","","","","","","2.6","7.1","29","0.15","0.047058824","0.089655172","1.705882353","1.45","0.705882353","0.6","0.152941176","0.13","0.264705882","0.225","41.37931034","36.61971831","85","","4","4.705882353","5.777777778","6.797385621","10","11.76470588","","","15.77777778","18.5620915"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00006","","","","20","17","1.8","20","14","3.5","0.4","32.15686275","3.6444724","19.9726601","1.4959593","0.9263975","132.6080017","98.9988098","61.8364677","4.7493343","7.1055698","6.4250603","0.2661731","3.9","5.7","34","0.175","0.028571429","0.114705882","2","1.7","1.176470588","1","0.229411765","0.195","0.105882353","0.09","58.82352941","68.42105263","85","1.254117647","7.777777778","9.150326797","8.666666667","10.19607843","4","4.705882353","2.786928105","3.278738947","12.66666667","14.90196078"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00007","","","","20","11","3","8","12","0.9","0.5","25.34653465","5.5729384","17.2553806","1.9083148","0.9830393","175.1573486","107.530365","51.3602753","8.2605429","12.1933908","8.0234032","0.4781638","1.4","4.4","20","0.1125","0.041666667","0.07","1.818181818","1","0.727272727","0.4","0.127272727","0.07","0.272727273","0.15","40","31.81818182","55","0.354851485","2","3.636363636","3.111111111","5.656565657","6.666666667","12.12121212","0.788558856","1.433743374","9.777777778","17.77777778"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00008","","","","20","18","3.6","4","8","0.3","0.3","23.36633663","3.9475336","21.2937889","1.7872804","1.012132","117.1047897","91.548439","55.6042137","5.3981314","8.6039448","11.6146488","0.2051625","0.6","4.2","12","0.075","0.0375","0.05","0.666666667","0.6","0.222222222","0.2","0.033333333","0.03","0.2","0.18","33.33333333","14.28571429","90","0.14019802","0.666666667","0.740740741","1.333333333","1.481481481","8","8.888888889","0.311551155","0.34616795","9.333333333","10.37037037"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00009","","","","20","15","0.2","21","12","2.9","0.5","28.11881188","3.7868493","16.1027203","1.5761701","1.0061648","134.9799652","90.526123","57.6477776","3.8613098","6.0122766","13.9386415","0.0989251","3.4","3.6","33","0.138095238","0.041666667","0.103030303","2.2","1.65","1.4","1.05","0.226666667","0.17","0.013333333","0.01","63.63636364","94.44444444","75","0.956039604","6.444444444","8.592592593","7.555555556","10.07407407","0.444444444","0.592592593","2.124532453","2.832709938","8","10.66666667"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00010","","","","20","10","0.1","16","26","2.4","1","26.70565302","3.8069284","19.7567329","1.4925188","0.9348832","116.6956787","88.8084641","59.4702225","3.7321289","5.9709449","12.9206076","0.1925304","3.4","3.5","42","0.15","0.038461538","0.080952381","4.2","2.1","1.6","0.8","0.34","0.17","0.01","0.005","38.0952381","97.14285714","50","0.907992203","5.333333333","10.66666667","7.555555556","15.11111111","0.222222222","0.444444444","2.01776045","4.035520901","7.777777778","15.55555556"
