"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00001","","","","20","20","6.12","61","34","13.06","1.43","27.34530938","5.0143943","0","1.8150421","1.0968994","123.8938065","89.8806","66.433548","4.6257954","6.5474114","4.2718396","0.3169832","14.49","20.61","95","0.214098361","0.042058824","0.152526316","4.75","4.75","3.05","3.05","0.7245","0.7245","0.306","0.306","64.21052632","70.30567686","100","3.962335329","29.02222222","29.02222222","32.2","32.2","13.6","13.6","8.80518962","8.80518962","45.8","45.8"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00002","","","","20","20","13.3","75","43","26.02","2.08","26.14770459","3.228776","0","1.4647613","0.8814287","132.5406952","89.2254562","68.3366928","5.0668998","7.3169456","2.5498807","0.3893934","28.1","41.4","118","0.346933333","0.048372093","0.238135593","5.9","5.9","3.75","3.75","1.405","1.405","0.665","0.665","63.55932203","67.87439614","100","7.34750499","57.82222222","57.82222222","62.44444444","62.44444444","29.55555556","29.55555556","16.32778887","16.32778887","92","92"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00003","","","","20","15","6.6","15","31","2","1.09","41.07142857","7.4245968","0","1.8805788","1.1834403","86.5241699","87.4288864","71.7822647","0.0894764","1.0793695","5.3549829","0","3.09","9.69","46","0.133333333","0.03516129","0.067173913","3.066666667","2.3","1","0.75","0.206","0.1545","0.44","0.33","32.60869565","31.88854489","75","1.269107143","4.444444444","5.925925926","6.866666667","9.155555556","14.66666667","19.55555556","2.820238095","3.76031746","21.53333333","28.71111111"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00004","","","","20","19","6.75","7","36","0.74","1.21","43.36633663","7.6925592","0","1.9005972","1.2656864","91.5769272","88.4773941","71.6295242","0.242426","1.232319","5.4852977","0","1.95","8.7","43","0.105714286","0.033611111","0.045348837","2.263157895","2.15","0.368421053","0.35","0.102631579","0.0975","0.355263158","0.3375","16.27906977","22.4137931","95","0.845643564","1.644444444","1.730994152","4.333333333","4.561403509","15","15.78947368","1.879207921","1.978113601","19.33333333","20.35087719"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00005","","","","20","15","10.65","20","26","2.39","0.98","29.78303748","2.724658","18.9815102","1.4250867","0.7697584","96.3869934","79.5188293","63.3921509","3.9410462","5.6465464","9.4662056","0.4100186","3.37","14.02","46","0.1195","0.037692308","0.07326087","3.066666667","2.3","1.333333333","1","0.224666667","0.1685","0.71","0.5325","43.47826087","24.03708987","75","1.003688363","5.311111111","7.081481481","7.488888889","9.985185185","23.66666667","31.55555556","2.230418585","2.973891446","31.15555556","41.54074074"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00006","","","","20","19","23.2","47","42","10.25","2.24","30.75396825","4.7761421","14.6476164","1.817692","1.0041714","130.2017975","93.0678482","64.0221252","3.5457184","4.9467192","9.03901","0.6200777","12.49","35.69","89","0.218085106","0.053333333","0.140337079","4.684210526","4.45","2.473684211","2.35","0.657368421","0.6245","1.221052632","1.16","52.80898876","34.99579714","95","3.841170634","22.77777778","23.97660819","27.75555556","29.21637427","51.55555556","54.26900585","8.535934743","8.985194466","79.31111111","83.48538012"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00007","","","","20","16","8.92","30","44","2.92","1.24","23.12252964","8.466465","0","2.6825209","1.379862","202.783493","147.6865692","49.1280823","5.5975747","8.5795002","13.9947281","0.3421905","4.16","13.08","74","0.097333333","0.028181818","0.056216216","4.625","3.7","1.875","1.5","0.26","0.208","0.5575","0.446","40.54054054","31.80428135","80","0.961897233","6.488888889","8.111111111","9.244444444","11.55555556","19.82222222","24.77777778","2.137549407","2.671936758","29.06666667","36.33333333"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00008","","","","20","16","7.1","14","68","2.9","2.02","30.33932136","8.9206238","2.553766","2.5520639","1.4158533","140.7962952","119.6171951","60.0341225","2.7444623","4.5956082","10.1816607","0.0926763","4.92","12.02","82","0.207142857","0.029705882","0.06","5.125","4.1","0.875","0.7","0.3075","0.246","0.44375","0.355","17.07317073","40.93178037","80","1.492694611","6.444444444","8.055555556","10.93333333","13.66666667","15.77777778","19.72222222","3.317099135","4.146373919","26.71111111","33.38888889"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00009","","","","20","19","3.4","24","41","7.28","1.3","29.66601179","3.2115161","26.7274399","1.421852","0.9286157","155.0102081","77.2673798","64.6407547","3.0757437","4.7482533","10.2060881","0.1625587","8.58","11.98","65","0.303333333","0.031707317","0.132","3.421052632","3.25","1.263157895","1.2","0.451578947","0.429","0.178947368","0.17","36.92307692","71.61936561","95","2.545343812","16.17777778","17.02923977","19.06666667","20.07017544","7.555555556","7.953216374","5.656319581","5.954020612","26.62222222","28.02339181"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00010","","","","20","20","6.22","70","49","14.37","2.33","26.61448141","3.9126225","20.0465469","1.5975393","0.9148952","109.7970581","74.2566986","62.547699","4.4643664","6.4358339","8.2909737","0.2212571","16.7","22.92","119","0.205285714","0.04755102","0.140336134","5.95","5.95","3.5","3.5","0.835","0.835","0.311","0.311","58.82352941","72.86212914","100","4.444618395","31.93333333","31.93333333","37.11111111","37.11111111","13.82222222","13.82222222","9.876929768","9.876929768","50.93333333","50.93333333"
