"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00001","","","","20","16","4.61","50","38","10.96","1.86","24.15841584","2.3804171","0","1.1845891","0.7919449","35.6763878","73.4160156","63.8512764","6.4028563","9.2336397","5.12814","0.2974936","12.82","17.43","88","0.2192","0.048947368","0.145681818","5.5","4.4","3.125","2.5","0.80125","0.641","0.288125","0.2305","56.81818182","73.55134825","80","3.097108911","24.35555556","30.44444444","28.48888889","35.61111111","10.24444444","12.80555556","6.882464246","8.603080307","38.73333333","48.41666667"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00002","","","","20","18","10.48","55","23","15.78","0.96","24","3.2697625","0","1.2311786","0.8563982","41.5216484","92.9845657","65.0397644","6.433053","9.7246752","3.9935968","0.1928167","16.74","27.22","78","0.286909091","0.04173913","0.214615385","4.333333333","3.9","3.055555556","2.75","0.93","0.837","0.582222222","0.524","70.51282051","61.49889787","90","4.0176","35.06666667","38.96296296","37.2","41.33333333","23.28888889","25.87654321","8.928","9.92","60.48888889","67.20987654"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00003","","","","20","7","5.8","16","15","1.32","0.3","36.5805169","6.1346669","","1.8037839","1.2616309","27.3276291","91.4901352","71.3464813","0","1.3474685","6.4277563","0","1.62","7.42","31","0.0825","0.02","0.052258065","4.428571429","1.55","2.285714286","0.8","0.231428571","0.081","0.828571429","0.29","51.61290323","21.8328841","35","0.592604374","2.933333333","8.380952381","3.6","10.28571429","12.88888889","36.82539683","1.316898608","3.762567453","16.48888889","47.11111111"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00004","","","","20","18","7.47","27","34","3.9","1.47","38.2642998","6.8607655","","1.9307802","1.2281449","19.2679214","96.7156677","68.9097824","0.0638918","1.5133518","7.1239772","0","5.37","12.84","61","0.144444444","0.043235294","0.088032787","3.388888889","3.05","1.5","1.35","0.298333333","0.2685","0.415","0.3735","44.26229508","41.82242991","90","2.054792899","8.666666667","9.62962963","11.93333333","13.25925926","16.6","18.44444444","4.566206443","5.073562714","28.53333333","31.7037037"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00005","","","","20","20","14.6","33","38","8.34","1.52","29.82107356","2.962245","23.0389767","1.3966558","0.7614541","51.1478691","76.3853989","61.52388","5.2630873","7.7475128","7.2936592","0.06294","9.86","24.46","71","0.252727273","0.04","0.138873239","3.55","3.55","1.65","1.65","0.493","0.493","0.73","0.73","46.47887324","40.31071137","100","2.940357853","18.53333333","18.53333333","21.91111111","21.91111111","32.44444444","32.44444444","6.534128562","6.534128562","54.35555556","54.35555556"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00006","","","","20","18","15.74","56","36","11.56","2.17","29.64426877","3.0470195","32.2300644","1.3668444","0.7431368","62.9212379","75.9591751","64.9704819","3.136539","4.7352095","9.2018595","0.2967946","13.73","29.47","92","0.206428571","0.060277778","0.14923913","5.111111111","4.6","3.111111111","2.8","0.762777778","0.6865","0.874444444","0.787","60.86956522","46.58975229","90","4.070158102","25.68888889","28.54320988","30.51111111","33.90123457","34.97777778","38.86419753","9.044795782","10.04977309","65.48888889","72.7654321"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00007","","","","20","17","7.6","24","33","2.21","0.9","25.88235294","3.5215316","10.4958096","1.71882","1.0207291","147.4196472","90.930603","62.460659","4.837502","7.20822","6.2956629","0.1819849","3.11","10.71","57","0.092083333","0.027272727","0.054561404","3.352941176","2.85","1.411764706","1.2","0.182941176","0.1555","0.447058824","0.38","42.10526316","29.03828198","85","0.804941176","4.911111111","5.777777778","6.911111111","8.130718954","16.88888889","19.86928105","1.78875817","2.104421376","23.8","28"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00008","","","","20","19","3.8","29","28","2.56","1.26","27.29083665","3.2457364","16.3030987","1.6284188","0.9504791","99.3861923","80.1735916","61.8438072","3.887619","5.6928773","9.6566153","0.1255545","3.82","7.62","57","0.088275862","0.045","0.067017544","3","2.85","1.526315789","1.45","0.201052632","0.191","0.2","0.19","50.87719298","50.1312336","95","1.04250996","5.688888889","5.988304094","8.488888889","8.935672515","8.444444444","8.888888889","2.3166888","2.43861979","16.93333333","17.8245614"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00009","","","","20","7","4.24","22","8","3.75","0.19","26.77165354","6.1100054","31.1468964","2.0576446","1.1505561","63.9679489","86.3540802","61.6813049","3.6098011","5.3142371","7.4928041","0.1139779","3.94","8.18","30","0.170454545","0.02375","0.131333333","4.285714286","1.5","3.142857143","1.1","0.562857143","0.197","0.605714286","0.212","73.33333333","48.16625917","35","1.054803149","8.333333333","23.80952381","8.755555556","25.01587302","9.422222222","26.92063492","2.344006999","6.697162854","18.17777778","51.93650794"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00010","","","","20","17","3.65","46","28","8.47","1.77","27.52475248","3.8502531","18.2347794","1.6527938","0.8552648","66.4513779","74.9618988","61.9892693","5.1277246","7.3007126","6.1908717","0.3208849","10.24","13.89","74","0.184130435","0.063214286","0.138378378","4.352941176","3.7","2.705882353","2.3","0.602352941","0.512","0.214705882","0.1825","62.16216216","73.72210223","85","2.818534654","18.82222222","22.14379085","22.75555556","26.77124183","8.111111111","9.54248366","6.263410342","7.36871805","30.86666667","36.31372549"
