"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00001","","","","1.3","20","9","4","3","0.5","0.1","28.28685259","4.380241","1.324974","1.110617","59.3114","95.83737","0.288544","66.02637","5.66939","8.651038","3.826347","0.302537","0.6","1.9","7","0.125","0.033333333","0.085714286","0.777777778","0.35","0.444444444","0.2","0.066666667","0.03","0.144444444","0.065","57.14285714","31.57894737","45","0.169721116","1.111111111","2.469135802","1.333333333","2.962962963","2.888888889","6.419753086","0.377158035","0.838128966","4.222222222","9.382716049"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00002","","","","0.5","20","7","0","3","0","0.1","","","","","","","","","","","","","0.1","0.6","3","","0.033333333","0.033333333","0.428571429","0.15","0","0","0.014285714","0.005","0.071428571","0.025","0","16.66666667","35","","0","0","0.222222222","0.634920635","1.111111111","3.174603175","","","1.333333333","3.80952381"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00003","","","","1.3","20","9","0","14","0","0.4","40.95427435","7.293109","1.763785","1.280819","116.7522","111.6873","","57.85462","1.563789","3.317218","16.4378","0.601851","0.4","1.7","14","","0.028571429","0.028571429","1.555555556","0.7","0","0","0.044444444","0.02","0.144444444","0.065","0","23.52941176","45","0.163817097","0","0","0.888888889","1.975308642","2.888888889","6.419753086","0.364037994","0.80897332","3.777777778","8.395061728"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00004","","","","1","20","6","1","4","0.1","0.1","40.99009901","8.720249","2.174153","1.579947","104.2039","122.6072","","63.75149","0.459441","1.937904","10.44099","0.211289","0.2","1.2","5","0.1","0.025","0.04","0.833333333","0.25","0.166666667","0.05","0.033333333","0.01","0.166666667","0.05","20","16.66666667","30","0.081980198","0.222222222","0.740740741","0.444444444","1.481481481","2.222222222","7.407407407","0.182178218","0.607260726","2.666666667","8.888888889"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00005","","","","9","20","13","1","5","0.3","0.2","32.00795229","3.360689","1.455631","0.969628","107.9181","109.5078","35.60945","57.59698","4.326707","6.759793","12.4964","0.488126","0.5","9.5","6","0.3","0.04","0.083333333","0.461538462","0.3","0.076923077","0.05","0.038461538","0.025","0.692307692","0.45","16.66666667","5.263157895","65","0.160039761","0.666666667","1.025641026","1.111111111","1.709401709","20","30.76923077","0.355643914","0.547144484","21.11111111","32.47863248"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00006","","","","4.8","20","14","17","13","2.2","0.4","26.74650699","4.100979","1.579636","0.91633","69.95044","92.25348","30.22815","55.37458","5.403099","8.11933","12.57646","0.39009","2.6","7.4","30","0.129411765","0.030769231","0.086666667","2.142857143","1.5","1.214285714","0.85","0.185714286","0.13","0.342857143","0.24","56.66666667","35.13513514","70","0.695409182","4.888888889","6.984126984","5.777777778","8.253968254","10.66666667","15.23809524","1.545353737","2.207648196","16.44444444","23.49206349"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00007","","","","2","20","10","0","19","0","0.4","27.49003984","7.324911","2.269659","1.312258","145.5244","119.479","9.616943","50.1769","5.856284","8.838532","9.840168","0.619292","0.4","2.4","19","","0.021052632","0.021052632","1.9","0.95","0","0","0.04","0.02","0.2","0.1","0","16.66666667","50","0.109960159","0","0","0.888888889","1.777777778","4.444444444","8.888888889","0.24435591","0.488711819","5.333333333","10.66666667"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00008","","","","2","20","10","0","20","0","0.5","25.49407115","6.156788","2.266015","1.24754","165.1483","137.8051","7.475388","49.92915","4.447492","7.109678","14.13436","0.543157","0.5","2.5","20","","0.025","0.025","2","1","0","0","0.05","0.025","0.2","0.1","0","20","50","0.127470356","0","0","1.111111111","2.222222222","4.444444444","8.888888889","0.283267457","0.566534914","5.555555556","11.11111111"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00009","","","","0.5","20","7","4","5","0.7","0.3","31.1023622","4.099386","1.393545","0.91924","130.8083","77.41124","34.10606","56.75114","4.821692","7.020806","11.92982","0.274302","1","1.5","9","0.175","0.06","0.111111111","1.285714286","0.45","0.571428571","0.2","0.142857143","0.05","0.071428571","0.025","44.44444444","66.66666667","35","0.311023622","1.555555556","4.444444444","2.222222222","6.349206349","1.111111111","3.174603175","0.691163604","1.974753156","3.333333333","9.523809524"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00010","","","","1","20","10","13","2","1","0.1","31.73652695","5.034031","1.670311","1.137043","112.6545","99.40321","37.30048","62.64589","2.682913","4.393623","10.76325","0.288395","1.1","2.1","15","0.076923077","0.05","0.073333333","1.5","0.75","1.3","0.65","0.11","0.055","0.1","0.05","86.66666667","52.38095238","50","0.349101796","2.222222222","4.444444444","2.444444444","4.888888889","2.222222222","4.444444444","0.77578177","1.55156354","4.666666667","9.333333333"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00011","","","","0.6","20","10","5","5","0.7","0.2","33.39805825","4.33498","1.359122","0.896248","182.3823","102.161","21.1398","55.05632","4.982689","7.651853","15.93888","0.462235","0.9","1.5","10","0.14","0.04","0.09","1","0.5","0.5","0.25","0.09","0.045","0.06","0.03","50","60","50","0.300582524","1.555555556","3.111111111","2","4","1.333333333","2.666666667","0.667961165","1.33592233","3.333333333","6.666666667"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00012","","","","2.2","20","11","17","15","1.1","0.3","36.02362205","4.201338","1.487309","1.147587","177.1669","109.5919","31.1534","66.14052","0.951732","2.529326","12.88276","0.244379","1.4","3.6","32","0.064705882","0.02","0.04375","2.909090909","1.6","1.545454545","0.85","0.127272727","0.07","0.2","0.11","53.125","38.88888889","55","0.504330709","2.444444444","4.444444444","3.111111111","5.656565657","4.888888889","8.888888889","1.120734908","2.037699833","8","14.54545455"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00013","","","","0.9","20","7","3","2","0.5","0.1","34.50980392","5.24925","1.718733","1.166017","165.3826","113.5978","53.08222","53.34076","3.446031","5.958639","17.73639","0.353602","0.6","1.5","5","0.166666667","0.05","0.12","0.714285714","0.25","0.428571429","0.15","0.085714286","0.03","0.128571429","0.045","60","40","35","0.207058824","1.111111111","3.174603175","1.333333333","3.80952381","2","5.714285714","0.460130719","1.314659197","3.333333333","9.523809524"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00014","","","","0.3","20","5","0","8","0","0.2","32.46376812","8.037641","2.421144","1.558442","163.4679","148.9284","55.75231","54.49846","1.684218","3.508334","17.45307","0.596795","0.2","0.5","8","","0.025","0.025","1.6","0.4","0","0","0.04","0.01","0.06","0.015","0","40","25","0.064927536","0","0","0.444444444","1.777777778","0.666666667","2.666666667","0.144283414","0.577133655","1.111111111","4.444444444"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00015","","","","1.3","20","9","3","2","0.4","0.1","36.43564356","5.793366","1.70187","1.104611","149.5319","126.7616","14.87338","58.21752","3.951445","6.230587","9.155471","0.623529","0.5","1.8","5","0.133333333","0.05","0.1","0.555555556","0.25","0.333333333","0.15","0.055555556","0.025","0.144444444","0.065","60","27.77777778","45","0.182178218","0.888888889","1.975308642","1.111111111","2.469135802","2.888888889","6.419753086","0.404840484","0.89964552","4","8.888888889"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00016","","","","4.2","20","11","6","21","1.1","0.6","31.67330677","4.692997","1.728007","1.172522","120.7659","102.697","30.2961","64.3433","2.905727","5.09079","8.532248","0.120421","1.7","5.9","27","0.183333333","0.028571429","0.062962963","2.454545455","1.35","0.545454545","0.3","0.154545455","0.085","0.381818182","0.21","22.22222222","28.81355932","55","0.538446215","2.444444444","4.444444444","3.777777778","6.868686869","9.333333333","16.96969697","1.196547145","2.175540263","13.11111111","23.83838384"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00017","","","","1.8","20","11","9","8","1","0.2","32.73809524","6.296973","2.044056","1.267507","97.10291","112.8855","51.29584","58.31536","2.065245","3.917802","13.14253","0.150726","1.2","3","17","0.111111111","0.025","0.070588235","1.545454545","0.85","0.818181818","0.45","0.109090909","0.06","0.163636364","0.09","52.94117647","40","55","0.392857143","2.222222222","4.04040404","2.666666667","4.848484848","4","7.272727273","0.873015873","1.587301587","6.666666667","12.12121212"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00018","","","","2.2","20","10","12","5","1.2","0.3","32.14990138","5.748085","2.030344","1.213575","129.1259","130.3694","48.04445","58.30559","1.983637","3.838002","14.28607","0.240013","1.5","3.7","17","0.1","0.06","0.088235294","1.7","0.85","1.2","0.6","0.15","0.075","0.22","0.11","70.58823529","40.54054054","50","0.482248521","2.666666667","5.333333333","3.333333333","6.666666667","4.888888889","9.777777778","1.071663379","2.143326759","8.222222222","16.44444444"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00019","","","","1.9","20","9","3","4","0.3","0.1","31.43418468","4.933556","2.01147","1.258841","185.5688","149.8679","35.86775","51.51682","4.951422","8.087623","13.40856","0.132843","0.4","2.3","7","0.1","0.025","0.057142857","0.777777778","0.35","0.333333333","0.15","0.044444444","0.02","0.211111111","0.095","42.85714286","17.39130435","45","0.125736739","0.666666667","1.481481481","0.888888889","1.975308642","4.222222222","9.382716049","0.279414975","0.620922167","5.111111111","11.35802469"
