"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap100","treatment_dap120"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00001","","","","10","9","21","20","4","0.77","4.36","29.84358603","4.77","9.13","41","0.19047619","0.0385","0.116341463","4.555555556","4.1","2.333333333","2.1","0.53","0.477","0.484444444","0.436","51.2195122","52.24534502","90","1.423539054","17.77777778","19.75308642","21.2","23.55555556","19.37777778","21.5308642","6.326840238","7.029822487","40.57777778","45.08641975","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00002","","","","10","10","15","12","3.08","0.68","2.9","29.73080559","3.76","6.66","27","0.205333333","0.056666667","0.139259259","2.7","2.7","1.5","1.5","0.376","0.376","0.29","0.29","55.55555556","56.45645646","100","1.11787829","13.68888889","13.68888889","16.71111111","16.71111111","12.88888889","12.88888889","4.968347956","4.968347956","29.6","29.6","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00003","","","","10","8","19","6","4.05","0.3","2.87","31.80126073","4.35","7.22","25","0.213157895","0.05","0.174","3.125","2.5","2.375","1.9","0.54375","0.435","0.35875","0.287","76","60.24930748","80","1.383354842","18","22.5","19.33333333","24.16666667","12.75555556","15.94444444","6.148243741","7.685304676","32.08888889","40.11111111","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00004","","","","10","10","15","7","6.08","0.21","2.98","33.84477433","6.29","9.27","22","0.405333333","0.03","0.285909091","2.2","2.2","1.5","1.5","0.629","0.629","0.298","0.298","68.18181818","67.85329018","100","2.128836305","27.02222222","27.02222222","27.95555556","27.95555556","13.24444444","13.24444444","9.46149469","9.46149469","41.2","41.2","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00005","","","","10","10","21","54","3.39","0.92","3.24","20.75368106","4.31","7.55","75","0.161428571","0.017037037","0.057466667","7.5","7.5","2.1","2.1","0.431","0.431","0.324","0.324","28","57.08609272","100","0.894483654","15.06666667","15.06666667","19.15555556","19.15555556","14.4","14.4","3.975482905","3.975482905","33.55555556","33.55555556","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00006","","","","10","7","22","27","5.2","1.04","2.98","21.234445","6.24","9.22","49","0.236363636","0.038518519","0.127346939","7","4.9","3.142857143","2.2","0.891428571","0.624","0.425714286","0.298","44.89795918","67.67895879","70","1.325029368","23.11111111","33.01587302","27.73333333","39.61904762","13.24444444","18.92063492","5.889019413","8.412884876","40.97777778","58.53968254","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00007","","","","10","10","30","45","5.21","1.44","1.47","22.62147005","6.65","8.12","75","0.173666667","0.032","0.088666667","7.5","7.5","3","3","0.665","0.665","0.147","0.147","40","81.89655172","100","1.504327758","23.15555556","23.15555556","29.55555556","29.55555556","6.533333333","6.533333333","6.685901148","6.685901148","36.08888889","36.08888889","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00008","","","","10","9","28","47","8.18","1.36","2.02","23.54258973","9.54","11.56","75","0.292142857","0.02893617","0.1272","8.333333333","7.5","3.111111111","2.8","1.06","0.954","0.224444444","0.202","37.33333333","82.52595156","90","2.24596306","36.35555556","40.39506173","42.4","47.11111111","8.977777778","9.975308642","9.982058046","11.09117561","51.37777778","57.08641975","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00009","","","","10","8","16","24","5.82","0.85","4.66","22.66500623","6.67","11.33","40","0.36375","0.035416667","0.16675","5","4","2","1.6","0.83375","0.667","0.5825","0.466","40","58.87025596","80","1.511755916","25.86666667","32.33333333","29.64444444","37.05555556","20.71111111","25.88888889","6.71891518","8.398643975","50.35555556","62.94444444","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00010","","","","10","10","25","91","3.9","2.16","3.6","22.72659325","6.06","9.66","116","0.156","0.023736264","0.052241379","11.6","11.6","2.5","2.5","0.606","0.606","0.36","0.36","21.55172414","62.73291925","100","1.377231551","17.33333333","17.33333333","26.93333333","26.93333333","16","16","6.121029115","6.121029115","42.93333333","42.93333333","1",""
