"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap100","treatment_dap120"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00001","","","","10","4","14","20","1.66","0.12","4.48","23.07538592","1.78","6.26","34","0.118571429","0.006","0.052352941","8.5","3.4","3.5","1.4","0.445","0.178","1.12","0.448","41.17647059","28.43450479","40","0.410741869","7.377777778","18.44444444","7.911111111","19.77777778","19.91111111","49.77777778","1.825519419","4.563798549","27.82222222","69.55555556","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00002","","","","10","6","9","14","2.7","0.7","2.15","24.95774928","3.4","5.55","23","0.3","0.05","0.147826087","3.833333333","2.3","1.5","0.9","0.566666667","0.34","0.358333333","0.215","39.13043478","61.26126126","60","0.848563476","12","20","15.11111111","25.18518519","9.555555556","15.92592593","3.771393225","6.285655374","24.66666667","41.11111111","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00003","","","","10","6","4","32","0.85","1.28","4.12","24.28882942","2.13","6.25","36","0.2125","0.04","0.059166667","6","3.6","0.666666667","0.4","0.355","0.213","0.686666667","0.412","11.11111111","34.08","60","0.517352067","3.777777778","6.296296296","9.466666667","15.77777778","18.31111111","30.51851852","2.299342518","3.832237531","27.77777778","46.2962963","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00004","","","","10","4","13","2","4.62","0.2","2.89","19.88969492","4.82","7.71","15","0.355384615","0.1","0.321333333","3.75","1.5","3.25","1.3","1.205","0.482","0.7225","0.289","86.66666667","62.51621271","40","0.958683295","20.53333333","51.33333333","21.42222222","53.55555556","12.84444444","32.11111111","4.260814645","10.65203661","34.26666667","85.66666667","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00005","","","","10","5","5","15","4.95","0.25","7.68","19.58680573","5.2","12.88","20","0.99","0.016666667","0.26","4","2","1","0.5","1.04","0.52","1.536","0.768","25","40.37267081","50","1.018513898","22","44","23.11111111","46.22222222","34.13333333","68.26666667","4.526728435","9.053456871","57.24444444","114.4888889","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00006","","","","10","5","24","12","7.2","1.5","3.13","17.61536543","8.7","11.83","36","0.3","0.125","0.241666667","7.2","3.6","4.8","2.4","1.74","0.87","0.626","0.313","66.66666667","73.54184277","50","1.532536792","32","64","38.66666667","77.33333333","13.91111111","27.82222222","6.811274633","13.62254927","52.57777778","105.1555556","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00007","","","","10","6","17","20","9.48","1.42","7.001","20.0209539","10.9","17.901","37","0.557647059","0.071","0.294594595","6.166666667","3.7","2.833333333","1.7","1.816666667","1.09","1.166833333","0.7001","45.94594595","60.89045305","60","2.182283975","42.13333333","70.22222222","48.44444444","80.74074074","31.11555556","51.85925926","9.699039889","16.16506648","79.56","132.6","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00008","","","","10","2","2","12","1.8","0.61","2.35","18.23179569","2.41","4.76","14","0.9","0.050833333","0.172142857","7","1.4","1","0.2","1.205","0.241","1.175","0.235","14.28571429","50.6302521","20","0.439386276","8","40","10.71111111","53.55555556","10.44444444","52.22222222","1.952827894","9.76413947","21.15555556","105.7777778","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00009","","","","10","2","9","6","3.26","0.13","2.21","19.74626866","3.39","5.6","15","0.362222222","0.021666667","0.226","7.5","1.5","4.5","0.9","1.695","0.339","1.105","0.221","60","60.53571429","20","0.669398508","14.48888889","72.44444444","15.06666667","75.33333333","9.822222222","49.11111111","2.975104478","14.87552239","24.88888889","124.4444444","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00010","","","","10","6","20","112","5.9","1.5","2.62","18.47815318","7.4","10.02","132","0.295","0.013392857","0.056060606","22","13.2","3.333333333","2","1.233333333","0.74","0.436666667","0.262","15.15151515","73.85229541","60","1.367383335","26.22222222","43.7037037","32.88888889","54.81481481","11.64444444","19.40740741","6.077259268","10.12876545","44.53333333","74.22222222","1",""
