"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00001","","","","20","12.43","18","41","13","14.94","0.36","5","26.13861386","3.0153351","1.3867307","1.0709562","82.8598633","90.6762543","0","67.4100494","3.8430891","6.4362149","5.5061493","0","15.3","27.73","54","0.364390244","0.027692308","0.283333333","3","2.7","2.277777778","2.05","0.85","0.765","0.690555556","0.6215","75.92592593","55.17490083","90","3.999207921","33.2","36.88888889","34","37.77777778","27.62222222","30.69135802","8.887128712","9.874587458","61.62222222","68.4691358"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00002","","","","20","10.14","18","35","28","8.81","1.69","5","26.6798419","2.3898373","1.1676588","0.9166064","56.0178223","96.8282928","0","66.2243042","4.9318838","7.9719443","6.379487","0.3134899","10.5","20.64","63","0.251714286","0.060357143","0.166666667","3.5","3.15","1.944444444","1.75","0.583333333","0.525","0.563333333","0.507","55.55555556","50.87209302","90","2.8013834","19.57777778","21.75308642","23.33333333","25.92592593","22.53333333","25.03703704","6.225296443","6.916996048","45.86666667","50.96296296"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00003","","","","20","34.73","12","5","1","1.36","0.06","5","35.58648111","10.6662254","2.3823738","1.6064334","14.3321533","97.892807","4.4066925","65.7250366","0","1.4060937","9.1516972","0","1.42","36.15","6","0.272","0.06","0.236666667","0.5","0.3","0.416666667","0.25","0.118333333","0.071","2.894166667","1.7365","83.33333333","3.928077455","60","0.505328032","3.022222222","5.037037037","3.155555556","5.259259259","77.17777778","128.6296296","1.122951182","1.871585303","80.33333333","133.8888889"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00004","","","","20","6.46","12","8","12","1.83","0.41","5","35.98409543","10.1620522","2.3709619","1.6554675","0","92.5607758","4.7368774","67.4766464","0.0088282","1.6375786","6.8603859","0.0098476","2.24","8.7","20","0.22875","0.034166667","0.112","1.666666667","1","0.666666667","0.4","0.186666667","0.112","0.538333333","0.323","40","25.74712644","60","0.806043738","4.066666667","6.777777778","4.977777778","8.296296296","14.35555556","23.92592593","1.791208306","2.985347176","19.33333333","32.22222222"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00005","","","","20","18.97","20","52","13","12","1.63","4","25","4.2953091","1.6637154","0.9966321","13.9442139","102.824173","25.080368","58.0817642","4.8349209","7.8898253","11.1752272","0.191783","13.63","32.6","65","0.230769231","0.125384615","0.209692308","3.25","3.25","2.6","2.6","0.6815","0.6815","0.9485","0.9485","80","41.80981595","100","3.4075","26.66666667","26.66666667","30.28888889","30.28888889","42.15555556","42.15555556","7.572222222","7.572222222","72.44444444","72.44444444"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00006","","","","20","20.86","14","41","23","8.69","0.89","4","27.43538767","3.174612","1.406085","0.8616338","32.3205566","90.0744629","37.3030243","61.4073296","4.9340992","7.9910398","9.6875219","0.3153429","9.58","30.44","64","0.21195122","0.038695652","0.1496875","4.571428571","3.2","2.928571429","2.05","0.684285714","0.479","1.49","1.043","64.0625","31.4717477","70","2.628310139","19.31111111","27.58730159","21.28888889","30.41269841","46.35555556","66.22222222","5.840689197","8.34384171","67.64444444","96.63492063"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00007","","","","20","3.5","13","27","30","2.25","0.8","5","20.51282051","5.761446","2.2592089","1.3009543","96.786377","121.4717102","20.858963","51.0676117","5.9436274","9.9067726","13.2608738","0.587389","3.05","6.55","57","0.083333333","0.026666667","0.053508772","4.384615385","2.85","2.076923077","1.35","0.234615385","0.1525","0.269230769","0.175","47.36842105","46.5648855","65","0.625641026","5","7.692307692","6.777777778","10.42735043","7.777777778","11.96581197","1.39031339","2.138943677","14.55555556","22.39316239"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00008","","","","20","9.67","10","18","16","1.82","0.51","5","17.69383698","3.3686371","2.0238514","1.0692754","107.6695557","128.1425934","16.4425812","49.057312","8.6251135","13.3071957","10.1990252","0.8009644","2.33","12","34","0.101111111","0.031875","0.068529412","3.4","1.7","1.8","0.9","0.233","0.1165","0.967","0.4835","52.94117647","19.41666667","50","0.412266402","4.044444444","8.088888889","5.177777778","10.35555556","21.48888889","42.97777778","0.916147559","1.832295118","26.66666667","53.33333333"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00009","","","","20","7.08","16","29","13","6.27","0.98","5","25.44378698","5.7362766","1.9372544","1.1670132","81.1779785","95.7368622","33.1526489","59.7585373","3.6114521","6.2728662","9.5576944","0.0377426","7.25","14.33","42","0.216206897","0.075384615","0.172619048","2.625","2.1","1.8125","1.45","0.453125","0.3625","0.4425","0.354","69.04761905","50.5931612","80","1.844674556","13.93333333","17.41666667","16.11111111","20.13888889","15.73333333","19.66666667","4.099276791","5.124095989","31.84444444","39.80555556"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00010","","","","20","6.39","16","34","18","6.5","0.84","5","26.28458498","5.5593338","1.9391737","1.2190323","72.3616943","91.4149017","41.4950027","61.7239876","3.3517513","5.9733601","9.4322062","0.2489433","7.34","13.73","52","0.191176471","0.046666667","0.141153846","3.25","2.6","2.125","1.7","0.45875","0.367","0.399375","0.3195","65.38461538","53.45957757","80","1.929288538","14.44444444","18.05555556","16.31111111","20.38888889","14.2","17.75","4.287307861","5.359134826","30.51111111","38.13888889"
