"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap100","treatment_dap120"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00001","","","","10","10","15","16","3.24","0.23","9.95","30.37422553","3.47","13.42","31","0.216","0.014375","0.111935484","3.1","3.1","1.5","1.5","0.347","0.347","0.995","0.995","48.38709677","25.85692996","100","1.053985626","14.4","14.4","15.42222222","15.42222222","44.22222222","44.22222222","4.68438056","4.68438056","59.64444444","59.64444444","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00002","","","","10","10","25","19","3.27","0.82","10.89","31.91077107","4.09","14.98","44","0.1308","0.043157895","0.092954545","4.4","4.4","2.5","2.5","0.409","0.409","1.089","1.089","56.81818182","27.30307076","100","1.305150537","14.53333333","14.53333333","18.17777778","18.17777778","48.4","48.4","5.800669052","5.800669052","66.57777778","66.57777778","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00003","","","","10","9","11","11","3.47","0.33","8","30.24728288","3.8","11.8","22","0.315454545","0.03","0.172727273","2.444444444","2.2","1.222222222","1.1","0.422222222","0.38","0.888888889","0.8","50","32.20338983","90","1.149396749","15.42222222","17.13580247","16.88888889","18.7654321","35.55555556","39.50617284","5.108429998","5.676033331","52.44444444","58.27160494","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00004","","","","10","10","17","28","4.95","1.13","10.8","32.85885526","6.08","16.88","45","0.291176471","0.040357143","0.135111111","4.5","4.5","1.7","1.7","0.608","0.608","1.08","1.08","37.77777778","36.01895735","100","1.9978184","22","22","27.02222222","27.02222222","48","48","8.879192888","8.879192888","75.02222222","75.02222222","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00005","","","","10","8","7","11","2.29","0.38","17.05","21.27542606","2.67","19.72","18","0.327142857","0.034545455","0.148333333","2.25","1.8","0.875","0.7","0.33375","0.267","2.13125","1.705","38.88888889","13.53955375","80","0.568053876","10.17777778","12.72222222","11.86666667","14.83333333","75.77777778","94.72222222","2.524683892","3.155854866","87.64444444","109.5555556","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00006","","","","10","9","20","7","6.42","0.28","17.19","22.50410387","6.7","23.89","27","0.321","0.04","0.248148148","3","2.7","2.222222222","2","0.744444444","0.67","1.91","1.719","74.07407407","28.0452072","90","1.507774959","28.53333333","31.7037037","29.77777778","33.08641975","76.4","84.88888889","6.701222041","7.445802268","106.1777778","117.9753086","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00007","","","","10","8","14","27","6.89","0.33","19.78","20.99587537","7.22","27","41","0.492142857","0.012222222","0.176097561","5.125","4.1","1.75","1.4","0.9025","0.722","2.4725","1.978","34.14634146","26.74074074","80","1.515902202","30.62222222","38.27777778","32.08888889","40.11111111","87.91111111","109.8888889","6.737343119","8.421678898","120","150","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00008","","","","10","8","23","15","9.59","0.86","8.3","21.38003398","10.45","18.75","38","0.416956522","0.057333333","0.275","4.75","3.8","2.875","2.3","1.30625","1.045","1.0375","0.83","60.52631579","55.73333333","80","2.234213551","42.62222222","53.27777778","46.44444444","58.05555556","36.88888889","46.11111111","9.929838004","12.41229751","83.33333333","104.1666667","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00009","","","","10","8","21","8","7.68","0.29","9.8","20.89961602","7.97","17.77","29","0.365714286","0.03625","0.274827586","3.625","2.9","2.625","2.1","0.99625","0.797","1.225","0.98","72.4137931","44.85087226","80","1.665699397","34.13333333","42.66666667","35.42222222","44.27777778","43.55555556","54.44444444","7.40310843","9.253885538","78.97777778","98.72222222","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00010","","","","10","7","26","15","7.39","0.88","11.67","21.2190628","8.27","19.94","41","0.284230769","0.058666667","0.201707317","5.857142857","4.1","3.714285714","2.6","1.181428571","0.827","1.667142857","1.167","63.41463415","41.47442327","70","1.754816494","32.84444444","46.92063492","36.75555556","52.50793651","51.86666667","74.0952381","7.799184416","11.14169202","88.62222222","126.6031746","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00011","","","","10","7","19","7","6.43","0.33","8.72","23.22015334","6.76","15.48","26","0.338421053","0.047142857","0.26","3.714285714","2.6","2.714285714","1.9","0.965714286","0.676","1.245714286","0.872","73.07692308","43.66925065","70","1.569682366","28.57777778","40.82539683","30.04444444","42.92063492","38.75555556","55.36507937","6.97636607","9.966237243","68.8","98.28571429","","1"
