"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00001","","","","3","2.13","5","8","0.46","0.14","0.6","2.73","13","0.092","0.0175","0.046153846","4.333333333","1.666666667","0.2","0.71","38.46153846","21.97802198","6.814814815","8.888888889","31.55555556","40.44444444"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00002","","","","3","1.13","1","0","0.46","0","0.46","1.59","1","0.46","","0.46","0.333333333","0.333333333","0.153333333","0.376666667","100","28.93081761","6.814814815","6.814814815","16.74074074","23.55555556"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00003","","","","3","2.45","6","2","1.01","0.02","1.03","3.48","8","0.168333333","0.01","0.12875","2.666666667","2","0.343333333","0.816666667","75","29.59770115","14.96296296","15.25925926","36.2962963","51.55555556"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00004","","","","3","0.55","2","0","0.78","0","0.78","1.33","2","0.39","","0.39","0.666666667","0.666666667","0.26","0.183333333","100","58.64661654","11.55555556","11.55555556","8.148148148","19.7037037"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00005","","","","3","1.28","4","5","1.03","0.23","1.26","2.54","9","0.2575","0.046","0.14","3","1.333333333","0.42","0.426666667","44.44444444","49.60629921","15.25925926","18.66666667","18.96296296","37.62962963"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00006","","","","3","1.41","0","2","0","0.08","0.08","1.49","2","","0.04","0.04","0.666666667","0","0.026666667","0.47","0","5.369127517","0","1.185185185","20.88888889","22.07407407"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00007","","","","3","1.44","5","5","1.31","0.26","1.57","3.01","10","0.262","0.052","0.157","3.333333333","1.666666667","0.523333333","0.48","50","52.15946844","19.40740741","23.25925926","21.33333333","44.59259259"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00008","","","","3","3","2","5","0.87","0.2","1.07","4.07","7","0.435","0.04","0.152857143","2.333333333","0.666666667","0.356666667","1","28.57142857","26.28992629","12.88888889","15.85185185","44.44444444","60.2962963"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00009","","","","3","0.25","5","1","0.61","0.05","0.66","0.91","6","0.122","0.05","0.11","2","1.666666667","0.22","0.083333333","83.33333333","72.52747253","9.037037037","9.777777778","3.703703704","13.48148148"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00010","","","","3","3.94","5","5","0.85","0.15","1","4.94","10","0.17","0.03","0.1","3.333333333","1.666666667","0.333333333","1.313333333","50","20.24291498","12.59259259","14.81481481","58.37037037","73.18518519"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00011","","","","3","1.1","2","1","0.51","0.05","0.56","1.66","3","0.255","0.05","0.186666667","1","0.666666667","0.186666667","0.366666667","66.66666667","33.73493976","7.555555556","8.296296296","16.2962963","24.59259259"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00012","","","","3","0.59","4","3","1.23","0.21","1.44","2.03","7","0.3075","0.07","0.205714286","2.333333333","1.333333333","0.48","0.196666667","57.14285714","70.93596059","18.22222222","21.33333333","8.740740741","30.07407407"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00013","","","","3","1.02","8","5","1.86","0.21","2.07","3.09","13","0.2325","0.042","0.159230769","4.333333333","2.666666667","0.69","0.34","61.53846154","66.99029126","27.55555556","30.66666667","15.11111111","45.77777778"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00014","","","","3","0.61","3","4","0.85","0.1","0.95","1.56","7","0.283333333","0.025","0.135714286","2.333333333","1","0.316666667","0.203333333","42.85714286","60.8974359","12.59259259","14.07407407","9.037037037","23.11111111"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00015","","","","3","1.56","5","1","0.54","0.1","0.64","2.2","6","0.108","0.1","0.106666667","2","1.666666667","0.213333333","0.52","83.33333333","29.09090909","8","9.481481481","23.11111111","32.59259259"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00016","","","","3","0.85","4","0","1.52","0","1.52","2.37","4","0.38","","0.38","1.333333333","1.333333333","0.506666667","0.283333333","100","64.1350211","22.51851852","22.51851852","12.59259259","35.11111111"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00017","","","","3","0.39","7","10","0.69","0.25","0.94","1.33","17","0.098571429","0.025","0.055294118","5.666666667","2.333333333","0.313333333","0.13","41.17647059","70.67669173","10.22222222","13.92592593","5.777777778","19.7037037"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00018","","","","3","2.58","2","3","0.28","0.11","0.39","2.97","5","0.14","0.036666667","0.078","1.666666667","0.666666667","0.13","0.86","40","13.13131313","4.148148148","5.777777778","38.22222222","44"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00019","","","","3","1.61","6","7","1.45","0.36","1.81","3.42","13","0.241666667","0.051428571","0.139230769","4.333333333","2","0.603333333","0.536666667","46.15384615","52.92397661","21.48148148","26.81481481","23.85185185","50.66666667"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00020","","","","3","0.38","0","5","0","0.12","0.12","0.5","5","","0.024","0.024","1.666666667","0","0.04","0.126666667","0","24","0","1.777777778","5.62962963","7.407407407"
