"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap120"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00001","","","","120","96","127.16","168","199","31.03","8.4","31.36094675","6.99","14.75","1.86","1.29","149.57","102.18","64.47","1.63","3.5","12.18","0.33","39.43","166.59","367","0.184702381","0.042211055","0.107438692","3.822916667","3.058333333","1.75","1.4","0.410729167","0.328583333","1.324583333","1.059666667","45.77656676","23.66888769","80","12.3656213","11.49259259","14.36574074","14.6037037","18.25462963","47.0962963","58.87037037","4.579859742","5.724824678","61.7","77.125","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00002","","","","120","85","122.48","293","179","71.42","5.73","28.71287129","6.55","17.66","1.74","1.29","185.14","116.72","64.01","2.07","4.2","12.61","0.43","77.15","199.63","472","0.243754266","0.032011173","0.16345339","5.552941176","3.933333333","3.447058824","2.441666667","0.907647059","0.642916667","1.440941176","1.020666667","62.07627119","38.64649602","70.83333333","22.1519802","26.45185185","37.34379085","28.57407407","40.33986928","45.36296296","64.04183007","8.204437111","11.58273475","73.93703704","104.3816993","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00003","","","","120","88","185.01","39","55","4.68","2.22","38.2642998","5.26","0","1.08","1.12","86.58","71.38","69.48","1.38","3.05","6.93","0.12","6.9","191.91","94","0.12","0.040363636","0.073404255","1.068181818","0.783333333","0.443181818","0.325","0.078409091","0.0575","2.102386364","1.54175","41.4893617","3.59543536","73.33333333","2.640236686","1.733333333","2.363636364","2.555555556","3.484848485","68.52222222","93.43939394","0.977865439","1.333452872","71.07777778","96.92424242","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00004","","","","120","109","188.01","44","164","8.52","7.23","36.05577689","5.54","0","1.26","1.26","88.43","88.8","71.76","0.56","2.46","6.66","0.1","15.75","203.76","208","0.193636364","0.044085366","0.075721154","1.908256881","1.733333333","0.403669725","0.366666667","0.144495413","0.13125","1.724862385","1.56675","21.15384615","7.729681979","90.83333333","5.67878486","3.155555556","3.474006116","5.833333333","6.422018349","69.63333333","76.66055046","2.103253652","2.315508608","75.46666667","83.08256881","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00005","","","","120","88","151.8","115","52","29.51","2.11","35.96837945","6.29","0","1.51","1.28","159.58","110.23","68.84","1.47","3.42","7.96","0.48","31.62","183.42","167","0.256608696","0.040576923","0.189341317","1.897727273","1.391666667","1.306818182","0.958333333","0.359318182","0.2635","1.725","1.265","68.86227545","17.23912332","73.33333333","11.37320158","10.92962963","14.9040404","11.71111111","15.96969697","56.22222222","76.66666667","4.212296882","5.744041203","67.93333333","92.63636364","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00006","","","","120","96","194.83","126","116","46.92","7.86","34.13173653","6.04","0","1.52","1.41","175.15","124.23","69.94","0.83","2.94","8.92","0.37","54.78","249.61","242","0.372380952","0.067758621","0.226363636","2.520833333","2.016666667","1.3125","1.05","0.570625","0.4565","2.029479167","1.623583333","52.0661157","21.94623613","80","18.69736527","17.37777778","21.72222222","20.28888889","25.36111111","72.15925926","90.19907407","6.9249501","8.656187626","92.44814815","115.5601852","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00007","","","","120","96","184.68","163","169","19.25","4.9","23.55289421","7.16","30.18","2.18","1.51","203.21","147.06","53.37","4.08","7.44","18.16","0.92","24.15","208.83","332","0.11809816","0.028994083","0.072740964","3.458333333","2.766666667","1.697916667","1.358333333","0.2515625","0.20125","1.92375","1.539","49.09638554","11.5644304","80","5.688023952","7.12962963","8.912037037","8.944444444","11.18055556","68.4","85.5","2.106675538","2.633344422","77.34444444","96.68055556","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00008","","","","120","92","156.88","201","110","39.79","4.21","20.8","7.22","30.73","2.23","1.62","180.92","137.2","56.28","3.41","6.46","16.07","0.88","44","200.88","311","0.197960199","0.038272727","0.1414791","3.380434783","2.591666667","2.184782609","1.675","0.47826087","0.366666667","1.705217391","1.307333333","64.63022508","21.90362405","76.66666667","9.152","14.73703704","19.22222222","16.2962963","21.25603865","58.1037037","75.78743961","3.38962963","4.421256039","74.4","97.04347826","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00009","","","","120","97","235.74","60","50","14.63","2.05","32.47524752","5.83","0","1.46","1.22","58.28","73.7","68.86","1.62","3.2","8.49","0.32","16.68","252.42","110","0.243833333","0.041","0.151636364","1.134020619","0.916666667","0.618556701","0.5","0.171958763","0.139","2.430309278","1.9645","54.54545455","6.608034229","80.83333333","5.416871286","5.418518519","6.703321879","6.177777778","7.642611684","87.31111111","108.0137457","2.006248625","2.481957061","93.48888889","115.6563574","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00010","","","","120","95","210.88","45","50","13.4","2.6","29.0513834","5.76","0","1.64","1.33","58.98","80.36","73.89","0.7","2.41","5.67","0.4","16","226.88","95","0.297777778","0.052","0.168421053","1","0.791666667","0.473684211","0.375","0.168421053","0.133333333","2.219789474","1.757333333","47.36842105","7.052186178","79.16666667","4.648221344","4.962962963","6.269005848","5.925925926","7.485380117","78.1037037","98.65730994","1.721563461","2.174606477","84.02962963","106.1426901","1"
