"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00001","","","","3","3","1.85","19","3.89","0.11","5","6.5436592","36.3190536","2.1171355","1.3680253","97.1899414","87.7355804","54.1320534","4.8839598","7.2705445","12.0721464","0.4733629","50.4","13","25.79365079","4","5.85","0.204736842","6.333333333","6.333333333","1.333333333","1.333333333","0.616666667","0.616666667","68.37606838","100","1.031746032","57.62962963","57.62962963","59.25925926","59.25925926","27.40740741","27.40740741","15.2851264","15.2851264","86.66666667","86.66666667"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00002","","","","3","2","2.22","9","2.61","0.37","5","6.3123627","45.6897583","2.222404","1.3997016","116.9154053","107.9262085","43.5530815","6.7031946","10.4474373","16.9459286","0.473033","50.5","10.9","21.58415842","2.98","5.2","0.29","4.5","3","1.49","0.993333333","1.11","0.74","57.30769231","66.66666667","0.643207921","38.66666667","58","44.14814815","66.22222222","32.88888889","49.33333333","9.529006234","14.29350935","77.03703704","115.5555556"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00003","","","","3","2","1.12","6","1.19","0","5","5.6937866","33.5254822","2.0073252","1.2205577","119.2075195","94.4737854","54.0540848","5.3904858","7.9921451","10.7767038","0.4931135","50.5","13.3","26.33663366","1.19","2.31","0.198333333","3","2","0.595","0.396666667","0.56","0.373333333","51.51515152","66.66666667","0.313405941","17.62962963","26.44444444","17.62962963","26.44444444","16.59259259","24.88888889","4.643050972","6.964576458","34.22222222","51.33333333"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00004","","","","3","3","1.58","10","5.17","0.6","5","4.6942577","0.4680634","1.7758551","1.1306343","133.1210938","91.654007","49.3760452","9.2706518","13.7880869","6.4620609","0.3667049","50.1","10.9","21.75648703","5.77","7.35","0.517","3.333333333","3.333333333","1.923333333","1.923333333","0.526666667","0.526666667","78.50340136","100","1.255349301","76.59259259","76.59259259","85.48148148","85.48148148","23.40740741","23.40740741","18.59776743","18.59776743","108.8888889","108.8888889"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00005","","","","3","3","1.09","8","3.92","0.14","5","6.8371897","0","2.0804577","1.2294993","81.2109375","93.2245636","54.1674156","6.2946825","8.9387989","9.2173376","0.7660217","50.5","11.2","22.17821782","4.06","5.15","0.49","2.666666667","2.666666667","1.353333333","1.353333333","0.363333333","0.363333333","78.83495146","100","0.900435644","58.07407407","58.07407407","60.14814815","60.14814815","16.14814815","16.14814815","13.33978731","13.33978731","76.2962963","76.2962963"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00006","","","","3","2","2.11","6","3.02","0.29","5","4.1572037","26.1471558","1.6839905","1.1090474","92.2332764","84.0997314","46.0242844","8.8309336","13.2281513","14.3084087","0.5221405","50","11.4","22.8","3.31","5.42","0.503333333","3","2","1.655","1.103333333","1.055","0.703333333","61.0701107","66.66666667","0.75468","44.74074074","67.11111111","49.03703704","73.55555556","31.25925926","46.88888889","11.18044444","16.77066667","80.2962963","120.4444444"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00007","","","","3","3","2.62","10","4.69","0.22","5","4.573","42.9752121","1.7973294","1.2337284","108.2445068","85.9328461","59.3436279","2.9121981","4.6395655","13.6188707","0.5535746","50.3","13.3","26.44135189","4.91","7.53","0.469","3.333333333","3.333333333","1.636666667","1.636666667","0.873333333","0.873333333","65.20584329","100","1.298270378","69.48148148","69.48148148","72.74074074","72.74074074","38.81481481","38.81481481","19.23363523","19.23363523","111.5555556","111.5555556"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00008","","","","3","3","1.9","14","3.95","0.2","5","7.2674332","39.8032455","2.4349349","1.4299059","135.4987793","107.9868774","45.1192703","6.8302469","10.2727346","16.1634369","0.6232328","50.4","9.3","18.45238095","4.15","6.05","0.282142857","4.666666667","4.666666667","1.383333333","1.383333333","0.633333333","0.633333333","68.59504132","100","0.76577381","58.51851852","58.51851852","61.48148148","61.48148148","28.14814815","28.14814815","11.34479718","11.34479718","89.62962963","89.62962963"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00009","","","","3","3","1.55","6","2.89","0.13","5","4.6957397","25.2809906","1.9037619","1.1346188","126.734375","85.8076324","51.6149368","6.2665815","9.0746145","12.7505484","0.5705643","50.1","12.5","24.9500998","3.02","4.57","0.481666667","2","2","1.006666667","1.006666667","0.516666667","0.516666667","66.08315098","100","0.753493014","42.81481481","42.81481481","44.74074074","44.74074074","22.96296296","22.96296296","11.16285947","11.16285947","67.7037037","67.7037037"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00010","","","","3","3","1.88","10","2.68","0.44","5","6.2844791","43.6550369","1.9122343","1.1321931","102.0501709","85.1504822","57.7250443","4.2893753","6.4567609","11.6304321","0.7070742","50.4","13.3","26.38888889","3.12","5","0.268","3.333333333","3.333333333","1.04","1.04","0.626666667","0.626666667","62.4","100","0.823333333","39.7037037","39.7037037","46.22222222","46.22222222","27.85185185","27.85185185","12.19753086","12.19753086","74.07407407","74.07407407"
