"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00001","","","","30","31.3","30","83","56","28.42","3.65","32.07","63.37","139","0.342409639","0.065178571","0.230719424","4.633333333","4.633333333","2.766666667","2.766666667","1.069","1.069","1.043333333","1.043333333","59.71223022","50.607543","100","42.1037037","42.1037037","47.51111111","47.51111111","46.37037037","46.37037037","93.88148148","93.88148148"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00002","","","","30","21.8","28","74","60","24.52","2.77","27.29","49.09","134","0.331351351","0.046166667","0.203656716","4.785714286","4.466666667","2.642857143","2.466666667","0.974642857","0.909666667","0.778571429","0.726666667","55.2238806","55.59177022","93.33333333","36.32592593","38.92063492","40.42962963","43.31746032","32.2962963","34.6031746","72.72592593","77.92063492"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00003","","","","30","27.56","24","28","58","4.51","2.08","6.59","34.15","86","0.161071429","0.035862069","0.076627907","3.583333333","2.866666667","1.166666667","0.933333333","0.274583333","0.219666667","1.148333333","0.918666667","32.55813953","19.29721816","80","6.681481481","8.351851852","9.762962963","12.2037037","40.82962963","51.03703704","50.59259259","63.24074074"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00004","","","","30","42.12","20","27","40","4.28","1.21","5.49","47.61","67","0.158518519","0.03025","0.081940299","3.35","2.233333333","1.35","0.9","0.2745","0.183","2.106","1.404","40.29850746","11.53119093","66.66666667","6.340740741","9.511111111","8.133333333","12.2","62.4","93.6","70.53333333","105.8"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00005","","","","30","11.84","22","48","48","11.48","2.25","13.73","25.57","96","0.239166667","0.046875","0.143020833","4.363636364","3.2","2.181818182","1.6","0.624090909","0.457666667","0.538181818","0.394666667","50","53.69573719","73.33333333","17.00740741","23.19191919","20.34074074","27.73737374","17.54074074","23.91919192","37.88148148","51.65656566"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00006","","","","30","11.58","20","28","47","6.8","2.42","9.22","20.8","75","0.242857143","0.051489362","0.122933333","3.75","2.5","1.4","0.933333333","0.461","0.307333333","0.579","0.386","37.33333333","44.32692308","66.66666667","10.07407407","15.11111111","13.65925926","20.48888889","17.15555556","25.73333333","30.81481481","46.22222222"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00007","","","","30","44.12","28","65","73","15.57","3.67","19.24","63.36","138","0.239538462","0.050273973","0.13942029","4.928571429","4.6","2.321428571","2.166666667","0.687142857","0.641333333","1.575714286","1.470666667","47.10144928","30.36616162","93.33333333","23.06666667","24.71428571","28.5037037","30.53968254","65.36296296","70.03174603","93.86666667","100.5714286"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00008","","","","30","39.59","26","58","60","12.28","3.03","15.31","54.9","118","0.211724138","0.0505","0.129745763","4.538461538","3.933333333","2.230769231","1.933333333","0.588846154","0.510333333","1.522692308","1.319666667","49.15254237","27.8870674","86.66666667","18.19259259","20.99145299","22.68148148","26.17094017","58.65185185","67.67521368","81.33333333","93.84615385"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00009","","","","30","31.59","29","62","52","15.27","3.24","18.51","50.1","114","0.246290323","0.062307692","0.162368421","3.931034483","3.8","2.137931034","2.066666667","0.638275862","0.617","1.089310345","1.053","54.38596491","36.94610778","96.66666667","22.62222222","23.40229885","27.42222222","28.36781609","46.8","48.4137931","74.22222222","76.7816092"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00010","","","","30","40.92","23","45","36","11.35","2.38","13.73","54.65","81","0.252222222","0.066111111","0.169506173","3.52173913","2.7","1.956521739","1.5","0.596956522","0.457666667","1.779130435","1.364","55.55555556","25.12351327","76.66666667","16.81481481","21.93236715","20.34074074","26.53140097","60.62222222","79.07246377","80.96296296","105.6038647"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00011","","","","30","32.49","18","41","53","8.74","2.16","10.9","43.39","94","0.213170732","0.040754717","0.115957447","5.222222222","3.133333333","2.277777778","1.366666667","0.605555556","0.363333333","1.805","1.083","43.61702128","25.12099562","60","12.94814815","21.58024691","16.14814815","26.91358025","48.13333333","80.22222222","64.28148148","107.1358025"
