"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00001","","","","20","8","13","28","35","6.69","1.94","5","25.89641434","2.8084641","1.0938053","0.8864312","55.1695557","68.143219","0","66.7788391","6.0135889","9.340374","3.4591198","0.211565","8.63","16.63","63","0.238928571","0.055428571","0.136984127","4.846153846","3.15","2.153846154","1.4","0.663846154","0.4315","0.615384615","0.4","44.44444444","51.89416717","65","2.234860558","14.86666667","22.87179487","19.17777778","29.5042735","17.77777778","27.35042735","4.966356795","7.640548915","36.95555556","56.85470085"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00002","","","","20","1.68","18","33","36","4.78","1.4","5","24.4047619","2.7677517","1.1826768","0.9800243","113.7636719","91.0376892","0","64.1156235","6.2262011","9.7088642","6.3688507","0.5109854","6.18","7.86","69","0.144848485","0.038888889","0.089565217","3.833333333","3.45","1.833333333","1.65","0.343333333","0.309","0.093333333","0.084","47.82608696","78.6259542","90","1.508214285","10.62222222","11.80246914","13.73333333","15.25925926","3.733333333","4.148148148","3.351587301","3.72398589","17.46666667","19.40740741"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00003","","","","20","5.58","11","3","10","0.42","0.4","5","34.38113949","8.4088545","2.0151973","1.4128151","26.53479","99.1455994","5.1319275","68.1353302","0.3988771","2.1577802","7.7048683","0","0.82","6.4","13","0.14","0.04","0.063076923","1.181818182","0.65","0.272727273","0.15","0.074545455","0.041","0.507272727","0.279","23.07692308","12.8125","55","0.281925344","0.933333333","1.696969697","1.822222222","3.313131313","12.4","22.54545455","0.626500764","1.139092298","14.22222222","25.85858586"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00004","","","","20","7.29","5","3","7","0.24","0.24","7","34.32539683","8.8410931","2.0952392","1.5383863","0.4366455","96.7823486","3.047821","69.0222321","0.2780504","1.9735028","7.2533407","0","0.48","7.77","10","0.08","0.034285714","0.048","2","0.5","0.6","0.15","0.096","0.024","1.458","0.3645","30","6.177606178","25","0.164761905","0.533333333","2.133333333","1.066666667","4.266666667","16.2","64.8","0.366137566","1.464550265","17.26666667","69.06666667"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00005","","","","20","10.7","17","20","33","8","2.04","5","29.0513834","4.6035347","1.610899","1.0355806","37.8808594","87.5253601","49.4529648","60.6356316","3.0472479","5.4508986","13.8542137","0.4211349","10.04","20.74","53","0.4","0.061818182","0.189433962","3.117647059","2.65","1.176470588","1","0.590588235","0.502","0.629411765","0.535","37.73584906","48.40887175","85","2.916758893","17.77777778","20.91503268","22.31111111","26.24836601","23.77777778","27.97385621","6.48168643","7.625513447","46.08888889","54.22222222"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00006","","","","20","4.33","13","20","18","3.11","0.82","5","29.64426877","4.6120605","1.5857959","1.0018644","45.484375","89.0506134","45.7806702","62.4588814","2.8620157","5.1077824","12.4147692","0.1559849","3.93","8.26","38","0.1555","0.045555556","0.103421053","2.923076923","1.9","1.538461538","1","0.302307692","0.1965","0.333076923","0.2165","52.63157895","47.57869249","65","1.165019763","6.911111111","10.63247863","8.733333333","13.43589744","9.622222222","14.8034188","2.588932806","3.982973548","18.35555556","28.23931624"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00007","","","","20","11.32","13","16","66","2.46","2.06","5","21.17647059","8.4538593","2.5561204","1.5232072","168.8718262","146.7546539","14.9567413","49.7949715","5.3330717","9.6033087","15.1504364","0.822217","4.52","15.84","82","0.15375","0.031212121","0.055121951","6.307692308","4.1","1.230769231","0.8","0.347692308","0.226","0.870769231","0.566","19.51219512","28.53535354","65","0.957176471","5.466666667","8.41025641","10.04444444","15.45299145","25.15555556","38.7008547","2.127058824","3.27239819","35.2","54.15384615"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00008","","","","20","13.57","13","24","60","2.57","1.43","5","23.90438247","8.4128723","2.444284","1.5578594","105.6411133","119.3074341","18.0167847","52.4497337","3.7669392","6.8865151","15.3058977","0.3833952","4","17.57","84","0.107083333","0.023833333","0.047619048","6.461538462","4.2","1.846153846","1.2","0.307692308","0.2","1.043846154","0.6785","28.57142857","22.76607854","65","0.956175299","5.711111111","8.786324786","8.888888889","13.67521368","30.15555556","46.39316239","2.124833997","3.268975381","39.04444444","60.06837607"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00009","","","","20","0.69","18","26","14","3.12","0.45","5","27.66798419","3.7542076","1.5073161","1.0398712","93.0510254","91.5414429","48.2783737","59.4733276","3.1614647","5.5976644","14.4988174","0.4316196","3.57","4.26","40","0.12","0.032142857","0.08925","2.222222222","2","1.444444444","1.3","0.198333333","0.1785","0.038333333","0.0345","65","83.8028169","90","0.987747036","6.933333333","7.703703704","7.933333333","8.814814815","1.533333333","1.703703704","2.194993412","2.438881569","9.466666667","10.51851852"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00010","","","","20","2.93","11","22","7","5.66","0.26","5","29.24901186","5.1483154","1.6205859","1.0124178","94.065918","93.3765869","36.6379852","61.4819031","3.7786865","6.4688935","9.7514496","0.010334","5.92","8.85","29","0.257272727","0.037142857","0.204137931","2.636363636","1.45","2","1.1","0.538181818","0.296","0.266363636","0.1465","75.86206897","66.89265537","55","1.731541502","12.57777778","22.86868687","13.15555556","23.91919192","6.511111111","11.83838384","3.847870005","6.996127281","19.66666667","35.75757576"
