"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root flesh secondary color estimating 0-9|CO_331:0000179","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00001","","","","3","3","1.67","13","4","3.8","0.21","2","6","","6","4.01","5.68","17","0.292307692","0.0525","0.235882353","5.666666667","4.333333333","1.336666667","0.556666667","76.47058824","70.59859155","56.2962963","59.40740741","24.74074074","84.14814815","5.666666667","4.333333333","1.336666667","0.556666667","100","56.2962963","59.40740741","24.74074074","84.14814815"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00002","","","","3","3","3.03","6","4","1.91","0.17","7","6","","6","2.08","5.11","10","0.318333333","0.0425","0.208","3.333333333","2","0.693333333","1.01","60","40.70450098","28.2962963","30.81481481","44.88888889","75.7037037","3.333333333","2","0.693333333","1.01","100","28.2962963","30.81481481","44.88888889","75.7037037"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00003","","","","3","3","5.37","10","2","3.43","0.07","4","6","","6","3.5","8.87","12","0.343","0.035","0.291666667","4","3.333333333","1.166666667","1.79","83.33333333","39.45885006","50.81481481","51.85185185","79.55555556","131.4074074","4","3.333333333","1.166666667","1.79","100","50.81481481","51.85185185","79.55555556","131.4074074"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00004","","","","3","2","2.48","6","3","3.11","0.19","6","7","","5","3.3","5.78","9","0.518333333","0.063333333","0.366666667","4.5","3","1.65","1.24","66.66666667","57.09342561","69.11111111","73.33333333","55.11111111","128.4444444","3","2","1.1","0.826666667","66.66666667","46.07407407","48.88888889","36.74074074","85.62962963"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00005","","","","3","3","3.15","6","1","4.38","0.08","6","7","","5","4.46","7.61","7","0.73","0.08","0.637142857","2.333333333","2","1.486666667","1.05","85.71428571","58.60709593","64.88888889","66.07407407","46.66666667","112.7407407","2.333333333","2","1.486666667","1.05","100","64.88888889","66.07407407","46.66666667","112.7407407"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00006","","","","3","3","3.09","8","0","5.29","0","7","6","","6","5.29","8.38","8","0.66125","","0.66125","2.666666667","2.666666667","1.763333333","1.03","100","63.12649165","78.37037037","78.37037037","45.77777778","124.1481481","2.666666667","2.666666667","1.763333333","1.03","100","78.37037037","78.37037037","45.77777778","124.1481481"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00007","","","","3","3","3.6","8","3","1.61","0.11","6","4","","6","1.72","5.32","11","0.20125","0.036666667","0.156363636","3.666666667","2.666666667","0.573333333","1.2","72.72727273","32.33082707","23.85185185","25.48148148","53.33333333","78.81481481","3.666666667","2.666666667","0.573333333","1.2","100","23.85185185","25.48148148","53.33333333","78.81481481"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00008","","","","3","3","8.48","11","7","2.3","0.19","6","6","","6","2.49","10.97","18","0.209090909","0.027142857","0.138333333","6","3.666666667","0.83","2.826666667","61.11111111","22.698268","34.07407407","36.88888889","125.6296296","162.5185185","6","3.666666667","0.83","2.826666667","100","34.07407407","36.88888889","125.6296296","162.5185185"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00009","","","","3","3","1.39","8","6","0.99","0.14","6","6","","6","1.13","2.52","14","0.12375","0.023333333","0.080714286","4.666666667","2.666666667","0.376666667","0.463333333","57.14285714","44.84126984","14.66666667","16.74074074","20.59259259","37.33333333","4.666666667","2.666666667","0.376666667","0.463333333","100","14.66666667","16.74074074","20.59259259","37.33333333"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00010","","","","3","2","4.31","9","1","3.27","0.06","2","4","","6","3.33","7.64","10","0.363333333","0.06","0.333","5","4.5","1.665","2.155","90","43.58638743","72.66666667","74","95.77777778","169.7777778","3.333333333","3","1.11","1.436666667","66.66666667","48.44444444","49.33333333","63.85185185","113.1851852"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00011","","","","3","3","4.62","6","0","2.64","0","6","4","","6","2.64","7.26","6","0.44","","0.44","2","2","0.88","1.54","100","36.36363636","39.11111111","39.11111111","68.44444444","107.5555556","2","2","0.88","1.54","100","39.11111111","39.11111111","68.44444444","107.5555556"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00012","","","","3","3","2.43","11","4","3.35","0.21","6","6","","5","3.56","5.99","15","0.304545455","0.0525","0.237333333","5","3.666666667","1.186666667","0.81","73.33333333","59.43238731","49.62962963","52.74074074","36","88.74074074","5","3.666666667","1.186666667","0.81","100","49.62962963","52.74074074","36","88.74074074"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00013","","","","3","3","1.52","19","6","2.98","0.21","7","7","","6","3.19","4.71","25","0.156842105","0.035","0.1276","8.333333333","6.333333333","1.063333333","0.506666667","76","67.72823779","44.14814815","47.25925926","22.51851852","69.77777778","8.333333333","6.333333333","1.063333333","0.506666667","100","44.14814815","47.25925926","22.51851852","69.77777778"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00014","","","","3","1","2.14","2","2","1.28","0.16","7","7","","6","1.44","3.58","4","0.64","0.08","0.36","4","2","1.44","2.14","50","40.22346369","56.88888889","64","95.11111111","159.1111111","1.333333333","0.666666667","0.48","0.713333333","33.33333333","18.96296296","21.33333333","31.7037037","53.03703704"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00015","","","","3","3","2.51","10","4","1.26","0.09","6","7","","6","1.35","3.86","14","0.126","0.0225","0.096428571","4.666666667","3.333333333","0.45","0.836666667","71.42857143","34.97409326","18.66666667","20","37.18518519","57.18518519","4.666666667","3.333333333","0.45","0.836666667","100","18.66666667","20","37.18518519","57.18518519"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00016","","","","3","3","2.31","15","9","2.31","0.36","3","3","","6","2.67","4.98","24","0.154","0.04","0.11125","8","5","0.89","0.77","62.5","53.61445783","34.22222222","39.55555556","34.22222222","73.77777778","8","5","0.89","0.77","100","34.22222222","39.55555556","34.22222222","73.77777778"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00017","","","","3","3","2.24","17","6","4.34","0.26","3","7","","5","4.6","6.84","23","0.255294118","0.043333333","0.2","7.666666667","5.666666667","1.533333333","0.746666667","73.91304348","67.25146199","64.2962963","68.14814815","33.18518519","101.3333333","7.666666667","5.666666667","1.533333333","0.746666667","100","64.2962963","68.14814815","33.18518519","101.3333333"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00018","","","","3","3","3.14","11","8","2.97","0.26","3","7","","6","3.23","6.37","19","0.27","0.0325","0.17","6.333333333","3.666666667","1.076666667","1.046666667","57.89473684","50.70643642","44","47.85185185","46.51851852","94.37037037","6.333333333","3.666666667","1.076666667","1.046666667","100","44","47.85185185","46.51851852","94.37037037"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00019","","","","3","3","5.86","17","3","4.11","0.13","3","7","","5","4.24","10.1","20","0.241764706","0.043333333","0.212","6.666666667","5.666666667","1.413333333","1.953333333","85","41.98019802","60.88888889","62.81481481","86.81481481","149.6296296","6.666666667","5.666666667","1.413333333","1.953333333","100","60.88888889","62.81481481","86.81481481","149.6296296"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00020","","","","3","3","1.47","0","24","0","0.76","6","6","","6","0.76","2.23","24","","0.031666667","0.031666667","8","0","0.253333333","0.49","0","34.08071749","0","11.25925926","21.77777778","33.03703704","8","0","0.253333333","0.49","100","0","11.25925926","21.77777778","33.03703704"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00021","","","","3","3","5.12","16","16","2.15","0.38","3","7","","6","2.53","7.65","32","0.134375","0.02375","0.0790625","10.66666667","5.333333333","0.843333333","1.706666667","50","33.07189542","31.85185185","37.48148148","75.85185185","113.3333333","10.66666667","5.333333333","0.843333333","1.706666667","100","31.85185185","37.48148148","75.85185185","113.3333333"
