"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap120"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00041","","","","120","99","105.11","87","169","18.25","6.96","51.3","15.8","5.89","24.62","1.78","1.41","117.01","99.31","65.86","1.09","3.37","10.68","0","25.21","130.32","256","0.209770115","0.041183432","0.098476563","2.585858586","2.133333333","0.878787879","0.725","0.254646465","0.210083333","1.061717172","0.875916667","33.984375","19.34468999","82.5","30.79922027","7.764483431","6.759259259","8.193041526","9.337037037","11.31762065","38.92962963","47.18742985","2.875734604","3.485738914","48.26666667","58.50505051","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00042","","","","120","88","120.51","54","91","9.34","2.83","51.6","17.1","7.4","16.8","1.97","1.39","125.95","102.9","62.74","1.6","3.84","11.34","0.05","12.17","132.68","145","0.172962963","0.031098901","0.083931034","1.647727273","1.208333333","0.613636364","0.45","0.138295455","0.101416667","1.369431818","1.00425","37.24137931","9.17244498","73.33333333","33.13953488","4.033081395","3.459259259","4.717171717","4.507407407","6.146464646","44.63333333","60.86363636","1.49373385","2.036909796","49.14074074","67.01010101","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00043","","","","120","116","141.44","228","393","43.66","19.44","50.3","19.4","6.61","0","1.52","1.44","67.7","74.07","71.22","0.04","2.12","6.34","0","63.1","204.54","621","0.191491228","0.049465649","0.101610306","5.353448276","5.175","1.965517241","1.9","0.543965517","0.525833333","1.219310345","1.178666667","36.71497585","30.84971155","96.66666667","38.56858847","24.33677932","16.17037037","16.72796935","23.37037037","24.17624521","52.38518519","54.19157088","9.013621972","9.324436523","75.75555556","78.36781609","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00044","","","","120","114","139.1","113","372","21.54","17.15","50.1","20.4","7.7","0","1.67","1.56","60.73","92.87","70.84","0","2","6.4","0","38.69","177.79","485","0.190619469","0.046102151","0.079773196","4.254385965","4.041666667","0.99122807","0.941666667","0.339385965","0.322416667","1.220175439","1.159166667","23.29896907","21.76162889","95","40.71856287","15.75401198","7.977777778","8.397660819","14.32962963","15.08382066","51.51851852","54.23001949","5.83481925","6.141915","65.84814815","69.31384016","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00045","","","","120","103","110.05","241","243","71.21","9.91","50.5","18.1","5.8","0","1.49","1.37","74.75","80.23","69.12","1.01","2.89","8.07","0.25","81.12","191.17","484","0.295477178","0.040781893","0.167603306","4.699029126","4.033333333","2.339805825","2.008333333","0.787572816","0.676","1.068446602","0.917083333","49.79338843","42.43343621","85.83333333","35.84158416","29.07469307","26.37407407","30.72707659","30.04444444","35.00323625","40.75925926","47.48651564","10.76840484","12.54571438","70.8037037","82.48975189","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00046","","","","120","113","107.99","199","161","61.9","7.01","50.3","18.8","6.72","0","1.66","1.48","80.66","100.22","71.81","0.36","2.31","7.16","0.06","68.91","176.9","360","0.311055276","0.043540373","0.191416667","3.185840708","3","1.761061947","1.658333333","0.609823009","0.57425","0.955663717","0.899916667","55.27777778","38.95421142","94.16666667","37.37574553","25.75562624","22.92592593","24.34611603","25.52222222","27.10324484","39.9962963","42.47394297","9.539120831","10.13003982","65.51851852","69.57718781","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00047","","","","120","120","150.8","267","356","55.01","14.31","51.5","11.1","9.69","35.34","2.81","1.93","159.32","142.3","52.06","2.89","5.86","16.32","0.73","69.32","220.12","623","0.206029963","0.040196629","0.111268058","5.191666667","5.191666667","2.225","2.225","0.577666667","0.577666667","1.256666667","1.256666667","42.85714286","31.4919135","100","21.55339806","14.94081553","20.37407407","20.37407407","25.67407407","25.67407407","55.85185185","55.85185185","5.533635383","5.533635383","81.52592593","81.52592593","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00048","","","","120","106","117.9","177","271","36.59","11.14","50.8","12.5","8.5","34.93","2.43","1.67","204.85","134.35","56.04","2.89","5.44","13.63","0.5","47.73","165.63","448","0.206723164","0.041107011","0.106540179","4.226415094","3.733333333","1.669811321","1.475","0.450283019","0.39775","1.112264151","0.9825","39.50892857","28.81724325","88.33333333","24.60629921","11.74458661","13.55185185","15.34171908","17.67777778","20.01257862","43.66666667","49.43396226","4.349846894","4.924354974","61.34444444","69.44654088","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00049","","","","120","102","118.62","163","161","29.49","6.23","51.7","18.2","5.16","0","1.49","1.18","58.03","68.87","69.33","1.43","3.31","8.07","0.25","35.72","154.34","324","0.180920245","0.038695652","0.110246914","3.176470588","2.7","1.598039216","1.358333333","0.350196078","0.297666667","1.162941176","0.9885","50.30864198","23.1437087","85","35.20309478","12.57454545","10.92222222","12.8496732","13.22962963","15.56427015","43.93333333","51.68627451","4.657239057","5.479104773","57.16296296","67.25054466","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00050","","","","120","114","155.5","137","126","28","5.49","51.9","16.6","7.65","0","1.98","1.58","24.29","87.72","70.12","0.45","2.14","7.75","0.12","33.49","188.99","263","0.204379562","0.043571429","0.127338403","2.307017544","2.191666667","1.201754386","1.141666667","0.29377193","0.279083333","1.364035088","1.295833333","52.09125475","17.72051431","95","31.98458574","10.71163776","10.37037037","10.91617934","12.4037037","13.05653021","57.59259259","60.62378168","3.967273246","4.176077101","69.9962963","73.68031189","1"
