"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap90"
"","","PEP2018SAT-ST02","","","","","","","","","PEP2018SAT-ST02-00001","","","","120","108","37.15","80","272","13.09","8.38","50","14.5","5.34","24.46","1.56","1.18","123.02","93.86","62.67","1.18","3.18","14.66","0","21.47","58.62","352","0.163625","0.030808824","0.060994318","3.259259259","2.933333333","0.740740741","0.666666667","0.198796296","0.178916667","0.343981481","0.309583333","22.72727273","36.62572501","90","29","6.2263","4.848148148","5.386831276","7.951851852","8.835390947","13.75925926","15.28806584","2.306037037","2.562263374","21.71111111","24.12345679","1"
"","","PEP2018SAT-ST02","","","","","","","","","PEP2018SAT-ST02-00002","","","","120","92","39.58","49","196","9.42","7.22","50.7","15.2","5.73","30.09","1.67","1.29","147.73","113.52","63.34","0.73","2.65","14.3","0.1","16.64","56.22","245","0.192244898","0.036836735","0.067918367","2.663043478","2.041666667","0.532608696","0.408333333","0.180869565","0.138666667","0.430217391","0.329833333","20","29.59800783","76.66666667","29.98027613","4.988717949","3.488888889","4.550724638","6.162962963","8.038647343","14.65925926","19.12077295","1.847673314","2.410008671","20.82222222","27.15942029","1"
"","","PEP2018SAT-ST02","","","","","","","","","PEP2018SAT-ST02-00003","","","","120","78","58.41","22","172","3.98","4.17","50.6","18.8","6.37","0","1.36","1.31","100.35","100.18","67.2","1.16","3.04","9.35","0.12","8.15","66.56","194","0.180909091","0.024244186","0.042010309","2.487179487","1.616666667","0.282051282","0.183333333","0.104487179","0.067916667","0.748846154","0.48675","11.34020619","12.24459135","65","37.1541502","3.028063241","1.474074074","2.267806268","3.018518519","4.643874644","21.63333333","33.28205128","1.121504904","1.72539216","24.65185185","37.92592593","1"
"","","PEP2018SAT-ST02","","","","","","","","","PEP2018SAT-ST02-00004","","","","120","80","61","63","221","9.08","7.17","50.7","18.6","6.91","0","1.48","1.44","64.73","98.29","67.87","0.48","2.18","10.29","0.1","16.25","77.25","284","0.144126984","0.032443439","0.05721831","3.55","2.366666667","0.7875","0.525","0.203125","0.135416667","0.7625","0.508333333","22.18309859","21.03559871","66.66666667","36.68639053","5.961538462","3.362962963","5.044444444","6.018518519","9.027777778","22.59259259","33.88888889","2.207977208","3.311965812","28.61111111","42.91666667","1"
"","","PEP2018SAT-ST02","","","","","","","","","PEP2018SAT-ST02-00005","","","","120","95","39.16","118","165","23.52","5.99","50.5","17.5","6.5","0","1.56","1.45","52.2","101.24","69.73","0.65","2.23","7.79","0.19","29.51","68.67","283","0.199322034","0.03630303","0.104275618","2.978947368","2.358333333","1.242105263","0.983333333","0.310631579","0.245916667","0.412210526","0.326333333","41.69611307","42.97364206","79.16666667","34.65346535","10.22623762","8.711111111","11.00350877","10.92962963","13.80584795","14.5037037","18.32046784","3.787495416","4.784204736","25.43333333","32.12631579","1"
"","","PEP2018SAT-ST02","","","","","","","","","PEP2018SAT-ST02-00006","","","","120","97","44.82","105","166","22.89","5.91","50","16.7","6.6","0","1.47","1.46","37.67","93.21","69.86","0.5","2.05","8.77","0.14","28.8","73.62","271","0.218","0.03560241","0.106273063","2.793814433","2.258333333","1.082474227","0.875","0.296907216","0.24","0.462061856","0.3735","38.74538745","39.1198044","80.83333333","33.4","9.6192","8.477777778","10.48797251","10.66666667","13.19587629","16.6","20.53608247","3.562666667","4.40742268","27.26666667","33.73195876","1"
"","","PEP2018SAT-ST02","","","","","","","","","PEP2018SAT-ST02-00007","","","","120","96","44.8","144","311","16.83","11.18","50.2","11.8","7.13","39.34","2.07","1.5","104.85","99.14","50.14","2.85","5.21","22.41","0.47","28.01","72.81","455","0.116875","0.035948553","0.06156044","4.739583333","3.791666667","1.5","1.2","0.291770833","0.233416667","0.466666667","0.373333333","31.64835165","38.46999039","80","23.5059761","6.584023904","6.233333333","7.791666667","10.37407407","12.96759259","16.59259259","20.74074074","2.438527372","3.048159215","26.96666667","33.70833333","1"
"","","PEP2018SAT-ST02","","","","","","","","","PEP2018SAT-ST02-00008","","","","120","91","39.47","67","247","12.3","7.12","50.3","13.6","7.49","36.91","2.02","1.47","143.36","98.9","55.28","1.79","3.61","18.98","0.33","19.42","58.89","314","0.18358209","0.028825911","0.061847134","3.450549451","2.616666667","0.736263736","0.558333333","0.213406593","0.161833333","0.433736264","0.328916667","21.33757962","32.97673629","75.83333333","27.03777336","5.250735586","4.555555556","6.007326007","7.192592593","9.484737485","14.61851852","19.27716728","1.944716884","2.564461825","21.81111111","28.76190476","1"
"","","PEP2018SAT-ST02","","","","","","","","","PEP2018SAT-ST02-00009","","","","120","68","40.07","60","78","11.84","3.04","50.1","17.1","5.7","2.59","1.48","1.32","1.56","78.08","71.31","0.66","2.2","8.83","0.32","14.88","54.95","138","0.197333333","0.038974359","0.107826087","2.029411765","1.15","0.882352941","0.5","0.218823529","0.124","0.589264706","0.333916667","43.47826087","27.07916288","56.66666667","34.13173653","5.078802395","4.385185185","7.738562092","5.511111111","9.725490196","14.84074074","26.18954248","1.881037924","3.31947869","20.35185185","35.91503268","1"
"","","PEP2018SAT-ST02","","","","","","","","","PEP2018SAT-ST02-00010","","","","120","77","39.68","64","98","10.9","3.84","50.2","18.6","5.45","1.23","1.59","1.34","46.54","89.78","72.98","0.56","2.18","7.16","0.26","14.74","54.42","162","0.1703125","0.039183673","0.090987654","2.103896104","1.35","0.831168831","0.533333333","0.191428571","0.122833333","0.515324675","0.330666667","39.50617284","27.08563028","64.16666667","37.05179283","5.461434263","4.037037037","6.291486291","5.459259259","8.507936508","14.6962963","22.9033189","2.022753431","3.152343009","20.15555556","31.41125541","1"
"","","PEP2018SAT-ST02","","","","","","","","","PEP2018SAT-ST02-00011","","","","120","97","30.35","173","410","29.48","14.04","50.2","11.8","6.34","42.77","1.89","1.38","134.12","101.51","47.25","5.12","8.65","19.66","0.56","43.52","73.87","583","0.170404624","0.034243902","0.07464837","6.010309278","4.858333333","1.783505155","1.441666667","0.448659794","0.362666667","0.312886598","0.252916667","29.67409949","58.91430892","80.83333333","23.5059761","10.2298008","10.91851852","13.50744559","16.11851852","19.94043528","11.24074074","13.90607102","3.78881511","4.68719395","27.35925926","33.8465063","1"
