"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","treatment_dap90"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00009","","","","120","74","22.02","5","0.58","0.21","0.79","22.81","0.116","0.067567568","0.041666667","0.010675676","0.006583333","0.297567568","0.1835","3.463393249","61.66666667","0.214814815","0.348348348","0.292592593","0.474474474","8.155555556","13.22522523","8.448148148","13.6996997","3.4719601","0","0.8283606","0.8611794","111.9165039","70.7380981","70.7681274","2.7107658","4.6295776","9.159215","0.1993484","51.8","14.6","28.18532819","0.222664093","0.082468182","0.133732188","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00031","","","","120","76","29.95","6","0.62","2.68","3.3","33.25","0.103333333","0.078947368","0.05","0.043421053","0.0275","0.394078947","0.249583333","9.92481203","63.33333333","0.22962963","0.362573099","1.222222222","1.929824561","11.09259259","17.51461988","12.31481481","19.44444444","4.7677479","","1.5582862","1.0811334","228.6463013","114.4185181","58.357605","5.2752018","8.0814724","11.5973721","0.2575569","51.4","10.3","20.03891051","0.661284047","0.244920017","0.386715817","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00025","","","","120","39","12.97","6","0.97","1.32","2.29","15.26","0.161666667","0.153846154","0.05","0.058717949","0.019083333","0.332564103","0.108083333","15.00655308","32.5","0.359259259","1.105413105","0.848148148","2.60968661","4.803703704","14.78062678","5.651851852","17.39031339","4.6196041","37.8445435","1.4119821","1.2094707","213.2275391","96.2376251","61.3015594","2.6875153","5.103024","16.6162319","0","51.8","13.1","25.28957529","0.579131274","0.214493064","0.65997866","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00033","","","","120","46","19.53","16","2.43","2.85","5.28","24.81","0.151875","0.347826087","0.133333333","0.114782609","0.044","0.424565217","0.16275","21.28174123","38.33333333","0.9","2.347826087","1.955555556","5.101449275","7.233333333","18.86956522","9.188888889","23.97101449","3.6491718","","0.8039184","0.889667","166.9222412","87.6875","62.573307","3.320138","5.343184","15.4501257","0.2617416","52.8","13.2","25","1.32","0.488888889","1.275362319","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00037","","","","120","42","16.46","18","2.51","1.38","3.89","20.35","0.139444444","0.428571429","0.15","0.092619048","0.032416667","0.391904762","0.137166667","19.11547912","35","0.92962963","2.656084656","1.440740741","4.116402116","6.096296296","17.41798942","7.537037037","21.53439153","4.2143192","0","1.1606474","0.9519696","161.3204346","110.5943451","63.8470192","3.68958","6.0295963","10.4581985","0.2321472","50.8","11.4","22.44094488","0.872952756","0.323315836","0.92375953","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00021","","","","120","89","31.3","28","2.66","5.18","7.84","39.14","0.095","0.314606742","0.233333333","0.088089888","0.065333333","0.351685393","0.260833333","20.03065917","74.16666667","0.985185185","1.328339576","2.903703704","3.915106117","11.59259259","15.63046192","14.4962963","19.54556804","5.2463207","","1.3356171","1.1213288","121.5393066","103.3582153","69.9624252","1.4440451","3.3283491","8.9397011","0","51.9","15.3","29.47976879","2.311213873","0.856005138","1.154164231","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00027","","","","120","58","26.7","18","3.88","0.9","4.78","31.48","0.215555556","0.310344828","0.15","0.082413793","0.039833333","0.460344828","0.2225","15.18424396","48.33333333","1.437037037","2.973180077","1.77037037","3.662835249","9.888888889","20.45977011","11.65925926","24.12260536","4.0772781","18.021698","1.2389541","0.8856192","107.4536133","100.1164398","59.4882813","4.2013102","6.4415345","14.2030468","0.3421755","51.3","10.9","21.24756335","1.015633528","0.376160566","0.77826324","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00015","","","","120","66","26.5","21","4.02","2.14","6.16","32.66","0.191428571","0.318181818","0.175","0.093333333","0.051333333","0.401515152","0.220833333","18.86099204","55","1.488888889","2.707070707","2.281481481","4.148148148","9.814814815","17.84511785","12.0962963","21.99326599","3.427824","","1.1579008","0.9160042","142.473999","72.8191071","48.9251785","6.2623873","9.3923531","21.1392021","0.2408466","51","10.9","21.37254902","1.31654902","0.487610748","0.886564996","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00017","","","","120","64","26.57","33","4.16","3.1","7.26","33.83","0.126060606","0.515625","0.275","0.1134375","0.0605","0.41515625","0.221416667","21.46024239","53.33333333","1.540740741","2.888888889","2.688888889","5.041666667","9.840740741","18.45138889","12.52962963","23.49305556","3.5339127","0","0.7220607","0.9813399","167.6806641","91.3060455","61.6250114","5.094595","7.9107194","13.6901922","0.3038673","50.4","11.6","23.01587302","1.670952381","0.618871252","1.160383598","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00003","","","","120","53","12","31","4.25","2.56","6.81","18.81","0.137096774","0.58490566","0.258333333","0.128490566","0.05675","0.226415094","0.1","36.20414673","44.16666667","1.574074074","3.5639413","2.522222222","5.710691824","4.444444444","10.06289308","6.966666667","15.77358491","4.0293236","0","0.9250865","1.01509","152.817627","93.6196747","67.9958878","3.7999725","6.1726427","7.0054131","0.2041998","51.8","13.7","26.44787645","1.801100386","0.667074217","1.510356718","1"
