"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00001","","","","20","19","7.6","38","74","4.4","2.1","23.51","2.87","1.6","0.9","98.74","86.35","19.18","59.06","5.98","8.64","8.37","0.46","6.5","14.1","112","0.115789474","0.028378378","0.058035714","5.894736842","5.6","2","1.9","0.342105263","0.325","0.4","0.38","33.92857143","46.09929078","95","1.52815","9.777777778","10.29239766","14.44444444","15.20467836","16.88888889","17.77777778","3.395888889","3.574619883","31.33333333","32.98245614"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00002","","","","20","18","9.7","24","81","3.4","2.3","23.37","4.43","2.16","1.19","184.77","124.87","18.67","58.55","4.39","6.8","10.73","0.2","5.7","15.4","105","0.141666667","0.028395062","0.054285714","5.833333333","5.25","1.333333333","1.2","0.316666667","0.285","0.538888889","0.485","22.85714286","37.01298701","90","1.33209","7.555555556","8.395061728","12.66666667","14.07407407","21.55555556","23.95061728","2.9602","3.289111111","34.22222222","38.02469136"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00003","","","","20","17","7.6","43","54","6.8","2.2","24.7","3.24","1.57","0.98","74.66","85.33","0","62.81","4","5.94","9.81","0.33","9","16.6","97","0.158139535","0.040740741","0.092783505","5.705882353","4.85","2.529411765","2.15","0.529411765","0.45","0.447058824","0.38","44.32989691","54.21686747","85","2.223","15.11111111","17.77777778","20","23.52941176","16.88888889","19.86928105","4.94","5.811764706","36.88888889","43.39869281"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00004","","","","20","19","9.5","42","60","8.5","2","21.94","3.89","1.8","1.02","114.38","106.71","0","62.29","6.09","8.61","5.13","0.01","10.5","20","102","0.202380952","0.033333333","0.102941176","5.368421053","5.1","2.210526316","2.1","0.552631579","0.525","0.5","0.475","41.17647059","52.5","95","2.3037","18.88888889","19.88304094","23.33333333","24.56140351","21.11111111","22.22222222","5.119333333","5.38877193","44.44444444","46.78362573"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00005","","","","20","20","15","49","25","9.7","1.3","30.89","3.45","1.62","0.96","63.89","94.94","0","64.21","2.71","4.35","10.08","0.2","11","26","74","0.197959184","0.052","0.148648649","3.7","3.7","2.45","2.45","0.55","0.55","0.75","0.75","66.21621622","42.30769231","100","3.3979","21.55555556","21.55555556","24.44444444","24.44444444","33.33333333","33.33333333","7.550888889","7.550888889","57.77777778","57.77777778"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00006","","","","20","18","8","35","64","6.9","2.2","28.29","2.18","1.34","0.72","64.69","90.57","0.86","65.34","3.04","4.61","8.89","0","9.1","17.1","99","0.197142857","0.034375","0.091919192","5.5","4.95","1.944444444","1.75","0.505555556","0.455","0.444444444","0.4","35.35353535","53.21637427","90","2.57439","15.33333333","17.03703704","20.22222222","22.4691358","17.77777778","19.75308642","5.720866667","6.356518519","38","42.22222222"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00007","","","","20","20","13.3","71","45","19.3","3","39.53","2.78","1.31","0.86","101.32","97.75","0","70.23","1.73","3.14","8.48","0.11","22.3","35.6","116","0.271830986","0.066666667","0.192241379","5.8","5.8","3.55","3.55","1.115","1.115","0.665","0.665","61.20689655","62.64044944","100","8.81519","42.88888889","42.88888889","49.55555556","49.55555556","29.55555556","29.55555556","19.58931111","19.58931111","79.11111111","79.11111111"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00008","","","","20","18","10.7","40","38","12.9","1.9","37.15","3.33","1.47","0.94","75.68","93.36","0","69.97","1.4","2.82","7.59","0","14.8","25.5","78","0.3225","0.05","0.18974359","4.333333333","3.9","2.222222222","2","0.822222222","0.74","0.594444444","0.535","51.28205128","58.03921569","90","5.4982","28.66666667","31.85185185","32.88888889","36.54320988","23.77777778","26.41975309","12.21822222","13.57580247","56.66666667","62.96296296"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00009","","","","20","18","8.8","38","55","3.7","1.4","40.95","6.33","1.86","1.17","87.96","98.16","0","66.97","0.24","1.37","9.67","0","5.1","13.9","93","0.097368421","0.025454545","0.05483871","5.166666667","4.65","2.111111111","1.9","0.283333333","0.255","0.488888889","0.44","40.86021505","36.69064748","90","2.08845","8.222222222","9.135802469","11.33333333","12.59259259","19.55555556","21.72839506","4.641","5.156666667","30.88888889","34.32098765"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00010","","","","20","19","8","23","55","2","1.5","35.18","6.99","2.04","1.3","63.75","98.39","7.39","65.31","0.5","1.78","11.11","0","3.5","11.5","78","0.086956522","0.027272727","0.044871795","4.105263158","3.9","1.210526316","1.15","0.184210526","0.175","0.421052632","0.4","29.48717949","30.43478261","95","1.2313","4.444444444","4.678362573","7.777777778","8.187134503","17.77777778","18.71345029","2.736222222","2.880233918","25.55555556","26.9005848"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00011","","","","20","18","10.2","32","54","6.1","1.9","24.06","4.2","1.85","1.01","116.65","91.06","28.01","52.55","6.23","8.68","12.31","0.38","8","18.2","86","0.190625","0.035185185","0.093023256","4.777777778","4.3","1.777777778","1.6","0.444444444","0.4","0.566666667","0.51","37.20930233","43.95604396","90","1.9248","13.55555556","15.0617284","17.77777778","19.75308642","22.66666667","25.18518519","4.277333333","4.752592593","40.44444444","44.9382716"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00012","","","","20","20","12.3","42","50","7.5","1.9","24.65","3.45","1.59","0.85","110.14","73.84","25.4","54.81","6.79","9.37","9.31","0.42","9.4","21.7","92","0.178571429","0.038","0.102173913","4.6","4.6","2.1","2.1","0.47","0.47","0.615","0.615","45.65217391","43.31797235","100","2.3171","16.66666667","16.66666667","20.88888889","20.88888889","27.33333333","27.33333333","5.149111111","5.149111111","48.22222222","48.22222222"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00013","","","","20","18","18.5","32","60","5.3","1.9","28.23","2.99","1.58","0.96","123.9","109.04","23.49","58.98","4.2","6.52","12.25","0.51","7.2","25.7","92","0.165625","0.031666667","0.07826087","5.111111111","4.6","1.777777778","1.6","0.4","0.36","1.027777778","0.925","34.7826087","28.0155642","90","2.03256","11.77777778","13.08641975","16","17.77777778","41.11111111","45.67901235","4.5168","5.018666667","57.11111111","63.45679012"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00014","","","","20","19","10.7","17","84","2.5","2.2","27.78","3.62","1.84","1.04","139.19","116.19","23.65","59.96","3.68","5.77","10.37","0.11","4.7","15.4","101","0.147058824","0.026190476","0.046534653","5.315789474","5.05","0.894736842","0.85","0.247368421","0.235","0.563157895","0.535","16.83168317","30.51948052","95","1.30566","5.555555556","5.847953216","10.44444444","10.99415205","23.77777778","25.02923977","2.901466667","3.054175439","34.22222222","36.02339181"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00015","","","","20","17","6.7","17","20","1.9","0.4","31.14","4.8","1.66","1.03","70.68","93.51","3.67","62.17","1.47","2.69","14.24","0.11","2.3","9","37","0.111764706","0.02","0.062162162","2.176470588","1.85","1","0.85","0.135294118","0.115","0.394117647","0.335","45.94594595","25.55555556","85","0.71622","4.222222222","4.967320261","5.111111111","6.013071895","14.88888889","17.51633987","1.5916","1.872470588","20","23.52941176"
