"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00001","","","","20","2.5","11","4","17","1.1","0.3","27.07509881","3.315643","1.467818","1.010615","10.24976","80.18523","0","63.80766","5.270802","8.367836","7.407822","0.353752","1.4","3.9","21","0.275","0.017647059","0.066666667","1.909090909","1.05","0.363636364","0.2","0.127272727","0.07","0.227272727","0.125","19.04761905","35.8974359","55","0.379051383","2.444444444","4.444444444","3.111111111","5.656565657","5.555555556","10.1010101","0.842336407","1.531520741","8.666666667","15.75757576"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00002","","","","20","0","0","0","0","0","0","","","","","","","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00003","","","","20","0.2","4","2","0","0.1","0","37","9.359611","2.360962","1.49318","23.86523","103.7963","0","66.1979","0.00638","1.57596","7.555265","0","0.1","0.3","2","0.05","","0.05","0.5","0.1","0.5","0.1","0.025","0.005","0.05","0.01","100","33.33333333","20","0.037","0.222222222","1.111111111","0.222222222","1.111111111","0.444444444","2.222222222","0.082222222","0.411111111","0.666666667","3.333333333"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00004","","","","20","8.8","16","10","7","1.3","0.2","","","","","","","","","","","","","1.5","10.3","17","0.13","0.028571429","0.088235294","1.0625","0.85","0.625","0.5","0.09375","0.075","0.55","0.44","58.82352941","14.5631068","80","","2.888888889","3.611111111","3.333333333","4.166666667","19.55555556","24.44444444","","","22.88888889","28.61111111"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00005","","","","20","5.7","13","12","15","1.2","0.5","31.08910891","3.542978","1.500928","0.950182","116.9954","98.07878","24.01726","58.40371","4.251549","6.803897","12.92615","0.722757","1.7","7.4","27","0.1","0.033333333","0.062962963","2.076923077","1.35","0.923076923","0.6","0.130769231","0.085","0.438461538","0.285","44.44444444","22.97297297","65","0.528514851","2.666666667","4.102564103","3.777777778","5.811965812","12.66666667","19.48717949","1.174477448","1.806888381","16.44444444","25.2991453"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00006","","","","20","8","16","12","14","2","0.5","28.68369352","2.007155","1.273599","0.770035","91.87146","80.25099","10.02765","56.16982","5.7299","8.300362","11.06348","0.544486","2.5","10.5","26","0.166666667","0.035714286","0.096153846","1.625","1.3","0.75","0.6","0.15625","0.125","0.5","0.4","46.15384615","23.80952381","80","0.717092338","4.444444444","5.555555556","5.555555556","6.944444444","17.77777778","22.22222222","1.593538529","1.991923161","23.33333333","29.16666667"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00007","","","","20","3.3","12","3","17","0.2","0.3","24.28571429","6.328104","2.29187","1.378463","152.0403","120.8723","12.13849","50.63157","4.594282","7.564316","11.88936","0.501903","0.5","3.8","20","0.066666667","0.017647059","0.025","1.666666667","1","0.25","0.15","0.041666667","0.025","0.275","0.165","15","13.15789474","60","0.121428571","0.444444444","0.740740741","1.111111111","1.851851852","7.333333333","12.22222222","0.26984127","0.44973545","8.444444444","14.07407407"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00008","","","","20","0.7","","","","","","24.4","5.872023","2.027209","1.222139","135.3699","106.9901","11.80122","51.35065","5.913449","9.280949","10.5931","0.326405","","","","","","","","","","","","","","0.035","","","","","","","","","1.555555556","","","","",""
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00009","","","","20","0.6","9","5","4","0.4","0.1","","","","","","","","","","","","","0.5","1.1","9","0.08","0.025","0.055555556","1","0.45","0.555555556","0.25","0.055555556","0.025","0.066666667","0.03","55.55555556","45.45454545","45","","0.888888889","1.975308642","1.111111111","2.469135802","1.333333333","2.962962963","","","2.444444444","5.432098765"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00010","","","","20","2.2","13","20","5","1.7","0.3","28.48722986","6.312063","1.959102","1.251082","97.64319","93.51367","26.1442","58.35119","2.428397","4.451368","14.43401","0.385631","2","4.2","25","0.085","0.06","0.08","1.923076923","1.25","1.538461538","1","0.153846154","0.1","0.169230769","0.11","80","47.61904762","65","0.569744597","3.777777778","5.811965812","4.444444444","6.837606838","4.888888889","7.521367521","1.266099105","1.947844777","9.333333333","14.35897436"
