"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00001","","","","20","8.4","17","35","22","7.24","0.69","21.69625247","1.792086","0.902082","0.708777","115.9987","86.76561","0","46.51526","13.63421","19.46121","7.399333","0.464094","7.93","16.33","57","0.206857143","0.031363636","0.139122807","3.352941176","2.85","2.058823529","1.75","0.466470588","0.3965","0.494117647","0.42","61.40350877","48.5609308","85","1.720512821","16.08888889","18.92810458","17.62222222","20.73202614","18.66666667","21.96078431","3.823361824","4.498072734","36.28888889","42.69281046"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00002","","","","20","6.98","18","26","20","6.22","0.53","21.54150198","1.798565","1.049776","0.827072","113.0405","73.65871","0","57.05926","10.09887","14.561","4.233038","0.257494","6.75","13.73","46","0.239230769","0.0265","0.14673913","2.555555556","2.3","1.444444444","1.3","0.375","0.3375","0.387777778","0.349","56.52173913","49.16241806","90","1.454051384","13.82222222","15.35802469","15","16.66666667","15.51111111","17.2345679","3.231225297","3.59025033","30.51111111","33.90123457"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00003","","","","20","5.46","15","18","24","3.8","0.49","38.96620278","5.393803","1.644247","1.199374","150.8711","102.112","","63.07316","1.477927","3.274809","13.16551","0.483782","4.29","9.75","42","0.211111111","0.020416667","0.102142857","2.8","2.1","1.2","0.9","0.286","0.2145","0.364","0.273","42.85714286","44","75","1.671650099","8.444444444","11.25925926","9.533333333","12.71111111","12.13333333","16.17777778","3.714777998","4.953037331","21.66666667","28.88888889"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00004","","","","20","5.75","13","2","7","0.29","0.19","38.56858847","5.187346","1.458461","1.120877","171.243","100.283","","67.6902","0.873595","2.251855","10.52929","0.112468","0.48","6.23","9","0.145","0.027142857","0.053333333","0.692307692","0.45","0.153846154","0.1","0.036923077","0.024","0.442307692","0.2875","22.22222222","7.704654896","65","0.185129225","0.644444444","0.991452991","1.066666667","1.641025641","12.77777778","19.65811966","0.411398277","0.632920426","13.84444444","21.2991453"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00005","","","","20","7.75","14","30","22","3.99","1.1","31.80914513","2.884609","1.163107","0.706098","100.3408","79.35835","27.49269","58.78511","6.802905","9.897832","9.959498","0.791435","5.09","12.84","52","0.133","0.05","0.097884615","3.714285714","2.6","2.142857143","1.5","0.363571429","0.2545","0.553571429","0.3875","57.69230769","39.64174455","70","1.619085487","8.866666667","12.66666667","11.31111111","16.15873016","17.22222222","24.6031746","3.597967749","5.139953927","28.53333333","40.76190476"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00006","","","","20","11.11","18","20","19","3.06","0.61","31.49606299","3.20805","1.277044","0.798287","110.4718","81.22366","32.73373","62.49379","5.201123","7.773385","8.922695","0.434175","3.67","14.78","39","0.153","0.032105263","0.094102564","2.166666667","1.95","1.111111111","1","0.203888889","0.1835","0.617222222","0.5555","51.28205128","24.8308525","90","1.155905512","6.8","7.555555556","8.155555556","9.061728395","24.68888889","27.43209877","2.568678915","2.854087683","32.84444444","36.49382716"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00007","","","","20","8.65","18","3","56","0.32","1.55","21.78988327","4.131638","1.908476","0.956696","152.3009","119.8553","13.04349","49.64716","10.52857","15.59297","6.041463","1.026341","1.87","10.52","59","0.106666667","0.027678571","0.031694915","3.277777778","2.95","0.166666667","0.15","0.103888889","0.0935","0.480555556","0.4325","5.084745763","17.7756654","90","0.407470817","0.711111111","0.790123457","4.155555556","4.617283951","19.22222222","21.35802469","0.905490705","1.006100783","23.37777778","25.97530864"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00008","","","","20","6.9","15","16","21","1.8","0.78","27.18253968","5.072844","1.74882","0.99057","155.5914","109.0293","17.21083","57.26313","6.081864","9.187299","8.226678","0.578572","2.58","9.48","37","0.1125","0.037142857","0.06972973","2.466666667","1.85","1.066666667","0.8","0.172","0.129","0.46","0.345","43.24324324","27.21518987","75","0.701309524","4","5.333333333","5.733333333","7.644444444","15.33333333","20.44444444","1.558465608","2.077954144","21.06666667","28.08888889"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00009","","","","20","3.33","15","27","13","5.91","0.48","29.8828125","2.6071","1.251917","0.784624","130.5656","78.47697","34.22419","61.47565","6.4971","9.476849","5.234667","0.541563","6.39","9.72","40","0.218888889","0.036923077","0.15975","2.666666667","2","1.8","1.35","0.426","0.3195","0.222","0.1665","67.5","65.74074074","75","1.909511719","13.13333333","17.51111111","14.2","18.93333333","7.4","9.866666667","4.243359375","5.6578125","21.6","28.8"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00010","","","","20","4.46","18","47","12","7.64","0.61","29.44664032","3.247047","1.319883","0.793154","111.0807","83.10641","24.09361","61.85711","4.759601","7.178526","9.125663","0.367514","8.25","12.71","59","0.162553191","0.050833333","0.139830508","3.277777778","2.95","2.611111111","2.35","0.458333333","0.4125","0.247777778","0.223","79.66101695","64.90952006","90","2.429347826","16.97777778","18.86419753","18.33333333","20.37037037","9.911111111","11.01234568","5.398550725","5.998389695","28.24444444","31.38271605"
