"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00001","","","","20","3.96","19","35","37","5.29","1.17","5","24.3083004","1.3658352","0.8763804","0.8102746","95.1016846","91.7063599","0.7793274","66.8236084","7.1382551","10.8360844","1.9461151","0.1459017","6.46","10.42","72","0.151142857","0.031621622","0.089722222","3.789473684","3.6","1.842105263","1.75","0.34","0.323","0.208421053","0.198","48.61111111","61.99616123","95","1.570316206","11.75555556","12.37426901","14.35555556","15.11111111","8.8","9.263157895","3.489591569","3.673254283","23.15555556","24.37426901"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00002","","","","20","6.07","18","44","29","9.2","1.2","5","23.55289421","1.4561653","0.9410577","0.8295317","95.1530762","92.6581421","0","65.3603134","6.9409399","10.6448917","3.2815943","0","10.4","16.47","73","0.209090909","0.04137931","0.142465753","4.055555556","3.65","2.444444444","2.2","0.577777778","0.52","0.337222222","0.3035","60.2739726","63.14511233","90","2.449500998","20.44444444","22.71604938","23.11111111","25.67901235","13.48888889","14.98765432","5.443335551","6.048150612","36.6","40.66666667"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00003","","","","20","3.12","19","8","29","0.86","0.8","5","43.71257485","4.5373726","1.3543663","1.1374588","87.4818115","106.5863495","","72.364563","0","1.5766145","8.6720438","0","1.66","4.78","37","0.1075","0.027586207","0.044864865","1.947368421","1.85","0.421052632","0.4","0.087368421","0.083","0.164210526","0.156","21.62162162","34.72803347","95","0.725628743","1.911111111","2.011695906","3.688888889","3.883040936","6.933333333","7.298245614","1.612508317","1.697377175","10.62222222","11.18128655"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00004","","","","20","4.67","19","7","29","0.81","1.27","3","38.56858847","4.4089642","1.3420606","1.0709157","67.8466797","105.2803345","","71.9892731","0","1.5694498","8.9223604","0","2.08","6.75","36","0.115714286","0.043793103","0.057777778","1.894736842","1.8","0.368421053","0.35","0.109473684","0.104","0.245789474","0.2335","19.44444444","30.81481481","95","0.80222664","1.8","1.894736842","4.622222222","4.865497076","10.37777778","10.92397661","1.782725867","1.876553544","15","15.78947368"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00005","","","","20","5.66","19","38","22","9.42","1.05","3","26.44135189","2.4444542","1.2422519","0.7666278","29.0152588","80.8413086","46.8124619","60.1448669","5.8943205","8.9110947","10.3546982","0.1307926","10.47","16.13","60","0.247894737","0.047727273","0.1745","3.157894737","3","2","1.9","0.551052632","0.5235","0.297894737","0.283","63.33333333","64.91010539","95","2.768409543","20.93333333","22.03508772","23.26666667","24.49122807","12.57777778","13.23976608","6.152021206","6.475811796","35.84444444","37.73099415"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00006","","","","20","10.06","19","53","33","13.04","1.41","3","27.49003984","2.8153572","1.4034553","0.9095263","76.0085449","85.3559723","52.3643646","63.3569412","4.4444237","7.2538114","10.2039938","0.381897","14.45","24.51","86","0.246037736","0.042727273","0.168023256","4.526315789","4.3","2.789473684","2.65","0.760526316","0.7225","0.529473684","0.503","61.62790698","58.95552836","95","3.972310757","28.97777778","30.50292398","32.11111111","33.80116959","22.35555556","23.53216374","8.827357238","9.291954987","54.46666667","57.33333333"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00007","","","","20","3.9","15","0","37","0","1.24","7","23.4","3.7647743","1.7012019","1.0409327","115.3265381","130.2193451","24.4204407","55.9029732","5.9222269","10.1507692","12.5798893","0.1103745","1.24","5.14","37","","0.033513514","0.033513514","2.466666667","1.85","0","0","0.082666667","0.062","0.26","0.195","0","24.12451362","75","0.29016","0","0","2.755555556","3.674074074","8.666666667","11.55555556","0.6448","0.859733333","11.42222222","15.22962963"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00008","","","","20","3.62","18","9","59","0.87","1.53","7","18.6","3.2704449","1.7776842","0.9169197","52.6693115","109.2163849","15.586853","44.464817","10.0206404","15.4717913","13.2082262","0.288291","2.4","6.02","68","0.096666667","0.025932203","0.035294118","3.777777778","3.4","0.5","0.45","0.133333333","0.12","0.201111111","0.181","13.23529412","39.86710963","90","0.4464","1.933333333","2.148148148","5.333333333","5.925925926","8.044444444","8.938271605","0.992","1.102222222","13.37777778","14.86419753"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00009","","","","20","3.07","14","23","20","4.21","1.12","5","28.71287129","2.7113457","1.3206997","0.8707962","55.824585","85.3716431","49.9994278","63.10886","4.5339241","7.3046565","8.3482895","0.0530005","5.33","8.4","43","0.183043478","0.056","0.123953488","3.071428571","2.15","1.642857143","1.15","0.380714286","0.2665","0.219285714","0.1535","53.48837209","63.45238095","70","1.53039604","9.355555556","13.36507937","11.84444444","16.92063492","6.822222222","9.746031746","3.400880088","4.858400126","18.66666667","26.66666667"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00010","","","","20","2.33","15","24","22","3.52","0.84","7","27.2","2.2573948","1.3612485","0.931941","83.0072021","89.7463684","54.3800812","62.7219467","4.1584063","6.8360591","10.0535145","0.304018","4.36","6.69","46","0.146666667","0.038181818","0.094782609","3.066666667","2.3","1.6","1.2","0.290666667","0.218","0.155333333","0.1165","52.17391304","65.17189836","75","1.18592","7.822222222","10.42962963","9.688888889","12.91851852","5.177777778","6.903703704","2.635377778","3.513837037","14.86666667","19.82222222"
