"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap120"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00002","","","","120","108","42.21","276","271","66.22","11.76","31.22448172","6.1743374","42.1648865","1.7470169","1.3173518","132.6574707","88.4886169","62.7470818","1.2094917","2.5919085","14.8582745","0.4247313","77.98","120.19","547","0.239927536","0.043394834","0.142559415","5.064814815","4.558333333","2.555555556","2.3","0.722037037","0.649833333","0.390833333","0.35175","50.45703839","64.88060571","90","24.34885085","24.52592593","27.25102881","28.88148148","32.09053498","15.63333333","17.37037037","9.018092906","10.02010323","44.51481481","49.46090535","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00004","","","","120","108","39.29","284","221","61.36","8.7","33.8499061","6.7070065","45.3697739","1.7693791","1.2919722","125.1091309","89.1425171","64.1290741","0.8714781","2.3968587","12.6906338","0.2183285","70.06","109.35","505","0.216056338","0.039366516","0.138732673","4.675925926","4.208333333","2.62962963","2.366666667","0.648703704","0.583833333","0.363796296","0.327416667","56.23762376","64.0695016","90","23.71524421","22.72592593","25.25102881","25.94814815","28.83127572","14.55185185","16.16872428","8.783423783","9.759359759","40.5","45","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00006","","","","120","116","32.99","341","307","56.98","9.92","37.32193732","8.7736502","0","1.932476","1.6845794","15.0593262","92.3162994","69.8238449","0.2792959","1.2028443","6.1503735","0.071804","66.9","99.89","648","0.167096774","0.032312704","0.103240741","5.586206897","5.4","2.939655172","2.841666667","0.576724138","0.5575","0.284396552","0.274916667","52.62345679","66.97367104","96.66666667","24.96837607","21.1037037","21.83141762","24.77777778","25.63218391","12.21851852","12.63984674","9.247546692","9.566427612","36.9962963","38.27203065","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00008","","","","120","112","42.21","216","235","45.45","9.53","40.68327506","7.2064161","0","1.6133947","1.4448576","129.7009277","110.1885681","71.8395844","0.5517664","2.0935097","4.8735209","0.1065016","54.98","97.19","451","0.210416667","0.040553191","0.121906874","4.026785714","3.758333333","1.928571429","1.8","0.490892857","0.458166667","0.376875","0.35175","47.89356984","56.56960593","93.33333333","22.36766463","16.83333333","18.03571429","20.36296296","21.81746032","15.63333333","16.75","8.284320233","8.876057392","35.9962963","38.56746032","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00010","","","","120","118","37.42","273","280","70.73","8.5","36.02615694","6.3637457","0","1.5542083","1.4399405","53.4545898","88.1763763","72.9955597","0.7739611","2.337172","5.8363562","0.5229797","79.23","116.65","553","0.259084249","0.030357143","0.143273056","4.686440678","4.608333333","2.313559322","2.275","0.671440678","0.66025","0.317118644","0.311833333","49.36708861","67.92113159","98.33333333","28.54352414","26.1962963","26.64030132","29.34444444","29.84180791","13.85925926","14.09416196","10.57167561","10.75085655","43.2037037","43.93596987","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00012","","","","120","118","36.91","187","263","53.34","10.15","36.63649605","6.5976048","0","1.6234574","1.4310017","60.9500732","86.5261993","71.5212708","0.6927137","1.9755415","6.9340668","0.4994078","63.49","100.4","450","0.285240642","0.038593156","0.141088889","3.813559322","3.75","1.584745763","1.558333333","0.538050847","0.529083333","0.31279661","0.307583333","41.55555556","63.23705179","98.33333333","23.26051134","19.75555556","20.09039548","23.51481481","23.913371","13.67037037","13.90207156","8.615004201","8.761021221","37.18518519","37.81544256","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00014","","","","120","114","35.45","335","564","58.91","16.25","24.25515476","10.1988869","45.1764755","2.6448755","1.8810349","148.3743896","124.6598358","52.0268593","1.4855576","3.2443938","20.3224449","0.7238827","75.16","110.61","899","0.175850746","0.028812057","0.083604004","7.885964912","7.491666667","2.938596491","2.791666667","0.659298246","0.626333333","0.310964912","0.295416667","37.26362625","67.95045656","95","18.23017432","21.81851852","22.9668616","27.83703704","29.30214425","13.12962963","13.82066277","6.751916414","7.107280436","40.96666667","43.12280702","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00016","","","","120","115","35.42","334","318","60.28","12.2","25.7849026","10.0993042","41.5875778","2.5540874","1.8286338","150.8765869","126.3291016","48.3322067","1.6828136","3.5198689","24.2902184","0.7783518","72.48","107.9","652","0.180479042","0.03836478","0.111165644","5.669565217","5.433333333","2.904347826","2.783333333","0.63026087","0.604","0.308","0.295166667","51.22699387","67.17330862","95.83333333","18.6888974","22.32592593","23.29661836","26.84444444","28.0115942","13.11851852","13.68888889","6.921813854","7.222762282","39.96296296","41.70048309","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00018","","","","120","107","43.05","126","230","20.55","8.15","36.49269378","7.603178","0","1.917789","1.4572053","15.8865967","74.8742371","73.4441605","0.3676949","1.2775351","4.3035507","0.5709","28.7","71.75","356","0.163095238","0.035434783","0.080617978","3.327102804","2.966666667","1.177570093","1.05","0.268224299","0.239166667","0.402336449","0.35875","35.39325843","40","89.16666667","10.47340311","7.611111111","8.535825545","10.62962963","11.92107996","15.94444444","17.88161994","3.879038191","4.350323205","26.57407407","29.8026999","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00020","","","","120","91","57.95","82","150","14.77","6.23","35.65340909","7.0271864","0","1.8995094","1.4887657","62.9289551","82.3708801","73.6374054","0.4196997","1.4136337","4.3958168","0.338892","21","78.95","232","0.180121951","0.041533333","0.090517241","2.549450549","1.933333333","0.901098901","0.683333333","0.230769231","0.175","0.636813187","0.482916667","35.34482759","26.59911336","75.83333333","7.487215909","5.47037037","7.213675214","7.777777778","10.25641026","21.46296296","28.3028083","2.773042929","3.656759907","29.24074074","38.55921856","1"
