"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00001","","","","10","7","1.03","6","0.95","0.87","6","1.82","2.85","0.158333333","0.857142857","0.6","0.26","0.182","0.147142857","0.103","63.85964912","70","4.222222222","6.031746032","8.088888889","11.55555556","4.577777778","6.53968254","12.66666667","18.0952381","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00002","","","","10","5","2.22","7","1.3","0.25","6","1.55","3.77","0.185714286","1.4","0.7","0.31","0.155","0.444","0.222","41.11405836","50","5.777777778","11.55555556","6.888888889","13.77777778","9.866666667","19.73333333","16.75555556","33.51111111","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00003","","","","10","6","3.1","4","1.26","0.72","5","1.98","5.08","0.315","0.666666667","0.4","0.33","0.198","0.516666667","0.31","38.97637795","60","5.6","9.333333333","8.8","14.66666667","13.77777778","22.96296296","22.57777778","37.62962963","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00004","","","","10","4","2.58","4","0.37","0.38","6","0.75","3.33","0.0925","1","0.4","0.1875","0.075","0.645","0.258","22.52252252","40","1.644444444","4.111111111","3.333333333","8.333333333","11.46666667","28.66666667","14.8","37","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00005","","","","10","5","2.57","4","0.5","0.62","6","1.12","3.69","0.125","0.8","0.4","0.224","0.112","0.514","0.257","30.35230352","50","2.222222222","4.444444444","4.977777778","9.955555556","11.42222222","22.84444444","16.4","32.8","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00006","","","","10","6","4.42","9","1.86","0.99","5","2.85","7.27","0.206666667","1.5","0.9","0.475","0.285","0.736666667","0.442","39.20220083","60","8.266666667","13.77777778","12.66666667","21.11111111","19.64444444","32.74074074","32.31111111","53.85185185","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00007","","","","10","5","0.19","4","2.1","0.79","6","2.89","3.08","0.525","0.8","0.4","0.578","0.289","0.038","0.019","93.83116883","50","9.333333333","18.66666667","12.84444444","25.68888889","0.844444444","1.688888889","13.68888889","27.37777778","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00008","","","","10","3","3.48","5","2.22","0.21","6","2.43","5.91","0.444","1.666666667","0.5","0.81","0.243","1.16","0.348","41.11675127","30","9.866666667","32.88888889","10.8","36","15.46666667","51.55555556","26.26666667","87.55555556","10.5"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00009","","","","10","6","3.13","9","2.58","0.46","6","3.04","6.17","0.286666667","1.5","0.9","0.506666667","0.304","0.521666667","0.313","49.27066451","60","11.46666667","19.11111111","13.51111111","22.51851852","13.91111111","23.18518519","27.42222222","45.7037037","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00010","","","","10","5","4.16","9","3.07","0.81","5","3.88","8.04","0.341111111","1.8","0.9","0.776","0.388","0.832","0.416","48.25870647","50","13.64444444","27.28888889","17.24444444","34.48888889","18.48888889","36.97777778","35.73333333","71.46666667","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00011","","","","10","3","2.87","3","0.96","0.19","5","1.15","4.02","0.32","1","0.3","0.383333333","0.115","0.956666667","0.287","28.60696517","30","4.266666667","14.22222222","5.111111111","17.03703704","12.75555556","42.51851852","17.86666667","59.55555556","1.38"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00012","","","","10","3","1.84","2","0.29","0.36","6","0.65","2.49","0.145","0.666666667","0.2","0.216666667","0.065","0.613333333","0.184","26.10441767","30","1.288888889","4.296296296","2.888888889","9.62962963","8.177777778","27.25925926","11.06666667","36.88888889","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00013","","","","10","3","1.02","6","0.94","0.31","5","1.25","2.27","0.156666667","2","0.6","0.416666667","0.125","0.34","0.102","55.0660793","30","4.177777778","13.92592593","5.555555556","18.51851852","4.533333333","15.11111111","10.08888889","33.62962963","10.5"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00014","","","","10","4","0.82","2","0.41","0.44","6","0.85","1.67","0.205","0.5","0.2","0.2125","0.085","0.205","0.082","50.89820359","40","1.822222222","4.555555556","3.777777778","9.444444444","3.644444444","9.111111111","7.422222222","18.55555556","0.12"
