"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap90"
"","","PEP2018CSR-ST03","","","","","","","","","PEP2018CSR-ST03-00001","","","","120","105","175.23","50","245","7.39","7.25","50.8","16","6.74","28.29","1.84","1.36","106.22","106.19","64.99","1.54","3.67","10.78","0.19","14.64","189.87","295","0.1478","0.029591837","0.049627119","2.80952381","2.458333333","0.476190476","0.416666667","0.139428571","0.122","1.668857143","1.46025","16.94915254","7.71053879","87.5","31.49606299","4.611023622","2.737037037","3.128042328","5.422222222","6.196825397","64.9","74.17142857","1.707786527","1.95175603","70.32222222","80.36825397","1"
"","","PEP2018CSR-ST03","","","","","","","","","PEP2018CSR-ST03-00002","","","","120","98","121.71","124","262","24.69","12.13","50.2","14.1","6.06","17.04","1.84","1.27","96.79","103.15","66.46","1.51","3.43","9.58","0.11","36.82","158.53","386","0.199112903","0.04629771","0.095388601","3.93877551","3.216666667","1.265306122","1.033333333","0.375714286","0.306833333","1.241938776","1.01425","32.12435233","23.22588784","81.66666667","28.0876494","10.34187251","9.144444444","11.19727891","13.63703704","16.6984127","45.07777778","55.19727891","3.830323152","4.690191614","58.71481481","71.89569161","1"
"","","PEP2018CSR-ST03","","","","","","","","","PEP2018CSR-ST03-00003","","","","120","104","163.99","109","340","12.03","9.58","50.9","19.6","6.63","0","1.46","1.34","78.48","92.91","70.62","0.37","2.31","7.02","0.11","21.61","185.6","449","0.110366972","0.028176471","0.048129176","4.317307692","3.741666667","1.048076923","0.908333333","0.207788462","0.180083333","1.576826923","1.366583333","24.27616927","11.64331897","86.66666667","38.50687623","8.321335953","4.455555556","5.141025641","8.003703704","9.235042735","60.73703704","70.08119658","3.081976279","3.556126476","68.74074074","79.31623932","1"
"","","PEP2018CSR-ST03","","","","","","","","","PEP2018CSR-ST03-00004","","","","120","106","155.97","108","340","17.3","14.82","51.1","18.7","8.04","0","1.72","1.4","43.51","77.34","69.83","0.49","2.02","6.06","0","32.12","188.09","448","0.160185185","0.043588235","0.071696429","4.226415094","3.733333333","1.018867925","0.9","0.303018868","0.267666667","1.471415094","1.29975","24.10714286","17.07693126","88.33333333","36.59491194","11.75428571","6.407407407","7.253668763","11.8962963","13.46750524","57.76666667","65.39622642","4.353439153","4.928421683","69.66296296","78.86373166","1"
"","","PEP2018CSR-ST03","","","","","","","","","PEP2018CSR-ST03-00005","","","","120","114","139.71","170","236","40.65","10.86","51.3","17.2","6.53","0","1.61","1.38","58.62","83.25","71.65","0.62","2.15","7","0.2","51.51","191.22","406","0.239117647","0.046016949","0.126871921","3.561403509","3.383333333","1.49122807","1.416666667","0.451842105","0.42925","1.225526316","1.16425","41.87192118","26.93755883","95","33.52826511","17.27040936","15.05555556","15.84795322","19.07777778","20.08187135","51.74444444","54.46783626","6.39644791","6.733103063","70.82222222","74.5497076","1"
"","","PEP2018CSR-ST03","","","","","","","","","PEP2018CSR-ST03-00006","","","","120","105","108.31","220","186","49.31","7.98","50.7","17.5","5.87","0","1.47","1.4","43.27","81.66","73.48","0.31","2.1","6.18","0.11","57.29","165.6","406","0.224136364","0.042903226","0.141108374","3.866666667","3.383333333","2.095238095","1.833333333","0.545619048","0.477416667","1.03152381","0.902583333","54.18719212","34.59541063","87.5","34.51676529","19.77465483","18.26296296","20.87195767","21.21851852","24.24973545","40.11481481","45.84550265","7.323946234","8.370224268","61.33333333","70.0952381","1"
"","","PEP2018CSR-ST03","","","","","","","","","PEP2018CSR-ST03-00007","","","","120","110","153.27","143","204","23.41","6.72","50.4","10.3","9.33","32.78","2.7","1.75","161.65","138.2","54.88","3.06","5.53","16.24","0.61","30.13","183.4","347","0.163706294","0.032941176","0.086829971","3.154545455","2.891666667","1.3","1.191666667","0.273909091","0.251083333","1.393363636","1.27725","41.21037464","16.42857143","91.66666667","20.43650794","6.157519841","8.67037037","9.458585859","11.15925926","12.17373737","56.76666667","61.92727273","2.280562904","2.487886805","67.92592593","74.1010101","1"
"","","PEP2018CSR-ST03","","","","","","","","","PEP2018CSR-ST03-00008","","","","120","111","162.24","151","298","26.1","12.67","51","11","8.9","36.68","2.55","1.73","146.27","140.95","55.84","3.2","6.02","15.28","0.6","38.77","201.01","449","0.172847682","0.042516779","0.086347439","4.045045045","3.741666667","1.36036036","1.258333333","0.349279279","0.323083333","1.461621622","1.352","33.63028953","19.28759763","92.5","21.56862745","8.362156863","9.666666667","10.45045045","14.35925926","15.52352352","60.08888889","64.96096096","3.097095134","3.348210956","74.44814815","80.48448448","1"
"","","PEP2018CSR-ST03","","","","","","","","","PEP2018CSR-ST03-00009","","","","120","106","185.81","48","97","9.51","3.91","52.9","17.1","6.33","3.15","1.72","1.29","13.01","78.99","70.29","0.85","2.34","9.35","0.39","13.42","199.23","145","0.198125","0.040309278","0.092551724","1.367924528","1.208333333","0.452830189","0.4","0.126603774","0.111833333","1.752924528","1.548416667","33.10344828","6.735933343","88.33333333","32.32514178","4.338034026","3.522222222","3.987421384","4.97037037","5.626834382","68.81851852","77.90775681","1.606679269","1.818882191","73.78888889","83.53459119","1"
"","","PEP2018CSR-ST03","","","","","","","","","PEP2018CSR-ST03-00010","","","","120","96","146.54","82","135","13.48","5.09","51.6","15.6","7.15","0","1.95","1.38","12.5","76.93","71.28","0.65","1.9","7.45","0.17","18.57","165.11","217","0.164390244","0.037703704","0.085576037","2.260416667","1.808333333","0.854166667","0.683333333","0.1934375","0.15475","1.526458333","1.221166667","37.78801843","11.24704742","80","30.23255814","5.614186047","4.992592593","6.240740741","6.877777778","8.597222222","54.27407407","67.84259259","2.079328165","2.599160207","61.15185185","76.43981481","1"
