"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00001","","","","30","4","1.4","6","2.34","0.25","168.63","35.89","6","2.59","3.99","0.39","1.5","0.2","0.6475","0.086333333","0.35","0.046666667","64.9122807","13.33333333","21.28328293","0.551237028","3.466666667","26","3.837037037","28.77777778","2.074074074","15.55555556","0.816647449","6.124855865","5.911111111","44.33333333",""
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00002","","","","30","12","2.65","28","5.68","1.62","157.42","27.95","5","7.3","9.95","0.202857143","2.333333333","0.933333333","0.608333333","0.243333333","0.220833333","0.088333333","73.36683417","40","17.75505018","1.296118663","8.414814815","21.03703704","10.81481481","27.03703704","3.925925926","9.814814815","1.920175798","4.800439494","14.74074074","36.85185185","6.12"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00003","","","","30","18","2.25","33","6.93","2.22","168.34","34.07","5","9.15","11.4","0.21","1.833333333","1.1","0.508333333","0.305","0.125","0.075","80.26315789","60","20.23880242","1.851850422","10.26666667","17.11111111","13.55555556","22.59259259","3.333333333","5.555555556","2.743482106","4.572470177","16.88888889","28.14814815","7.23"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00004","","","","30","21","1.64","29","4.93","1.76","181.43","43.45","5","6.69","8.33","0.17","1.380952381","0.966666667","0.318571429","0.223","0.078095238","0.054666667","80.31212485","70","23.94863033","1.602163369","7.303703704","10.43386243","9.911111111","14.15873016","2.42962963","3.470899471","2.373575361","3.390821945","12.34074074","17.62962963","1.5"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00005","","","","30","13","1.76","23","4.38","0.54","185.36","47.27","6","4.92","6.68","0.190434783","1.769230769","0.766666667","0.378461538","0.164","0.135384615","0.058666667","73.65269461","43.33333333","25.50172637","1.254684937","6.488888889","14.97435897","7.288888889","16.82051282","2.607407407","6.017094017","1.8587925","4.289521154","9.896296296","22.83760684","1.74"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00006","","","","30","13","2.17","18","4.18","0.78","173.5","23.58","6","4.96","7.13","0.232222222","1.384615385","0.6","0.381538462","0.165333333","0.166923077","0.072333333","69.56521739","43.33333333","13.5907781","0.674102594","6.192592593","14.29059829","7.348148148","16.95726496","3.214814815","7.418803419","0.998670509","2.304624252","10.56296296","24.37606838","7.76"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00007","","","","30","7","1.35","12","2.24","0.26","183.64","47.81","6","2.5","3.85","0.186666667","1.714285714","0.4","0.357142857","0.083333333","0.192857143","0.045","64.93506494","23.33333333","26.03463298","0.650865824","3.318518519","14.22222222","3.703703704","15.87301587","2","8.571428571","0.964245666","4.132481425","5.703703704","24.44444444","1.04"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00008","","","","30","22","3.22","34","6.66","5.88","186.98","43.47","5","12.54","15.76","0.195882353","1.545454545","1.133333333","0.57","0.418","0.146363636","0.107333333","79.56852792","73.33333333","23.24847577","2.915358862","9.866666667","13.45454545","18.57777778","25.33333333","4.77037037","6.505050505","4.319050166","5.889613862","23.34814815","31.83838384","11.03"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00009","","","","30","25","1.85","14","2.73","3.35","192.08","32.93","5","6.08","7.93","0.195","0.56","0.466666667","0.2432","0.202666667","0.074","0.061666667","76.67087011","83.33333333","17.14389838","1.042349021","4.044444444","4.853333333","9.007407407","10.80888889","2.740740741","3.288888889","1.544220772","1.853064927","11.74814815","14.09777778","7.76"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00010","","","","30","19","1.83","26","7.72","1.93","163.28","32.58","5","9.65","11.48","0.296923077","1.368421053","0.866666667","0.507894737","0.321666667","0.096315789","0.061","84.05923345","63.33333333","19.95345419","1.925508329","11.43703704","18.05847953","14.2962963","22.57309942","2.711111111","4.280701754","2.852604932","4.504113051","17.00740741","26.85380117","7.76"
